,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
1998-02-25,13.26,0.0,0.0,,,,,
1998-02-26,13.27,10.0,132.7,,,,,
1998-02-27,13.24,0.0,0.0,,,,,
1998-02-28,13.24,0.0,0.0,,,,,
1998-03-01,13.24,0.0,0.0,,,,,
1998-03-02,13.25,10.0,132.5,,,,,
1998-03-03,13.26,0.0,0.0,,,,,
1998-03-04,12.15,40.0,486.0,,,,,
1998-03-05,12.15,20.0,243.0,0.0,0.0,-0.0,0.0,-1.0
1998-03-06,12.49,40.0,499.6,,,,,
1998-03-07,12.49,0.0,0.0,0.0,0.0,,,
1998-03-08,12.49,0.0,0.0,,,,,
1998-03-09,12.49,10.0,124.9,,,,,
1998-03-10,12.49,10.0,124.9,,,,,
1998-03-11,12.53,10.0,125.3,,,,,
1998-03-12,12.7,40.0,508.0,,,,,
1998-03-13,12.85,60.0,771.0,,,,,
1998-03-14,12.85,0.0,0.0,0.0,0.0,,,
1998-03-15,12.85,0.0,0.0,,,,,
1998-03-16,12.85,10.0,128.5,,,,,
1998-03-17,12.86,10.0,128.6,,,,,
1998-03-18,12.81,10.0,128.1,,,,,
1998-03-19,12.76,10.0,127.6,,,,,
1998-03-20,12.86,20.0,257.2,,,,,
1998-03-21,12.86,0.0,0.0,,,,,
1998-03-22,12.86,0.0,0.0,,,,,
1998-03-23,12.9,10.0,129.0,,,,,
1998-03-24,12.9,0.0,0.0,,,,,
1998-03-25,12.9,0.0,0.0,,,,,
1998-03-26,12.9,0.0,0.0,,,,,
1998-03-27,12.89,0.0,0.0,,,,,
1998-03-28,12.89,0.0,0.0,,,,,
1998-03-29,12.89,0.0,0.0,,,,,
1998-03-30,12.89,0.0,0.0,,,,,
1998-03-31,12.89,0.0,0.0,,,,,
1998-04-01,12.9,0.0,0.0,,,,,
1998-04-02,12.9,0.0,0.0,,,,,
1998-04-03,12.26,0.0,0.0,,,,,
1998-04-04,12.26,0.0,0.0,,,,,
1998-04-05,12.26,0.0,0.0,,,,,
1998-04-06,12.26,0.0,0.0,,,,,
1998-04-07,12.26,0.0,0.0,,,,,
1998-04-08,12.26,0.0,0.0,,,,,
1998-04-09,12.2,10.0,122.0,,,,,
1998-04-10,12.2,0.0,0.0,,,,,
1998-04-11,12.2,0.0,0.0,,,,,
1998-04-12,12.2,0.0,0.0,,,,,
1998-04-13,12.1,30.0,363.0,,,,,
1998-04-14,12.11,0.0,0.0,,,,,
1998-04-15,12.13,10.0,121.30000000000001,,,,,
1998-04-16,12.07,20.0,241.4,,,,,
1998-04-17,12.0,50.0,600.0,,,,,
1998-04-18,12.0,0.0,0.0,,,,,
1998-04-19,12.0,0.0,0.0,,,,,
1998-04-20,11.97,30.0,359.1,,,,,
1998-04-21,11.98,10.0,119.80000000000001,,,,,
1998-04-22,11.98,0.0,0.0,,,,,
1998-04-23,11.98,0.0,0.0,,,,,
1998-04-24,12.0,0.0,0.0,,,,,
1998-04-25,12.0,0.0,0.0,,,,,
1998-04-26,12.0,0.0,0.0,,,,,
1998-04-27,12.01,0.0,0.0,,,,,
1998-04-28,12.01,0.0,0.0,,,,,
1998-04-29,12.01,0.0,0.0,,,,,
1998-04-30,12.01,0.0,0.0,,,,,
1998-05-01,12.02,0.0,0.0,,,,,
1998-05-02,12.02,0.0,0.0,,,,,
1998-05-03,12.02,0.0,0.0,,,,,
1998-05-04,10.91,30.0,327.3,,,,,
