,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
2005-10-04,1.8453,0.0,0.0,,,,,
2005-10-05,1.765,0.0,0.0,,,,,
2005-10-06,1.72,0.0,0.0,,,,,
2005-10-07,1.74,0.0,0.0,,,,,
2005-10-08,1.74,0.0,0.0,,,,,
2005-10-09,1.74,0.0,0.0,,,,,
2005-10-10,1.73,0.0,0.0,,,,,
2005-10-11,1.77,0.0,0.0,,,,,
2005-10-12,1.7757,20.0,35.514,0.0032203389830509632,1.0,,,
2005-10-13,1.7286,0.0,0.0,,,,,
2005-10-14,1.7044,0.0,0.0,,,0.013999768598866091,1.0,-1.0
2005-10-15,1.7044,0.0,0.0,0.0,0.0,,,
2005-10-16,1.7044,0.0,0.0,,,,,
2005-10-17,1.757,0.0,0.0,,,,,
2005-10-18,1.69,0.0,0.0,-0.038133181559476315,-1.0,,,
2005-10-19,1.6572,40.0,66.288,-0.019408284023668565,-1.0,,,
2005-10-20,1.6025,0.0,0.0,,,,,
2005-10-21,1.645,0.0,0.0,0.026521060842433775,1.0,,,
2005-10-22,1.645,0.0,0.0,,,,,
2005-10-23,1.645,0.0,0.0,,,,,
2005-10-24,1.6053,30.0,48.159,,,,,
2005-10-25,1.662,0.0,0.0,,,,,
2005-10-26,1.6,0.0,0.0,-0.03730445246690728,-1.0,,,
2005-10-27,1.61,0.0,0.0,0.006250000000000089,1.0,,,
2005-10-28,1.645,0.0,0.0,,,,,
2005-10-29,1.645,0.0,0.0,0.0,0.0,,,
2005-10-30,1.645,0.0,0.0,,,,,
2005-10-31,1.5811,0.0,0.0,,,,,
2005-11-01,1.5959999999999999,0.0,0.0,0.009423818860287092,1.0,,,
2005-11-02,1.5759999999999998,0.0,0.0,,,,,
2005-11-03,1.626,0.0,0.0,,,,,
2005-11-04,1.605,0.0,0.0,-0.012915129151291449,-1.0,,,
2005-11-05,1.605,0.0,0.0,,,,,
2005-11-06,1.605,0.0,0.0,,,,,
2005-11-07,1.579,0.0,0.0,,,,,
2005-11-08,1.6074,30.0,48.222,,,,,
2005-11-09,1.588,0.0,0.0,,,,,
2005-11-10,1.5438,0.0,0.0,,,,,
2005-11-11,1.54,0.0,0.0,,,,,
2005-11-12,1.54,0.0,0.0,,,,,
2005-11-13,1.54,0.0,0.0,,,,,
2005-11-14,1.5430000000000001,0.0,0.0,,,,,
2005-11-15,1.5087,0.0,0.0,,,,,
2005-11-16,1.5267,0.0,0.0,,,,,
2005-11-17,1.5043,0.0,0.0,,,,,
2005-11-18,1.5023,0.0,0.0,,,,,
2005-11-19,1.5023,0.0,0.0,,,,,
2005-11-20,1.5023,0.0,0.0,,,,,
2005-11-21,1.508,0.0,0.0,,,,,
2005-11-22,1.5582,0.0,0.0,,,,,
2005-11-23,1.548,0.0,0.0,,,,,
2005-11-24,1.548,0.0,0.0,,,,,
2005-11-25,1.548,0.0,0.0,,,,,
2005-11-26,1.548,0.0,0.0,,,,,
2005-11-27,1.548,0.0,0.0,,,,,
2005-11-28,1.5019,0.0,0.0,,,,,
2005-11-29,1.4806,0.0,0.0,,,,,
2005-11-30,1.5271,0.0,0.0,,,,,
2005-12-01,1.5925,0.0,0.0,,,,,
2005-12-02,1.6313,0.0,0.0,0.02436420722135013,1.0,0.02436420722135013,1.0,1.0
2005-12-03,1.6313,0.0,0.0,,,,,
2005-12-04,1.6313,0.0,0.0,,,,,
2005-12-05,1.615,0.0,0.0,,,,,
2005-12-06,1.61,0.0,0.0,,,,,
2005-12-07,1.5976,0.0,0.0,,,,,
2005-12-08,1.6666,20.0,33.332,,,,,
2005-12-09,1.6399,40.0,65.596,-0.016020640825633148,-1.0,,,
2005-12-10,1.6399,0.0,0.0,,,,,
2005-12-11,1.6399,0.0,0.0,,,,,
2005-12-12,1.6868,50.0,84.34,,,,,
2005-12-13,1.6909,0.0,0.0,0.002430637894237586,1.0,,,
2005-12-14,1.6857,0.0,0.0,,,,,
2005-12-15,1.68,10.0,16.8,,,,,
2005-12-16,1.6189,30.0,48.567,,,,,
2005-12-17,1.6189,0.0,0.0,0.0,0.0,,,
2005-12-18,1.6189,0.0,0.0,,,,,
2005-12-19,1.5752,0.0,0.0,,,,,
2005-12-20,1.5588,0.0,0.0,-0.010411376333164024,-1.0,0.010411376333164024,1.0,-1.0
2005-12-21,1.5764,0.0,0.0,,,,,
2005-12-22,1.5906,10.0,15.906,,,,,
2005-12-23,1.6005,0.0,0.0,,,,,
2005-12-24,1.6005,0.0,0.0,,,,,
2005-12-25,1.6005,0.0,0.0,,,,,
2005-12-26,1.6005,0.0,0.0,,,,,
2005-12-27,1.5734,0.0,0.0,,,,,
2005-12-28,1.6211,0.0,0.0,,,,,
2005-12-29,1.6824,0.0,0.0,,,,,
2005-12-30,1.74,0.0,0.0,0.0342368045649073,1.0,0.0342368045649073,1.0,1.0
2005-12-31,1.74,0.0,0.0,0.0,0.0,,,
2006-01-01,1.74,0.0,0.0,,,,,
2006-01-02,1.74,0.0,0.0,,,,,
2006-01-03,1.7862,0.0,0.0,,,,,
2006-01-04,1.8245,0.0,0.0,,,,,
2006-01-05,1.817,0.0,0.0,-0.004110715264456055,-1.0,,,
2006-01-06,1.8455,0.0,0.0,,,,,
2006-01-07,1.8455,0.0,0.0,,,,,
2006-01-08,1.8455,0.0,0.0,,,,,
2006-01-09,1.7975,0.0,0.0,,,,,
2006-01-10,1.78,0.0,0.0,,,,,
2006-01-11,1.7631,0.0,0.0,-0.009494382022471992,-1.0,,,
2006-01-12,1.7685,0.0,0.0,,,,,
2006-01-13,1.7711,0.0,0.0,,,,,
2006-01-14,1.7711,0.0,0.0,,,,,
2006-01-15,1.7711,0.0,0.0,,,,,
2006-01-16,1.7711,0.0,0.0,,,,,
2006-01-17,1.84,0.0,0.0,,,,,
2006-01-18,1.8,0.0,0.0,-0.021739130434782594,-1.0,,,
2006-01-19,1.8,0.0,0.0,,,,,
2006-01-20,1.83,0.0,0.0,,,,,
2006-01-21,1.83,0.0,0.0,,,,,
2006-01-22,1.83,0.0,0.0,,,,,
2006-01-23,1.81,0.0,0.0,,,,,
2006-01-24,1.7744,0.0,0.0,,,,,
2006-01-25,1.7046,0.0,0.0,-0.03933724075743916,-1.0,,,
2006-01-26,1.7243,0.0,0.0,0.011556963510501062,1.0,-0.011556963510501062,0.0,-1.0
2006-01-27,1.7714,0.0,0.0,,,,,
2006-01-28,1.7714,0.0,0.0,0.0,0.0,,,
2006-01-29,1.7714,0.0,0.0,,,,,
2006-01-30,1.8049,50.0,90.245,,,,,
2006-01-31,1.7558,0.0,0.0,,,,,
2006-02-01,1.7435,30.0,52.305,-0.007005353684929938,-1.0,,,
2006-02-02,1.6893,0.0,0.0,,,,,
2006-02-03,1.7017,0.0,0.0,0.007340318475107965,1.0,,,
2006-02-04,1.7017,0.0,0.0,,,,,
2006-02-05,1.7017,0.0,0.0,,,,,
2006-02-06,1.6622,0.0,0.0,,,,,
2006-02-07,1.614,0.0,0.0,,,,,
2006-02-08,1.5831,0.0,0.0,-0.01914498141263954,-1.0,,,
2006-02-09,1.5801,0.0,0.0,,,,,
2006-02-10,1.5105,0.0,0.0,,,,,
2006-02-11,1.5105,0.0,0.0,0.0,0.0,,,
2006-02-12,1.5105,0.0,0.0,,,,,
2006-02-13,1.4780000000000002,50.0,73.9,,,,,
2006-02-14,1.4461,0.0,0.0,,,,,
2006-02-15,1.431,0.0,0.0,-0.01044187815503761,-1.0,,,
2006-02-16,1.4883,0.0,0.0,,,,,
2006-02-17,1.5287,0.0,0.0,0.02714506483907808,1.0,,,
2006-02-18,1.5287,0.0,0.0,,,,,
2006-02-19,1.5287,0.0,0.0,,,,,
2006-02-20,1.5287,0.0,0.0,,,,,
2006-02-21,1.5307,0.0,0.0,,,,,
2006-02-22,1.4979,200.0,299.58,-0.021428104788658753,-1.0,,,
2006-02-23,1.5201,0.0,0.0,,,,,
2006-02-24,1.5597,0.0,0.0,,,,,
2006-02-25,1.5597,0.0,0.0,0.0,0.0,,,
2006-02-26,1.5597,0.0,0.0,,,,,
2006-02-27,1.4869999999999999,0.0,0.0,,,,,
2006-02-28,1.5443,0.0,0.0,0.038533960995292604,1.0,,,
2006-03-01,1.7999,920.0,1655.9080000000001,0.16551188240626824,1.0,,,
2006-03-02,1.8625,210.0,391.125,0.03477970998388802,1.0,0.03477970998388802,1.0,1.0
2006-03-03,1.8981,260.0,493.506,0.019114093959731404,1.0,,,
2006-03-04,1.8981,0.0,0.0,,,,,
2006-03-05,1.8981,0.0,0.0,,,,,
2006-03-06,1.841,630.0,1159.83,,,,,
2006-03-07,1.8535,780.0,1445.73,0.006789788158609422,1.0,,,
2006-03-08,1.8323,830.0,1520.809,,,,,
2006-03-09,1.84,200.0,368.0,,,,,
2006-03-10,1.8185,480.0,872.88,,,,,
2006-03-11,1.8185,0.0,0.0,,,,,
2006-03-12,1.8185,0.0,0.0,,,,,
2006-03-13,1.87,0.0,0.0,,,,,
2006-03-14,1.9489,790.0,1539.631,0.042192513368984,1.0,,,
2006-03-15,1.9105,40.0,76.42,-0.019703422443429597,-1.0,,,
2006-03-16,1.949,80.0,155.92000000000002,,,,,
2006-03-17,1.9325,100.0,193.25,,,,,
2006-03-18,1.9325,0.0,0.0,,,,,
2006-03-19,1.9325,0.0,0.0,,,,,
2006-03-20,1.8748,250.0,468.7,,,,,
2006-03-21,1.8975,140.0,265.65,0.012107958182206113,1.0,,,
2006-03-22,1.848,50.0,92.4,,,,,
2006-03-23,1.915,970.0,1857.55,,,,,
2006-03-24,1.9575,130.0,254.475,0.022193211488250597,1.0,,,
2006-03-25,1.9575,0.0,0.0,,,,,
2006-03-26,1.9575,0.0,0.0,,,,,
2006-03-27,1.972,470.0,926.84,,,,,
2006-03-28,2.0385,540.0,1100.79,0.03372210953346855,1.0,,,
2006-03-29,2.0755,390.0,809.4449999999999,0.01815060093205778,1.0,,,
2006-03-30,2.0805,490.0,1019.4449999999999,,,,,
2006-03-31,2.0645,880.0,1816.7599999999998,,,,,
2006-04-01,2.0645,0.0,0.0,,,,,
2006-04-02,2.0645,0.0,0.0,,,,,
2006-04-03,2.0512,790.0,1620.448,,,,,
2006-04-04,2.0625,900.0,1856.25,,,,,
2006-04-05,2.106,1230.0,2590.3799999999997,,,,,
2006-04-06,2.1439,750.0,1607.925,0.017996201329534722,1.0,,,
2006-04-07,2.1251,1200.0,2550.1200000000003,,,,,
2006-04-08,2.1251,0.0,0.0,,,,,
2006-04-09,2.1251,0.0,0.0,,,,,
2006-04-10,2.1514,590.0,1269.326,,,,,
2006-04-11,2.1921,1020.0,2235.942,,,,,
2006-04-12,2.2155,1230.0,2725.065,0.010674695497468134,1.0,,,
2006-04-13,2.2297,0.0,0.0,,,,,
2006-04-14,2.2297,0.0,0.0,,,,,
2006-04-15,2.2297,0.0,0.0,,,,,
2006-04-16,2.2297,0.0,0.0,,,,,
2006-04-17,2.2847,1180.0,2695.946,,,,,
2006-04-18,2.3214,1160.0,2692.824,0.016063378124042682,1.0,,,
2006-04-19,2.3469,1110.0,2605.059,,,,,
2006-04-20,2.322,2160.0,5015.52,,,,,
2006-04-21,2.3595,1580.0,3728.01,,,,,
2006-04-22,2.3595,0.0,0.0,0.0,0.0,,,
2006-04-23,2.3595,0.0,0.0,,,,,
2006-04-24,2.3040000000000003,1410.0,3248.6400000000003,,,,,
2006-04-25,2.245,2220.0,4983.900000000001,,,,,
2006-04-26,2.251,1910.0,4299.41,0.0026726057906458767,1.0,,,
2006-04-27,2.1669,2510.0,5438.919,,,,,
2006-04-28,2.21,2740.0,6055.4,0.019890165674465887,1.0,,,
2006-04-29,2.21,0.0,0.0,,,-0.0,0.0,-1.0
2006-04-30,2.21,0.0,0.0,,,,,
2006-05-01,2.2756,1840.0,4187.103999999999,,,,,
2006-05-02,2.325,2050.0,4766.25,0.021708560379680275,1.0,,,
2006-05-03,2.2825,3160.0,7212.700000000001,,,-0.018279569892473146,0.0,1.0
2006-05-04,2.1736,1400.0,3043.04,,,,,
2006-05-05,2.2673,2780.0,6303.094,0.04310820758189182,1.0,-0.04310820758189182,0.0,-1.0
2006-05-06,2.2673,0.0,0.0,0.0,0.0,,,
2006-05-07,2.2673,0.0,0.0,,,,,
2006-05-08,2.2486,2480.0,5576.528,,,,,
2006-05-09,2.351,3520.0,8275.52,,,,,
2006-05-10,2.4594,3120.0,7673.328,0.04610803913228412,1.0,,,
2006-05-11,2.4895,4260.0,10605.27,0.012238757420509172,1.0,,,
2006-05-12,2.4256,3100.0,7519.360000000001,,,,,
2006-05-13,2.4256,0.0,0.0,,,,,
2006-05-14,2.4256,0.0,0.0,,,,,
2006-05-15,2.2680000000000002,3100.0,7030.800000000001,,,,,
2006-05-16,2.2258,2840.0,6321.272,-0.01860670194003533,-1.0,,,
2006-05-17,2.16,3210.0,6933.6,,,,,
2006-05-18,2.175,2680.0,5828.999999999999,0.006944444444444198,1.0,-0.006944444444444198,0.0,-1.0
2006-05-19,2.185,2450.0,5353.25,,,,,
2006-05-20,2.185,0.0,0.0,,,,,
2006-05-21,2.185,0.0,0.0,,,,,
