,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
1980-01-03,68.25,430.0,29347.5,,,,,
1980-01-04,67.27,760.0,51125.2,,,,,
1980-01-05,67.27,0.0,0.0,,,,,
1980-01-06,67.27,0.0,0.0,,,,,
1980-01-07,65.77,460.0,30254.199999999997,,,,,
1980-01-08,65.47,580.0,37972.6,,,,,
1980-01-09,65.8,460.0,30268.0,,,,,
1980-01-10,66.5,90.0,5985.0,,,,,
1980-01-11,65.87,60.0,3952.2000000000003,,,,,
1980-01-12,65.87,0.0,0.0,,,,,
1980-01-13,65.87,0.0,0.0,,,,,
1980-01-14,65.4,80.0,5232.0,,,,,
1980-01-15,65.5,80.0,5240.0,,,,,
1980-01-16,65.72,20.0,1314.4,,,,,
1980-01-17,64.92,40.0,2596.8,,,,,
1980-01-18,64.5,20.0,1290.0,,,,,
1980-01-19,64.5,0.0,0.0,,,,,
1980-01-20,64.5,0.0,0.0,,,,,
1980-01-21,62.95,11660.0,733997.0,,,,,
1980-01-22,64.45,13730.0,884898.5,,,,,
1980-01-23,63.5,12000.0,762000.0,,,,,
1980-01-24,63.77,12940.0,825183.8,,,,,
1980-01-25,64.42,11980.0,771751.6,,,,,
1980-01-26,64.42,0.0,0.0,,,,,
1980-01-27,64.42,0.0,0.0,,,,,
1980-01-28,64.87,12470.0,808928.9,,,,,
1980-01-29,64.82,9210.0,596992.2,,,,,
1980-01-30,66.25,15250.0,1010312.5,,,,,
1980-01-31,65.6,10830.0,710447.9999999999,,,,,
1980-02-01,65.47,7850.0,513939.5,,,,,
1980-02-02,65.47,0.0,0.0,,,,,
1980-02-03,65.47,0.0,0.0,,,,,
1980-02-04,66.82,5630.0,376196.6,,,,,
1980-02-05,66.57,5010.0,333515.69999999995,,,,,
1980-02-06,68.07,4560.0,310399.19999999995,,,,,
1980-02-07,68.22,5220.0,356108.39999999997,,,,,
1980-02-08,68.95,3910.0,269594.5,,,,,
1980-02-09,68.95,0.0,0.0,,,,,
1980-02-10,68.95,0.0,0.0,,,,,
1980-02-11,69.85,5240.0,366013.99999999994,,,,,
1980-02-12,69.47,3610.0,250786.69999999998,,,,,
1980-02-13,69.45,3480.0,241686.0,,,,,
1980-02-14,69.1,2460.0,169986.0,,,,,
1980-02-15,68.52,1030.0,70575.59999999999,,,,,
1980-02-16,68.52,0.0,0.0,,,,,
1980-02-17,68.52,0.0,0.0,,,,,
1980-02-18,68.52,0.0,0.0,,,,,
1980-02-19,68.8,1710.0,117648.0,,,,,
1980-02-20,69.62,1720.0,119746.40000000001,,,,,
1980-02-21,71.85,16280.000000000002,1169718.0,,,,,
1980-02-22,70.35,18560.0,1305696.0,,,,,
1980-02-23,70.35,0.0,0.0,,,,,
1980-02-24,70.35,0.0,0.0,,,,,
1980-02-25,69.77,13090.0,913289.2999999999,,,,,
1980-02-26,69.47,12600.0,875322.0,,,,,
1980-02-27,68.9,13550.0,933595.0000000001,,,,,
1980-02-28,69.37,11010.0,763763.7000000001,,,,,
1980-02-29,68.57,13640.0,935294.7999999999,,,,,
1980-03-01,68.57,0.0,0.0,,,,,
1980-03-02,68.57,0.0,0.0,,,,,
1980-03-03,69.92,11790.0,824356.8,,,,,
1980-03-04,70.4,14310.0,1007424.0000000001,,,,,
1980-03-05,70.35,9250.0,650737.5,,,,,
1980-03-06,70.02,10910.0,763918.2,,,,,
1980-03-07,70.3,10690.0,751507.0,,,,,
1980-03-08,70.3,0.0,0.0,,,,,
1980-03-09,70.3,0.0,0.0,,,,,
1980-03-10,69.1,14450.0,998494.9999999999,,,,,
1980-03-11,68.65,14480.0,994052.0000000001,,,,,
1980-03-12,68.45,10650.0,728992.5,,,,,
1980-03-13,69.0,7360.0,507840.0,,,,,
1980-03-14,68.55,10590.0,725944.5,,,,,
1980-03-15,68.55,0.0,0.0,,,,,
1980-03-16,68.55,0.0,0.0,,,,,
1980-03-17,67.57,8130.000000000001,549344.1,,,,,
1980-03-18,68.12,9770.0,665532.4,,,,,
1980-03-19,67.87,9150.0,621010.5,,,,,
1980-03-20,67.5,5220.0,352350.0,,,,,
1980-03-21,66.0,6800.0,448800.0,,,,,
1980-03-22,66.0,0.0,0.0,,,,,
1980-03-23,66.0,0.0,0.0,,,,,
1980-03-24,64.82,8430.0,546432.6,,,,,
1980-03-25,65.1,13080.0,851507.9999999999,,,,,
1980-03-26,65.22,8460.0,551761.2,,,,,
1980-03-27,63.72,9400.0,598968.0,,,,,
1980-03-28,62.7,11540.0,723558.0,,,,,
1980-03-29,62.7,0.0,0.0,,,,,
1980-03-30,62.7,0.0,0.0,,,,,
1980-03-31,62.05,9460.0,586993.0,,,,,
1980-04-01,60.55,3520.0,213136.0,,,,,
1980-04-02,59.05,1570.0,92708.5,,,,,
1980-04-03,60.55,5110.0,309410.5,,,,,
1980-04-04,60.55,0.0,0.0,,,,,
1980-04-05,60.55,0.0,0.0,,,,,
1980-04-06,60.55,0.0,0.0,,,,,
1980-04-07,62.05,550.0,34127.5,,,,,
1980-04-08,62.75,3860.0,242215.0,,,,,
1980-04-09,62.15,3460.0,215039.0,,,,,
1980-04-10,63.65,2230.0,141939.5,,,,,
1980-04-11,65.15,2120.0,138118.0,,,,,
1980-04-12,65.15,0.0,0.0,,,,,
1980-04-13,65.15,0.0,0.0,,,,,
1980-04-14,65.77,1780.0,117070.59999999999,,,,,
1980-04-15,65.15,2290.0,149193.5,,,,,
1980-04-16,66.15,1980.0,130977.00000000001,,,,,
1980-04-17,65.05,640.0,41632.0,,,,,
1980-04-18,63.87,480.0,30657.6,,,,,
1980-04-19,63.87,0.0,0.0,,,,,
1980-04-20,63.87,0.0,0.0,,,,,
1980-04-21,64.32,11140.0,716524.7999999999,,,,,
1980-04-22,65.0,17910.0,1164150.0,,,,,
1980-04-23,66.4,20920.0,1389088.0000000002,,,,,
1980-04-24,66.55,18240.0,1213872.0,,,,,
1980-04-25,66.45,12070.0,802051.5,,,,,
1980-04-26,66.45,0.0,0.0,,,,,
1980-04-27,66.45,0.0,0.0,,,,,
1980-04-28,66.37,13030.0,864801.1000000001,,,,,
1980-04-29,65.75,12050.0,792287.5,,,,,
1980-04-30,64.82,14230.0,922388.5999999999,,,,,
1980-05-01,64.12,15200.0,974624.0000000001,,,,,
1980-05-02,63.55,15160.0,963418.0,,,,,
1980-05-03,63.55,0.0,0.0,,,,,
1980-05-04,63.55,0.0,0.0,,,,,
1980-05-05,64.15,11970.0,767875.5000000001,,,,,
1980-05-06,63.32,11000.0,696520.0,,,,,
1980-05-07,64.82,10240.0,663756.7999999999,,,,,
1980-05-08,66.32,11300.0,749415.9999999999,,,,,
1980-05-09,67.17,11400.0,765738.0,,,,,
1980-05-10,67.17,0.0,0.0,,,,,
1980-05-11,67.17,0.0,0.0,,,,,
1980-05-12,67.35,8810.0,593353.5,,,,,
1980-05-13,66.72,9280.0,619161.6,,,,,
1980-05-14,66.32,6210.0,411847.19999999995,,,,,
1980-05-15,64.82,4450.0,288448.99999999994,,,,,
1980-05-16,65.02,8150.0,529913.0,,,,,
1980-05-17,65.02,0.0,0.0,,,,,
1980-05-18,65.02,0.0,0.0,,,,,
1980-05-19,64.97,7050.0,458038.5,,,,,
1980-05-20,63.5,9620.0,610870.0,,,,,
1980-05-21,63.95,8990.0,574910.5,,,,,
