,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
1990-04-04,1.62,80.0,129.60000000000002,,,,,
1990-04-05,1.615,60.0,96.9,,,,,
1990-04-06,1.625,60.0,97.5,,,,,
1990-04-07,1.625,0.0,0.0,,,,,
1990-04-08,1.625,0.0,0.0,,,,,
1990-04-09,1.6369999999999998,40.0,65.47999999999999,,,,,
1990-04-10,1.62,30.0,48.6,,,,,
1990-04-11,1.605,30.0,48.15,,,,,
1990-04-12,1.598,40.0,63.92,,,,,
1990-04-13,1.598,0.0,0.0,,,,,
1990-04-14,1.598,0.0,0.0,,,,,
1990-04-15,1.598,0.0,0.0,,,,,
1990-04-16,1.598,20.0,31.96,,,,,
1990-04-17,1.585,30.0,47.55,,,,,
1990-04-18,1.5830000000000002,10.0,15.830000000000002,,,,,
1990-04-19,1.57,60.0,94.2,,,,,
1990-04-20,1.543,120.0,185.16,,,,,
1990-04-21,1.543,0.0,0.0,,,,,
1990-04-22,1.543,0.0,0.0,,,,,
1990-04-23,1.555,30.0,46.65,,,,,
1990-04-24,1.555,50.0,77.75,,,,,
1990-04-25,1.5519999999999998,20.0,31.039999999999996,,,,,
1990-04-26,1.558,30.0,46.74,,,,,
1990-04-27,1.555,20.0,31.099999999999998,,,,,
1990-04-28,1.555,0.0,0.0,,,,,
1990-04-29,1.555,0.0,0.0,,,,,
1990-04-30,1.565,10.0,15.649999999999999,,,,,
1990-05-01,1.565,20.0,31.299999999999997,,,,,
1990-05-02,1.575,20.0,31.5,,,,,
1990-05-03,1.575,20.0,31.5,,,,,
1990-05-04,1.575,10.0,15.75,,,,,
1990-05-05,1.575,0.0,0.0,,,,,
1990-05-06,1.575,0.0,0.0,,,,,
1990-05-07,1.58,30.0,47.400000000000006,,,,,
1990-05-08,1.5830000000000002,50.0,79.15,,,,,
1990-05-09,1.5759999999999998,30.0,47.279999999999994,,,,,
1990-05-10,1.574,20.0,31.48,,,,,
1990-05-11,1.565,50.0,78.25,,,,,
1990-05-12,1.565,0.0,0.0,,,,,
1990-05-13,1.565,0.0,0.0,,,,,
1990-05-14,1.556,10.0,15.56,,,,,
1990-05-15,1.5519999999999998,10.0,15.519999999999998,,,,,
1990-05-16,1.57,50.0,78.5,,,,,
1990-05-17,1.57,50.0,78.5,,,,,
1990-05-18,1.554,50.0,77.7,,,,,
1990-05-19,1.554,0.0,0.0,,,,,
1990-05-20,1.554,0.0,0.0,,,,,
