,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
2008-07-15,432.0,70.0,30240.0,,,,,
2008-07-16,428.0,130.0,55640.0,,,,,
2008-07-17,415.0,230.0,95450.0,,,,,
2008-07-18,400.25,140.0,56035.0,,,,,
2008-07-19,400.25,0.0,0.0,,,,,
2008-07-20,400.25,0.0,0.0,,,,,
2008-07-21,386.0,240.0,92640.0,,,,,
2008-07-22,387.0,240.0,92880.0,,,,,
2008-07-23,385.0,200.0,77000.0,,,,,
2008-07-24,390.0,440.0,171600.0,,,,,
2008-07-25,384.0,70.0,26880.0,,,,,
2008-07-26,384.0,0.0,0.0,,,,,
2008-07-27,384.0,0.0,0.0,,,,,
2008-07-28,389.0,140.0,54460.0,,,,,
2008-07-29,386.0,250.0,96500.0,,,,,
2008-07-30,385.0,1150.0,442750.0,,,,,
2008-07-31,377.5,1240.0,468100.0,,,,,
2008-08-01,368.0,1220.0,448960.0,,,,,
2008-08-02,368.0,0.0,0.0,,,,,
2008-08-03,368.0,0.0,0.0,,,,,
2008-08-04,359.0,360.0,129240.0,,,,,
2008-08-05,359.75,280.0,100730.0,,,,,
2008-08-06,357.0,380.0,135660.0,,,,,
2008-08-07,360.0,310.0,111600.0,,,,,
2008-08-08,356.0,340.0,121040.0,,,,,
2008-08-09,356.0,0.0,0.0,,,,,
2008-08-10,356.0,0.0,0.0,,,,,
2008-08-11,356.0,430.0,153080.0,,,,,
2008-08-12,357.0,340.0,121380.0,,,,,
2008-08-13,371.75,190.0,70632.5,,,,,
2008-08-14,381.5,400.0,152600.0,,,,,
2008-08-15,373.5,70.0,26145.0,,,,,
2008-08-16,373.5,0.0,0.0,,,0.0,0.0,1.0
2008-08-17,373.5,0.0,0.0,,,,,
2008-08-18,376.0,70.0,26320.0,,,,,
2008-08-19,369.5,250.0,92375.0,,,,,
2008-08-20,368.0,180.0,66240.0,,,,,
2008-08-21,376.5,40.0,15060.0,,,,,
2008-08-22,365.0,30.0,10950.0,,,,,
2008-08-23,365.0,0.0,0.0,,,,,
2008-08-24,365.0,0.0,0.0,,,,,
2008-08-25,364.0,280.0,101920.0,,,,,
2008-08-26,355.0,270.0,95850.0,,,,,
2008-08-27,350.5,250.0,87625.0,,,,,
2008-08-28,342.0,300.0,102600.0,,,,,
2008-08-29,345.25,20.0,6905.0,,,,,
2008-08-30,345.25,0.0,0.0,,,,,
2008-08-31,345.25,0.0,0.0,,,,,
2008-09-01,345.25,0.0,0.0,,,,,
2008-09-02,344.0,0.0,0.0,,,,,
2008-09-03,344.0,0.0,0.0,,,,,
2008-09-04,328.0,0.0,0.0,,,,,
2008-09-05,328.0,0.0,0.0,,,,,
2008-09-06,328.0,0.0,0.0,,,,,
2008-09-07,328.0,0.0,0.0,,,,,
2008-09-08,328.0,0.0,0.0,,,,,
2008-09-09,328.0,0.0,0.0,,,,,
