,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
2007-02-28,351.1,130.0,45643.0,,,,,
2007-03-01,348.8,460.0,160448.0,,,,,
2007-03-02,346.1,50.0,17305.0,,,,,
2007-03-03,346.1,0.0,0.0,,,,,
2007-03-04,346.1,0.0,0.0,,,,,
2007-03-05,342.5,0.0,0.0,,,,,
2007-03-06,347.1,40.0,13884.0,,,,,
2007-03-07,347.1,0.0,0.0,,,,,
2007-03-08,347.1,0.0,0.0,,,,,
2007-03-09,352.0,0.0,0.0,,,,,
2007-03-10,352.0,0.0,0.0,,,,,
2007-03-11,352.0,0.0,0.0,,,,,
2007-03-12,352.0,0.0,0.0,,,,,
2007-03-13,352.0,0.0,0.0,,,,,
2007-03-14,352.0,0.0,0.0,,,,,
2007-03-15,347.4,0.0,0.0,,,,,
2007-03-16,347.4,0.0,0.0,,,,,
2007-03-17,347.4,0.0,0.0,,,,,
2007-03-18,347.4,0.0,0.0,,,,,
2007-03-19,347.4,0.0,0.0,,,,,
2007-03-20,347.4,0.0,0.0,,,,,
2007-03-21,348.0,10.0,3480.0,,,,,
2007-03-22,348.0,0.0,0.0,,,,,
2007-03-23,348.0,0.0,0.0,,,,,
2007-03-24,348.0,0.0,0.0,,,,,
2007-03-25,348.0,0.0,0.0,,,,,
2007-03-26,348.0,0.0,0.0,,,,,
2007-03-27,348.0,0.0,0.0,,,,,
2007-03-28,348.0,0.0,0.0,,,,,
2007-03-29,348.0,0.0,0.0,,,,,
2007-03-30,348.0,0.0,0.0,,,,,
2007-03-31,348.0,0.0,0.0,,,,,
2007-04-01,348.0,0.0,0.0,,,,,
2007-04-02,348.0,0.0,0.0,,,,,
2007-04-03,348.0,0.0,0.0,,,,,
2007-04-04,348.0,0.0,0.0,,,,,
2007-04-05,348.0,0.0,0.0,,,,,
2007-04-06,348.0,0.0,0.0,,,,,
2007-04-07,348.0,0.0,0.0,,,,,
2007-04-08,348.0,0.0,0.0,,,,,
2007-04-09,348.0,0.0,0.0,,,,,
2007-04-10,348.0,0.0,0.0,,,,,
2007-04-11,348.0,0.0,0.0,,,,,
2007-04-12,348.0,0.0,0.0,,,,,
2007-04-13,348.0,0.0,0.0,,,,,
2007-04-14,348.0,0.0,0.0,,,,,
2007-04-15,348.0,0.0,0.0,,,,,
2007-04-16,348.0,0.0,0.0,,,,,
2007-04-17,348.0,0.0,0.0,,,,,
2007-04-18,348.0,0.0,0.0,,,,,
2007-04-19,348.0,0.0,0.0,,,,,
2007-04-20,348.0,0.0,0.0,,,,,
2007-04-21,348.0,0.0,0.0,,,,,
2007-04-22,348.0,0.0,0.0,,,,,
2007-04-23,348.0,0.0,0.0,,,,,
2007-04-24,348.0,0.0,0.0,,,,,
2007-04-25,348.0,0.0,0.0,,,,,
2007-04-26,348.0,0.0,0.0,,,,,
2007-04-27,348.0,0.0,0.0,,,,,
2007-04-28,348.0,0.0,0.0,,,,,
2007-04-29,348.0,0.0,0.0,,,,,
2007-04-30,348.0,0.0,0.0,,,,,
2007-05-01,348.0,0.0,0.0,,,,,
2007-05-02,348.0,0.0,0.0,,,,,
2007-05-03,348.0,0.0,0.0,,,,,
2007-05-04,348.0,0.0,0.0,,,,,
2007-05-05,348.0,0.0,0.0,,,,,
2007-05-06,348.0,0.0,0.0,,,,,
2007-05-07,348.0,0.0,0.0,,,,,
2007-05-08,348.0,0.0,0.0,,,,,
2007-05-09,348.0,0.0,0.0,,,,,
2007-05-10,348.0,0.0,0.0,,,,,
2007-05-11,348.0,0.0,0.0,,,,,
2007-05-12,348.0,0.0,0.0,,,,,
2007-05-13,348.0,0.0,0.0,,,,,
2007-05-14,348.0,0.0,0.0,,,,,
2007-05-15,348.0,0.0,0.0,,,,,
2007-05-16,348.0,0.0,0.0,,,,,
2007-05-17,348.0,0.0,0.0,,,,,
2007-05-18,348.0,0.0,0.0,,,,,
2007-05-19,348.0,0.0,0.0,,,,,
2007-05-20,348.0,0.0,0.0,,,,,
2007-05-21,348.0,0.0,0.0,,,,,
2007-05-22,348.0,0.0,0.0,,,,,
2007-05-23,348.0,0.0,0.0,,,,,
2007-05-24,348.0,0.0,0.0,,,,,
2007-05-25,348.0,0.0,0.0,,,,,
2007-05-26,348.0,0.0,0.0,,,,,
2007-05-27,348.0,0.0,0.0,,,,,
2007-05-28,348.0,0.0,0.0,,,,,
2007-05-29,366.95,4180.0,1533851.0,,,,,
2007-05-30,366.05,2840.0,1039582.0,,,,,
2007-05-31,368.0,1030.0,379040.0,,,,,
2007-06-01,372.2,30.0,11166.0,,,,,
2007-06-02,372.2,0.0,0.0,,,,,
2007-06-03,372.2,0.0,0.0,,,,,
2007-06-04,372.25,20.0,7445.0,,,,,
2007-06-05,366.35,10.0,3663.5,,,,,
2007-06-06,366.35,0.0,0.0,,,,,
2007-06-07,367.45,0.0,0.0,,,,,
2007-06-08,365.6,10.0,3656.0,,,,,
2007-06-09,365.6,0.0,0.0,,,,,
2007-06-10,365.6,0.0,0.0,,,,,
2007-06-11,368.0,0.0,0.0,,,,,
2007-06-12,368.1,30.0,11043.0,,,,,
2007-06-13,366.4,20.0,7328.0,,,,,
2007-06-14,367.25,10.0,3672.5,,,,,
2007-06-15,369.25,10.0,3692.5,,,,,
2007-06-16,369.25,0.0,0.0,,,,,
2007-06-17,369.25,0.0,0.0,,,,,
2007-06-18,370.75,10.0,3707.5,,,,,
2007-06-19,370.75,0.0,0.0,,,,,
2007-06-20,370.75,0.0,0.0,,,,,
2007-06-21,370.75,0.0,0.0,,,,,
2007-06-22,370.75,0.0,0.0,,,,,
2007-06-23,370.75,0.0,0.0,,,,,
2007-06-24,370.75,0.0,0.0,,,,,
2007-06-25,370.75,0.0,0.0,,,,,
2007-06-26,370.75,0.0,0.0,,,,,
2007-06-27,370.75,0.0,0.0,,,,,
2007-06-28,370.75,0.0,0.0,,,,,
2007-06-29,370.75,0.0,0.0,,,,,
2007-06-30,370.75,0.0,0.0,,,,,
2007-07-01,370.75,0.0,0.0,,,,,
2007-07-02,370.75,0.0,0.0,,,,,
2007-07-03,370.75,0.0,0.0,,,,,
2007-07-04,370.75,0.0,0.0,,,,,
2007-07-05,370.75,0.0,0.0,,,,,
2007-07-06,370.75,0.0,0.0,,,,,
2007-07-07,370.75,0.0,0.0,,,,,
2007-07-08,370.75,0.0,0.0,,,,,
2007-07-09,370.75,0.0,0.0,,,,,
2007-07-10,370.75,0.0,0.0,,,,,
2007-07-11,370.75,0.0,0.0,,,,,
2007-07-12,370.75,0.0,0.0,,,,,
2007-07-13,370.75,0.0,0.0,,,,,
2007-07-14,370.75,0.0,0.0,,,,,
2007-07-15,370.75,0.0,0.0,,,,,
2007-07-16,370.75,0.0,0.0,,,,,
2007-07-17,370.75,0.0,0.0,,,,,
2007-07-18,370.75,0.0,0.0,,,,,
2007-07-19,370.75,0.0,0.0,,,,,
2007-07-20,370.75,0.0,0.0,,,,,
2007-07-21,370.75,0.0,0.0,,,,,
2007-07-22,370.75,0.0,0.0,,,,,
2007-07-23,370.75,0.0,0.0,,,,,
2007-07-24,370.75,0.0,0.0,,,,,
2007-07-25,370.75,0.0,0.0,,,,,
2007-07-26,370.75,0.0,0.0,,,,,
2007-07-27,370.75,0.0,0.0,,,,,
2007-07-28,370.75,0.0,0.0,,,,,
2007-07-29,370.75,0.0,0.0,,,,,
2007-07-30,370.75,0.0,0.0,,,,,
2007-07-31,370.75,0.0,0.0,,,,,
2007-08-01,370.75,0.0,0.0,,,,,
2007-08-02,370.75,0.0,0.0,,,,,
2007-08-03,370.75,0.0,0.0,,,,,
2007-08-04,370.75,0.0,0.0,,,,,
2007-08-05,370.75,0.0,0.0,,,,,
2007-08-06,370.75,0.0,0.0,,,,,
2007-08-07,370.75,0.0,0.0,,,,,
2007-08-08,370.75,0.0,0.0,,,,,
2007-08-09,370.75,0.0,0.0,,,,,
2007-08-10,370.75,0.0,0.0,,,,,
2007-08-11,370.75,0.0,0.0,,,,,
2007-08-12,370.75,0.0,0.0,,,,,
2007-08-13,370.75,0.0,0.0,,,,,
2007-08-14,370.75,0.0,0.0,,,,,
2007-08-15,370.75,0.0,0.0,,,,,
2007-08-16,370.75,0.0,0.0,,,,,
2007-08-17,370.75,0.0,0.0,,,,,
2007-08-18,370.75,0.0,0.0,,,,,
2007-08-19,370.75,0.0,0.0,,,,,
2007-08-20,370.75,0.0,0.0,,,,,
2007-08-21,370.75,0.0,0.0,,,,,
2007-08-22,370.75,0.0,0.0,,,,,
2007-08-23,370.75,0.0,0.0,,,,,
2007-08-24,370.75,0.0,0.0,,,,,
2007-08-25,370.75,0.0,0.0,,,,,
2007-08-26,370.75,0.0,0.0,,,,,
2007-08-27,370.75,0.0,0.0,,,,,
2007-08-28,370.75,0.0,0.0,,,,,
2007-08-29,370.75,0.0,0.0,,,,,
2007-08-30,330.7,1670.0,552269.0,,,,,
2007-08-31,333.5,150.0,50025.0,,,,,
2007-09-01,333.5,0.0,0.0,,,,,
2007-09-02,333.5,0.0,0.0,,,,,
2007-09-03,333.5,0.0,0.0,,,,,
2007-09-04,333.5,0.0,0.0,,,,,
2007-09-05,332.6,40.0,13304.0,,,,,
2007-09-06,332.6,0.0,0.0,,,,,
2007-09-07,336.55,0.0,0.0,,,,,
2007-09-08,336.55,0.0,0.0,,,,,
2007-09-09,336.55,0.0,0.0,,,,,
2007-09-10,336.55,0.0,0.0,,,,,
2007-09-11,336.55,0.0,0.0,,,,,
2007-09-12,335.7,20.0,6714.0,,,,,
2007-09-13,335.7,0.0,0.0,,,,,
2007-09-14,330.0,10.0,3300.0,,,,,
2007-09-15,330.0,0.0,0.0,,,,,
2007-09-16,330.0,0.0,0.0,,,,,
2007-09-17,331.35,10.0,3313.5,,,,,
2007-09-18,331.35,0.0,0.0,,,,,
2007-09-19,331.35,0.0,0.0,,,,,
2007-09-20,340.6,0.0,0.0,,,,,
2007-09-21,340.6,0.0,0.0,,,,,
2007-09-22,340.6,0.0,0.0,,,,,
2007-09-23,340.6,0.0,0.0,,,,,
2007-09-24,340.6,0.0,0.0,,,,,
2007-09-25,340.6,0.0,0.0,,,,,
2007-09-26,340.6,0.0,0.0,,,,,
2007-09-27,340.6,0.0,0.0,,,,,
2007-09-28,340.6,0.0,0.0,,,,,
2007-09-29,340.6,0.0,0.0,,,,,
2007-09-30,340.6,0.0,0.0,,,,,
2007-10-01,340.6,0.0,0.0,,,,,
2007-10-02,340.6,0.0,0.0,,,,,
2007-10-03,340.6,0.0,0.0,,,,,
2007-10-04,340.6,0.0,0.0,,,,,
2007-10-05,340.6,0.0,0.0,,,,,
2007-10-06,340.6,0.0,0.0,,,,,
2007-10-07,340.6,0.0,0.0,,,,,
2007-10-08,340.6,0.0,0.0,,,,,
2007-10-09,340.6,0.0,0.0,,,,,
2007-10-10,340.6,0.0,0.0,,,,,
2007-10-11,340.6,0.0,0.0,,,,,
2007-10-12,340.6,0.0,0.0,,,,,
2007-10-13,340.6,0.0,0.0,,,,,
2007-10-14,340.6,0.0,0.0,,,,,
2007-10-15,340.6,0.0,0.0,,,,,
2007-10-16,340.6,0.0,0.0,,,,,
2007-10-17,340.6,0.0,0.0,,,,,
