,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
2007-01-19,10.36,210.0,2175.6,,,,,
2007-01-20,10.36,0.0,0.0,,,,,
2007-01-21,10.36,0.0,0.0,,,,,
2007-01-22,10.105,10.0,101.05000000000001,,,,,
2007-01-23,10.27,1080.0,11091.6,,,,,
2007-01-24,10.175,670.0,6817.250000000001,,,,,
2007-01-25,10.19,670.0,6827.299999999999,,,,,
2007-01-26,10.22,560.0,5723.200000000001,,,,,
2007-01-27,10.22,0.0,0.0,,,,,
2007-01-28,10.22,0.0,0.0,,,,,
2007-01-29,10.2,550.0,5610.0,,,,,
2007-01-30,10.15,690.0,7003.5,,,,,
2007-01-31,10.105,3410.0,34458.05,,,,,
2007-02-01,10.13,650.0,6584.500000000001,,,,,
2007-02-02,10.13,770.0,7800.1,,,,,
2007-02-03,10.13,0.0,0.0,,,,,
2007-02-04,10.13,0.0,0.0,,,,,
2007-02-05,10.12,360.0,3643.2,,,,,
2007-02-06,10.11,600.0,6066.0,,,,,
2007-02-07,10.17,620.0,6305.4,,,,,
2007-02-08,10.155,180.0,1827.8999999999999,,,,,
2007-02-09,10.18,290.0,2952.2,,,,,
2007-02-10,10.18,0.0,0.0,,,,,
2007-02-11,10.18,0.0,0.0,,,,,
2007-02-12,10.17,260.0,2644.2,,,,,
2007-02-13,10.15,280.0,2842.0,,,,,
2007-02-14,10.11,240.0,2426.3999999999996,,,,,
2007-02-15,9.98,1760.0,17564.8,,,,,
2007-02-16,9.96,1290.0,12848.400000000001,,,,,
2007-02-17,9.96,0.0,0.0,,,,,
2007-02-18,9.96,0.0,0.0,,,,,
2007-02-19,9.96,0.0,0.0,,,,,
2007-02-20,9.98,1310.0,13073.800000000001,,,,,
2007-02-21,10.365,1150.0,11919.75,,,,,
2007-02-22,10.3,550.0,5665.0,,,,,
2007-02-23,10.185,1090.0,11101.65,,,,,
2007-02-24,10.185,0.0,0.0,,,,,
2007-02-25,10.185,0.0,0.0,,,,,
2007-02-26,10.22,1370.0,14001.400000000001,,,,,
2007-02-27,10.045,1660.0,16674.7,,,,,
2007-02-28,10.22,820.0,8380.4,,,,,
2007-03-01,10.32,10.0,103.2,,,,,
2007-03-02,10.3,30.0,309.0,,,,,
2007-03-03,10.3,0.0,0.0,,,,,
2007-03-04,10.3,0.0,0.0,,,,,
2007-03-05,10.38,80.0,830.4000000000001,,,,,
2007-03-06,10.445,30.0,313.35,,,,,
2007-03-07,10.4,100.0,1040.0,,,,,
2007-03-08,10.37,10.0,103.69999999999999,,,,,
2007-03-09,10.38,0.0,0.0,,,,,
2007-03-10,10.38,0.0,0.0,,,,,
2007-03-11,10.38,0.0,0.0,,,,,
2007-03-12,10.48,10.0,104.80000000000001,,,,,
2007-03-13,10.44,0.0,0.0,,,,,
2007-03-14,10.44,0.0,0.0,,,,,
2007-03-15,10.44,0.0,0.0,,,,,
2007-03-16,10.44,0.0,0.0,,,,,
2007-03-17,10.44,0.0,0.0,,,,,
2007-03-18,10.44,0.0,0.0,,,,,
2007-03-19,10.07,20.0,201.4,,,,,
2007-03-20,10.07,0.0,0.0,,,,,
2007-03-21,10.07,0.0,0.0,,,,,
2007-03-22,10.135,370.0,3749.95,,,,,
2007-03-23,9.79,1720.0,16838.8,,,,,
2007-03-24,9.79,0.0,0.0,,,,,
2007-03-25,9.79,0.0,0.0,,,,,
2007-03-26,9.76,1320.0,12883.199999999999,,,,,
2007-03-27,9.8,300.0,2940.0,,,,,
2007-03-28,10.05,420.0,4221.0,,,,,
2007-03-29,10.145,570.0,5782.65,,,,,
2007-03-30,10.08,2150.0,21672.0,,,,,
2007-03-31,10.08,0.0,0.0,,,,,
