,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
1980-01-02,38.85,2460.0,95571.0,,,,,
1980-01-03,37.1,3020.0,112042.0,,,,,
1980-01-04,36.1,1900.0,68590.0,,,,,
1980-01-05,36.1,0.0,0.0,,,,,
1980-01-06,36.1,0.0,0.0,,,,,
1980-01-07,35.8,2240.0,80192.0,,,,,
1980-01-08,31.91,1170.0,37334.7,,,,,
1980-01-09,33.6,2360.0,79296.0,0.05296145408962705,1.0,,,
1980-01-10,33.75,1990.0,67162.5,0.004464285714285587,1.0,,,
1980-01-11,38.75,2390.0,92612.5,,,,,
1980-01-12,38.75,0.0,0.0,0.0,0.0,,,
1980-01-13,38.75,0.0,0.0,,,,,
1980-01-14,42.5,2690.0,114325.0,,,,,
1980-01-15,46.3,2990.0,138437.0,0.0894117647058823,1.0,,,
1980-01-16,45.7,2820.0,128874.00000000001,-0.01295896328293722,-1.0,,,
1980-01-17,48.7,2450.0,119315.0,,,,,
1980-01-18,46.8,2780.0,130103.99999999999,-0.03901437371663252,-1.0,,,
1980-01-19,46.8,0.0,0.0,0.0,0.0,,,
1980-01-20,46.8,0.0,0.0,,,,,
1980-01-21,44.0,70.0,3080.0,,,,,
1980-01-22,34.0,860.0,29240.0,-0.2272727272727273,-1.0,,,
1980-01-23,37.5,320.0,12000.0,0.10294117647058831,1.0,,,
1980-01-24,36.5,170.0,6205.0,-0.026666666666666616,-1.0,0.026666666666666616,1.0,-1.0
1980-01-25,33.5,120.0,4020.0,-0.0821917808219178,-1.0,,,
1980-01-26,33.5,0.0,0.0,0.0,0.0,,,
1980-01-27,33.5,0.0,0.0,,,,,
1980-01-28,33.95,240.0,8148.000000000001,,,,,
1980-01-29,36.4,0.0,0.0,,,,,
1980-01-30,35.85,0.0,0.0,-0.015109890109890056,-1.0,,,
1980-01-31,34.6,70.0,2422.0,,,,,
1980-02-01,34.15,0.0,0.0,-0.013005780346820872,-1.0,,,
1980-02-02,34.15,0.0,0.0,,,,,
1980-02-03,34.15,0.0,0.0,,,,,
1980-02-04,33.0,20.0,660.0,,,,,
1980-02-05,34.85,120.0,4182.0,0.056060606060606144,1.0,,,
1980-02-06,37.75,120.0,4530.0,0.08321377331420376,1.0,,,
1980-02-07,36.5,160.0,5840.0,-0.0331125827814569,-1.0,,,
1980-02-08,37.1,150.0,5565.0,0.016438356164383494,1.0,,,
1980-02-09,37.1,0.0,0.0,,,,,
1980-02-10,37.1,0.0,0.0,,,,,
1980-02-11,38.5,410.0,15785.0,,,,,
1980-02-12,38.0,110.0,4180.0,-0.012987012987012991,-1.0,,,
1980-02-13,37.0,40.0,1480.0,,,,,
1980-02-14,36.2,40.0,1448.0,-0.021621621621621512,-1.0,,,
1980-02-15,35.8,130.0,4654.0,-0.011049723756906271,-1.0,,,
1980-02-16,35.8,0.0,0.0,,,,,
1980-02-17,35.8,0.0,0.0,,,,,
1980-02-18,35.8,0.0,0.0,,,,,
