,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
1980-01-02,2939.0,970.0,2850830.0,,,,,
1980-01-03,2947.0,410.0,1208270.0,,,,,
1980-01-04,2967.0,370.0,1097790.0,,,,,
1980-01-05,2967.0,0.0,0.0,,,,,
1980-01-06,2967.0,0.0,0.0,,,,,
1980-01-07,2994.0,300.0,898200.0,,,,,
1980-01-08,3033.0,490.0,1486170.0,,,,,
1980-01-09,3013.0,270.0,813510.0,,,,,
1980-01-10,3005.0,320.0,961600.0,,,,,
1980-01-11,3070.0,410.0,1258700.0,,,,,
1980-01-12,3070.0,0.0,0.0,,,,,
1980-01-13,3070.0,0.0,0.0,,,,,
1980-01-14,3045.0,450.0,1370250.0,,,,,
1980-01-15,3062.0,280.0,857360.0,,,,,
1980-01-16,3019.0,460.0,1388740.0,,,,,
1980-01-17,3057.0,490.0,1497930.0,,,,,
1980-01-18,3022.0,460.0,1390120.0,,,,,
1980-01-19,3022.0,0.0,0.0,,,,,
1980-01-20,3022.0,0.0,0.0,,,,,
1980-01-21,2981.0,470.0,1401070.0,,,,,
1980-01-22,2989.0,390.0,1165710.0,,,,,
1980-01-23,3023.0,620.0,1874260.0,,,,,
1980-01-24,3035.0,370.0,1122950.0,,,,,
1980-01-25,3060.0,660.0,2019600.0,,,,,
1980-01-26,3060.0,0.0,0.0,,,,,
1980-01-27,3060.0,0.0,0.0,,,,,
1980-01-28,3064.0,250.0,766000.0,,,,,
1980-01-29,3152.0,880.0,2773760.0,,,,,
1980-01-30,3220.0,970.0,3123400.0,,,,,
1980-01-31,3178.0,800.0,2542400.0,,,,,
1980-02-01,3171.0,480.0,1522080.0,,,,,
1980-02-02,3171.0,0.0,0.0,,,,,
1980-02-03,3171.0,0.0,0.0,,,,,
1980-02-04,3259.0,480.0,1564320.0,,,,,
1980-02-05,3214.0,460.0,1478440.0,,,,,
1980-02-06,3250.0,340.0,1105000.0,,,,,
1980-02-07,3228.0,440.0,1420320.0,,,,,
1980-02-08,3211.0,440.0,1412840.0,,,,,
1980-02-09,3211.0,0.0,0.0,,,,,
1980-02-10,3211.0,0.0,0.0,,,,,
1980-02-11,3297.0,340.0,1120980.0,,,,,
1980-02-12,3297.0,0.0,0.0,,,,,
1980-02-13,3386.0,380.0,1286680.0,,,,,
1980-02-14,3347.0,560.0,1874320.0,,,,,
1980-02-15,3269.0,410.0,1340290.0,,,,,
1980-02-16,3269.0,0.0,0.0,,,,,
1980-02-17,3269.0,0.0,0.0,,,,,
1980-02-18,3269.0,0.0,0.0,,,,,
1980-02-19,3181.0,480.0,1526880.0,,,,,
1980-02-20,3092.0,740.0,2288080.0,,,,,
1980-02-21,2934.0,720.0,2112480.0,,,,,
1980-02-22,2867.0,420.0,1204140.0,,,,,
1980-02-23,2867.0,0.0,0.0,0.0,0.0,,,
1980-02-24,2867.0,0.0,0.0,,,,,
1980-02-25,2958.0,160.0,473280.0,,,,,
1980-02-26,2934.0,70.0,205380.0,-0.008113590263691739,-1.0,,,
1980-02-27,3009.0,30.0,90270.0,,,,,
1980-02-28,2981.0,80.0,238480.0,-0.009305417082087097,-1.0,,,
1980-02-29,2977.0,20.0,59540.0,,,,,
1980-03-01,2977.0,0.0,0.0,,,,,
1980-03-02,2977.0,0.0,0.0,,,,,
1980-03-03,3042.0,40.0,121680.0,,,,,
1980-03-04,3016.0,20.0,60320.0,,,,,
1980-03-05,3105.0,30.0,93150.0,,,,,
1980-03-06,3023.0,40.0,120920.0,,,,,
1980-03-07,2978.0,10.0,29780.0,,,,,
1980-03-08,2978.0,0.0,0.0,,,,,
1980-03-09,2978.0,0.0,0.0,,,,,
1980-03-10,2928.0,30.0,87840.0,,,,,
1980-03-11,2978.0,0.0,0.0,,,,,
1980-03-12,2936.0,0.0,0.0,,,,,
1980-03-13,2876.0,0.0,0.0,,,,,
1980-03-14,2923.0,0.0,0.0,,,,,
1980-03-15,2923.0,0.0,0.0,,,,,
1980-03-16,2923.0,0.0,0.0,,,,,
1980-03-17,2884.0,0.0,0.0,,,,,
1980-03-18,2950.0,0.0,0.0,,,,,
1980-03-19,2956.0,0.0,0.0,,,,,
1980-03-20,2967.0,0.0,0.0,,,,,
1980-03-21,3094.0,540.0,1670760.0,,,,,
1980-03-22,3094.0,0.0,0.0,,,,,
1980-03-23,3094.0,0.0,0.0,,,,,
1980-03-24,3152.0,950.0,2994400.0,,,,,
1980-03-25,3070.0,580.0,1780600.0,,,,,
1980-03-26,3044.0,320.0,974080.0,,,,,
1980-03-27,2976.0,520.0,1547520.0,,,,,
1980-03-28,2942.0,300.0,882600.0,,,,,
1980-03-29,2942.0,0.0,0.0,,,,,
1980-03-30,2942.0,0.0,0.0,,,,,
1980-03-31,2912.0,530.0,1543360.0,,,,,
1980-04-01,2849.0,300.0,854700.0,,,,,
1980-04-02,2871.0,230.0,660330.0,,,,,
1980-04-03,2923.0,700.0,2046100.0,,,,,
1980-04-04,2923.0,0.0,0.0,,,,,
1980-04-05,2923.0,0.0,0.0,,,,,
1980-04-06,2923.0,0.0,0.0,,,,,
1980-04-07,2947.0,300.0,884100.0,,,,,
1980-04-08,2982.0,320.0,954240.0,,,,,
1980-04-09,2951.0,220.0,649220.0,,,,,
1980-04-10,2907.0,320.0,930240.0,,,,,
1980-04-11,2876.0,300.0,862800.0,,,,,
1980-04-12,2876.0,0.0,0.0,,,,,
1980-04-13,2876.0,0.0,0.0,,,,,
1980-04-14,2817.0,440.0,1239480.0,,,,,
1980-04-15,2796.0,290.0,810840.0,,,,,
1980-04-16,2817.0,360.0,1014120.0,,,,,
1980-04-17,2829.0,290.0,820410.0,,,,,
1980-04-18,2755.0,220.0,606100.0,,,,,
1980-04-19,2755.0,0.0,0.0,,,,,
1980-04-20,2755.0,0.0,0.0,,,,,
1980-04-21,2725.0,330.0,899250.0,,,,,
1980-04-22,2759.0,170.0,469030.0,,,,,
1980-04-23,2772.0,160.0,443520.0,,,,,
