,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
1980-01-02,177.58,1140.0,202441.2,,,,,
1980-01-03,171.5,1440.0,246960.0,,,,,
1980-01-04,176.16,1290.0,227246.4,,,,,
1980-01-05,176.16,0.0,0.0,,,,,
1980-01-06,176.16,0.0,0.0,,,,,
1980-01-07,178.58,1020.0,182151.6,,,,,
1980-01-08,180.57,1250.0,225712.5,,,,,
1980-01-09,176.16,770.0,135643.2,,,,,
1980-01-10,179.5,810.0,145395.0,,,,,
1980-01-11,183.02,910.0,166548.2,,,,,
1980-01-12,183.02,0.0,0.0,,,,,
1980-01-13,183.02,0.0,0.0,,,,,
1980-01-14,178.93,720.0,128829.6,,,,,
1980-01-15,173.36,1180.0,204564.80000000002,,,,,
1980-01-16,173.36,1520.0,263507.2,0.0,0.0,-0.0,0.0,-1.0
1980-01-17,173.93,1010.0,175669.30000000002,,,,,
1980-01-18,173.79,1160.0,201596.4,,,,,
1980-01-19,173.79,0.0,0.0,,,,,
1980-01-20,173.79,0.0,0.0,,,,,
1980-01-21,172.69,590.0,101887.1,,,,,
1980-01-22,167.44,1090.0,182509.6,,,,,
1980-01-23,162.47,1260.0,204712.2,,,,,
1980-01-24,165.07,1300.0,214591.0,0.01600295439158006,1.0,,,
1980-01-25,163.75,1460.0,239075.0,,,,,
1980-01-26,163.75,0.0,0.0,,,,,
1980-01-27,163.75,0.0,0.0,,,,,
1980-01-28,165.48,620.0,102597.59999999999,,,,,
1980-01-29,165.0,400.0,66000.0,,,,,
1980-01-30,165.0,780.0,128700.0,,,,,
1980-01-31,166.39,820.0,136439.8,,,,,
1980-02-01,168.61,690.0,116340.90000000001,,,,,
1980-02-02,168.61,0.0,0.0,,,,,
1980-02-03,168.61,0.0,0.0,,,,,
1980-02-04,168.95,210.0,35479.5,,,,,
1980-02-05,166.0,330.0,54780.0,,,,,
1980-02-06,167.6,940.0,157544.0,,,,,
1980-02-07,166.18,340.0,56501.200000000004,,,,,
1980-02-08,166.35,230.0,38260.5,,,,,
1980-02-09,166.35,0.0,0.0,,,,,
1980-02-10,166.35,0.0,0.0,,,,,
1980-02-11,165.28,180.0,29750.4,,,,,
1980-02-12,165.28,0.0,0.0,,,,,
1980-02-13,163.78,340.0,55685.2,,,,,
1980-02-14,163.06,240.0,39134.4,,,,,
1980-02-15,166.46,410.0,68248.6,,,,,
1980-02-16,166.46,0.0,0.0,,,,,
1980-02-17,166.46,0.0,0.0,,,,,
1980-02-18,166.46,0.0,0.0,,,,,
1980-02-19,168.58,570.0,96090.6,,,,,
1980-02-20,167.5,580.0,97150.0,,,,,
1980-02-21,168.46,670.0,112868.20000000001,,,,,
1980-02-22,170.1,680.0,115668.0,,,,,
1980-02-23,170.1,0.0,0.0,,,,,
1980-02-24,170.1,0.0,0.0,,,,,
1980-02-25,172.8,410.0,70848.0,,,,,
1980-02-26,173.88,370.0,64335.6,,,,,
1980-02-27,174.78,550.0,96129.0,,,,,
1980-02-28,175.17,620.0,108605.4,,,,,
1980-02-29,175.68,420.0,73785.6,,,,,
1980-03-01,175.68,0.0,0.0,,,,,
1980-03-02,175.68,0.0,0.0,,,,,
1980-03-03,179.85,350.0,62947.5,,,,,
1980-03-04,184.88,290.0,53615.2,,,,,
1980-03-05,189.13,310.0,58630.299999999996,,,,,
1980-03-06,184.25,60.0,11055.0,,,,,
1980-03-07,185.37,310.0,57464.700000000004,,,,,
1980-03-08,185.37,0.0,0.0,,,,,
1980-03-09,185.37,0.0,0.0,,,,,
1980-03-10,187.37,220.0,41221.4,,,,,
1980-03-11,186.37,200.0,37274.0,,,,,
1980-03-12,186.88,120.0,22425.6,,,,,
1980-03-13,185.46,140.0,25964.4,,,,,
1980-03-14,181.0,90.0,16290.0,,,,,
1980-03-15,181.0,0.0,0.0,,,,,
1980-03-16,181.0,0.0,0.0,,,,,
1980-03-17,181.99,100.0,18199.0,,,,,
1980-03-18,178.5,80.0,14280.0,,,,,
1980-03-19,181.0,40.0,7240.0,,,,,
1980-03-20,182.0,70.0,12740.0,,,,,
1980-03-21,185.22,250.0,46305.0,,,,,
1980-03-22,185.22,0.0,0.0,,,,,
1980-03-23,185.22,0.0,0.0,,,,,
1980-03-24,189.53,110.0,20848.3,,,,,
1980-03-25,187.7,1260.0,236502.0,,,,,
1980-03-26,188.34,1160.0,218474.4,,,,,
1980-03-27,187.58,740.0,138809.2,,,,,
1980-03-28,185.24,890.0,164863.6,,,,,
1980-03-29,185.24,0.0,0.0,,,,,
1980-03-30,185.24,0.0,0.0,,,,,
1980-03-31,182.25,530.0,96592.5,,,,,
1980-04-01,178.98,570.0,102018.59999999999,,,,,
1980-04-02,179.32,410.0,73521.2,,,,,
