,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
1980-01-02,286.5,0.0,0.0,,,,,
1980-01-03,286.5,0.0,0.0,,,,,
1980-01-04,284.25,0.0,0.0,,,,,
1980-01-05,284.25,0.0,0.0,,,,,
1980-01-06,284.25,0.0,0.0,,,,,
1980-01-07,284.25,0.0,0.0,,,,,
1980-01-08,284.25,0.0,0.0,,,,,
1980-01-09,274.25,0.0,0.0,,,,,
1980-01-10,265.25,0.0,0.0,,,,,
1980-01-11,272.75,0.0,0.0,0.02827521206409056,1.0,,,
1980-01-12,272.75,0.0,0.0,,,,,
1980-01-13,272.75,0.0,0.0,,,,,
1980-01-14,270.5,0.0,0.0,,,,,
1980-01-15,271.25,0.0,0.0,,,,,
1980-01-16,269.5,0.0,0.0,,,,,
1980-01-17,276.75,0.0,0.0,,,,,
1980-01-18,273.25,0.0,0.0,,,,,
1980-01-19,273.25,0.0,0.0,,,,,
1980-01-20,273.25,0.0,0.0,,,,,
1980-01-21,271.25,0.0,0.0,,,,,
1980-01-22,270.5,0.0,0.0,,,,,
1980-01-23,274.75,0.0,0.0,,,,,
1980-01-24,272.25,0.0,0.0,,,,,
1980-01-25,270.5,0.0,0.0,,,,,
1980-01-26,270.5,0.0,0.0,,,,,
1980-01-27,270.5,0.0,0.0,,,,,
1980-01-28,272.5,0.0,0.0,,,,,
1980-01-29,273.25,0.0,0.0,,,,,
1980-01-30,275.5,0.0,0.0,,,,,
1980-01-31,274.75,0.0,0.0,,,,,
1980-02-01,276.75,0.0,0.0,,,,,
1980-02-02,276.75,0.0,0.0,,,,,
1980-02-03,276.75,0.0,0.0,,,,,
1980-02-04,278.75,0.0,0.0,,,,,
1980-02-05,277.75,0.0,0.0,,,,,
1980-02-06,275.75,0.0,0.0,,,,,
1980-02-07,275.5,0.0,0.0,,,,,
1980-02-08,274.75,0.0,0.0,,,,,
1980-02-09,274.75,0.0,0.0,,,,,
1980-02-10,274.75,0.0,0.0,,,,,
1980-02-11,275.75,0.0,0.0,,,,,
1980-02-12,274.25,0.0,0.0,,,,,
1980-02-13,275.75,0.0,0.0,,,,,
1980-02-14,273.5,0.0,0.0,,,,,
1980-02-15,272.5,0.0,0.0,,,,,
1980-02-16,272.5,0.0,0.0,,,,,
1980-02-17,272.5,0.0,0.0,,,,,
1980-02-18,272.5,0.0,0.0,,,,,
1980-02-19,269.5,0.0,0.0,,,,,
1980-02-20,270.0,0.0,0.0,,,,,
1980-02-21,269.25,0.0,0.0,,,,,
1980-02-22,267.25,0.0,0.0,,,,,
1980-02-23,267.25,0.0,0.0,,,,,
1980-02-24,267.25,0.0,0.0,,,,,
1980-02-25,268.5,0.0,0.0,,,,,
1980-02-26,267.75,0.0,0.0,,,,,
1980-02-27,265.25,0.0,0.0,,,,,
1980-02-28,264.25,0.0,0.0,,,,,
1980-02-29,263.0,0.0,0.0,,,,,
1980-03-01,263.0,0.0,0.0,,,,,
1980-03-02,263.0,0.0,0.0,,,,,
1980-03-03,261.5,0.0,0.0,,,,,
1980-03-04,265.5,0.0,0.0,,,,,
1980-03-05,265.5,0.0,0.0,,,,,
1980-03-06,264.5,0.0,0.0,,,,,
1980-03-07,264.0,0.0,0.0,,,,,
1980-03-08,264.0,0.0,0.0,,,,,
1980-03-09,264.0,0.0,0.0,,,,,
1980-03-10,261.5,0.0,0.0,,,,,
1980-03-11,260.75,0.0,0.0,,,,,
1980-03-12,262.5,0.0,0.0,,,,,
1980-03-13,260.25,0.0,0.0,,,,,
1980-03-14,263.25,0.0,0.0,,,,,
1980-03-15,263.25,0.0,0.0,,,,,
1980-03-16,263.25,0.0,0.0,,,,,
1980-03-17,262.0,0.0,0.0,,,,,
1980-03-18,261.75,0.0,0.0,,,,,
1980-03-19,265.25,0.0,0.0,,,,,
1980-03-20,262.0,0.0,0.0,,,,,
1980-03-21,268.0,0.0,0.0,,,,,
1980-03-22,268.0,0.0,0.0,,,,,
1980-03-23,268.0,0.0,0.0,,,,,
1980-03-24,265.75,0.0,0.0,,,,,
1980-03-25,265.75,0.0,0.0,,,,,
1980-03-26,264.0,0.0,0.0,,,,,
1980-03-27,258.5,0.0,0.0,,,,,
1980-03-28,260.0,0.0,0.0,,,,,
1980-03-29,260.0,0.0,0.0,,,,,
1980-03-30,260.0,0.0,0.0,,,,,
1980-03-31,258.25,0.0,0.0,,,,,
1980-04-01,261.75,0.0,0.0,,,,,
1980-04-02,264.25,0.0,0.0,,,,,
1980-04-03,268.75,0.0,0.0,,,,,
1980-04-04,268.75,0.0,0.0,,,,,
1980-04-05,268.75,0.0,0.0,,,,,
1980-04-06,268.75,0.0,0.0,,,,,
1980-04-07,268.0,0.0,0.0,,,,,
1980-04-08,272.5,0.0,0.0,,,,,
1980-04-09,275.75,0.0,0.0,,,,,
1980-04-10,270.5,0.0,0.0,,,,,
1980-04-11,270.0,0.0,0.0,,,,,
1980-04-12,270.0,0.0,0.0,,,,,
1980-04-13,270.0,0.0,0.0,,,,,
1980-04-14,266.25,0.0,0.0,,,,,
1980-04-15,268.0,0.0,0.0,,,,,
1980-04-16,269.2,0.0,0.0,,,,,
1980-04-17,267.25,0.0,0.0,,,,,
1980-04-18,265.75,0.0,0.0,,,,,
1980-04-19,265.75,0.0,0.0,,,,,
1980-04-20,265.75,0.0,0.0,,,,,
1980-04-21,268.75,0.0,0.0,,,,,
1980-04-22,268.0,0.0,0.0,,,,,
1980-04-23,267.5,0.0,0.0,,,,,
1980-04-24,267.75,0.0,0.0,,,,,
1980-04-25,269.5,0.0,0.0,,,,,
1980-04-26,269.5,0.0,0.0,,,,,
1980-04-27,269.5,0.0,0.0,,,,,
1980-04-28,266.5,0.0,0.0,,,,,
1980-04-29,265.5,0.0,0.0,,,,,
1980-04-30,265.75,0.0,0.0,,,,,
1980-05-01,266.25,0.0,0.0,,,,,
1980-05-02,268.75,0.0,0.0,,,,,
1980-05-03,268.75,0.0,0.0,,,,,
1980-05-04,268.75,0.0,0.0,,,,,
1980-05-05,273.75,0.0,0.0,,,,,
1980-05-06,272.5,0.0,0.0,,,,,
1980-05-07,271.75,0.0,0.0,,,,,
1980-05-08,275.25,0.0,0.0,,,,,
1980-05-09,274.0,0.0,0.0,,,,,
1980-05-10,274.0,0.0,0.0,,,,,
1980-05-11,274.0,0.0,0.0,,,,,
1980-05-12,268.5,0.0,0.0,,,,,
1980-05-13,270.0,0.0,0.0,,,,,
1980-05-14,270.75,0.0,0.0,,,,,
1980-05-15,273.25,0.0,0.0,,,,,
1980-05-16,271.25,0.0,0.0,,,,,
1980-05-17,271.25,0.0,0.0,,,,,
1980-05-18,271.25,0.0,0.0,,,,,
1980-05-19,272.0,0.0,0.0,,,,,
1980-05-20,271.75,0.0,0.0,,,,,
1980-05-21,279.0,0.0,0.0,,,,,
1980-05-22,279.5,0.0,0.0,,,,,
1980-05-23,279.5,0.0,0.0,,,,,
1980-05-24,279.5,0.0,0.0,,,,,
1980-05-25,279.5,0.0,0.0,,,,,
1980-05-26,279.5,0.0,0.0,,,,,
1980-05-27,281.25,0.0,0.0,,,,,
1980-05-28,279.25,0.0,0.0,,,,,
1980-05-29,275.25,0.0,0.0,,,,,
1980-05-30,276.75,0.0,0.0,,,,,
1980-05-31,276.75,0.0,0.0,,,,,
1980-06-01,276.75,0.0,0.0,,,,,
1980-06-02,273.75,0.0,0.0,,,,,
1980-06-03,275.5,0.0,0.0,,,,,
1980-06-04,275.5,0.0,0.0,,,,,
1980-06-05,273.75,0.0,0.0,,,,,
1980-06-06,273.75,0.0,0.0,,,,,
1980-06-07,273.75,0.0,0.0,,,,,
1980-06-08,273.75,0.0,0.0,,,,,
1980-06-09,274.0,0.0,0.0,,,,,
1980-06-10,275.0,0.0,0.0,,,,,
1980-06-11,276.25,0.0,0.0,,,,,
1980-06-12,277.25,0.0,0.0,,,,,
1980-06-13,278.75,0.0,0.0,,,,,
1980-06-14,278.75,0.0,0.0,,,,,
1980-06-15,278.75,0.0,0.0,,,,,
1980-06-16,280.25,0.0,0.0,,,,,
1980-06-17,279.75,0.0,0.0,,,,,
1980-06-18,280.5,0.0,0.0,,,,,
1980-06-19,280.0,0.0,0.0,,,,,
1980-06-20,280.75,0.0,0.0,,,,,
1980-06-21,280.75,0.0,0.0,,,,,
1980-06-22,280.75,0.0,0.0,,,,,
1980-06-23,283.25,0.0,0.0,,,,,
1980-06-24,283.75,0.0,0.0,,,,,
1980-06-25,284.75,0.0,0.0,,,,,
1980-06-26,284.0,0.0,0.0,,,,,
1980-06-27,282.75,0.0,0.0,,,,,
1980-06-28,282.75,0.0,0.0,,,,,
1980-06-29,282.75,0.0,0.0,,,,,
1980-06-30,284.5,0.0,0.0,,,,,
1980-07-01,288.75,0.0,0.0,,,,,
1980-07-02,294.5,0.0,0.0,,,,,
1980-07-03,296.0,0.0,0.0,,,,,
1980-07-04,296.0,0.0,0.0,,,,,
1980-07-05,296.0,0.0,0.0,,,,,
1980-07-06,296.0,0.0,0.0,,,,,
