,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
2009-10-14,67.14,0,0.0,,,,,
2009-10-15,67.15,0,0.0,,,,,
2009-10-16,68.26,0,0.0,,,,,
2009-10-17,68.26,0,0.0,,,,,
2009-10-18,68.28,0,0.0,,,,,
2009-10-19,66.43,0,0.0,,,,,
2009-10-20,67.5,0,0.0,,,,,
2009-10-21,68.13,0,0.0,,,,,
2009-10-22,68.45,0,0.0,,,,,
2009-10-23,67.67,0,0.0,,,,,
2009-10-24,67.67,0,0.0,,,,,
2009-10-25,67.65,0,0.0,,,,,
2009-10-26,67.25,0,0.0,,,,,
2009-10-27,66.95,0,0.0,,,,,
2009-10-28,66.8,0,0.0,,,,,
2009-10-29,67.54,0,0.0,,,,,
2009-10-30,67.18,0,0.0,,,,,
2009-10-31,67.18,0,0.0,,,,,
2009-11-01,67.2,0,0.0,,,,,
2009-11-02,67.83,0,0.0,,,,,
2009-11-03,68.21,0,0.0,,,,,
2009-11-04,68.08,0,0.0,,,,,
2009-11-05,67.48,0,0.0,,,,,
2009-11-06,66.75,0,0.0,,,,,
2009-11-07,66.75,0,0.0,,,,,
2009-11-08,66.71,0,0.0,,,,,
2009-11-09,67.69,0,0.0,,,,,
2009-11-10,69.03,0,0.0,,,,,
2009-11-11,67.28,0,0.0,,,,,
2009-11-12,66.42,0,0.0,,,,,
2009-11-13,67.08,0,0.0,,,,,
2009-11-14,67.08,0,0.0,,,,,
2009-11-15,67.04,0,0.0,,,,,
2009-11-16,72.51,0,0.0,,,,,
2009-11-17,72.16,0,0.0,,,,,
2009-11-18,72.62,0,0.0,,,,,
2009-11-19,73.13,0,0.0,,,,,
2009-11-20,74.03,0,0.0,,,,,
2009-11-21,74.03,0,0.0,,,,,
2009-11-22,74.02,0,0.0,,,,,
2009-11-23,74.5,0,0.0,,,,,
2009-11-24,75.23,0,0.0,,,,,
2009-11-25,75.21,0,0.0,,,,,
2009-11-26,75.21,0,0.0,,,,,
2009-11-27,73.79,0,0.0,,,,,
2009-11-28,73.79,0,0.0,,,,,
2009-11-29,73.8,0,0.0,,,,,
2009-11-30,74.39,0,0.0,,,,,
2009-12-01,73.56,0,0.0,,,,,
2009-12-02,73.9,0,0.0,,,,,
2009-12-03,74.35,0,0.0,,,,,
2009-12-04,73.8,0,0.0,,,,,
2009-12-05,73.8,0,0.0,,,,,
2009-12-06,73.81,0,0.0,,,,,
2009-12-07,74.74,0,0.0,,,,,
2009-12-08,74.26,0,0.0,,,,,
2009-12-09,74.47,0,0.0,,,,,
2009-12-10,73.89,0,0.0,,,,,
2009-12-11,74.02,0,0.0,,,,,
2009-12-12,74.02,0,0.0,,,,,
2009-12-13,74.05,0,0.0,,,,,
2009-12-14,75.59,0,0.0,,,,,
2009-12-15,75.04,0,0.0,,,,,
2009-12-16,76.23,0,0.0,,,,,
2009-12-17,75.81,0,0.0,,,,,
2009-12-18,74.95,0,0.0,,,,,
2009-12-19,74.95,0,0.0,,,,,
2009-12-20,74.96,0,0.0,,,,,
2009-12-21,75.05,0,0.0,,,,,
2009-12-22,73.79,0,0.0,,,,,
2009-12-23,73.93,0,0.0,,,,,
2009-12-24,73.72,0,0.0,,,,,
2009-12-25,73.72,0,0.0,,,,,
2009-12-26,73.72,0,0.0,,,,,
2009-12-27,73.72,0,0.0,,,,,
2009-12-28,75.59,0,0.0,,,,,
2009-12-29,75.01,0,0.0,,,,,
2009-12-30,75.37,0,0.0,,,,,
2009-12-31,75.74,0,0.0,,,,,
2010-01-01,75.7,0,0.0,,,,,
2010-01-02,75.7,0,0.0,,,,,
2010-01-03,75.7,0,0.0,,,,,
2010-01-04,76.18,0,0.0,,,,,
2010-01-05,73.11,0,0.0,,,,,
2010-01-06,73.6,0,0.0,,,,,
2010-01-07,73.04,0,0.0,,,,,
2010-01-08,72.55,0,0.0,,,,,
2010-01-09,72.55,0,0.0,,,,,
2010-01-10,72.55,0,0.0,,,,,
2010-01-11,74.08,0,0.0,,,,,
2010-01-12,72.7,0,0.0,,,,,
2010-01-13,73.55,0,0.0,,,,,
2010-01-14,72.7,0,0.0,,,,,
2010-01-15,72.05,0,0.0,,,,,
2010-01-16,72.05,0,0.0,,,,,
2010-01-17,72.05,0,0.0,,,,,
2010-01-18,72.07,0,0.0,,,,,
2010-01-19,71.73,0,0.0,,,,,
2010-01-20,70.94,0,0.0,,,,,
2010-01-21,71.96,0,0.0,,,,,
2010-01-22,71.13,0,0.0,,,,,
2010-01-23,71.13,0,0.0,,,,,
2010-01-24,71.13,0,0.0,,,,,
2010-01-25,69.93,0,0.0,,,,,
2010-01-26,70.04,0,0.0,,,,,
2010-01-27,69.25,0,0.0,,,,,
2010-01-28,69.11,0,0.0,,,,,
2010-01-29,69.17,0,0.0,,,,,
2010-01-30,69.17,0,0.0,,,,,
2010-01-31,69.17,0,0.0,,,,,
2010-02-01,68.21,0,0.0,,,,,
2010-02-02,69.43,0,0.0,,,,,
2010-02-03,69.55,0,0.0,,,,,
2010-02-04,68.73,0,0.0,,,,,
2010-02-05,66.7,0,0.0,,,,,
2010-02-06,66.7,0,0.0,,,,,
2010-02-07,66.7,0,0.0,,,,,
2010-02-08,69.5,0,0.0,,,,,
2010-02-09,72.21,0,0.0,,,,,
2010-02-10,72.82,0,0.0,,,,,
2010-02-11,73.09,0,0.0,,,,,
2010-02-12,74.95,0,0.0,,,,,
2010-02-13,74.95,0,0.0,,,,,
2010-02-14,74.95,0,0.0,,,,,
2010-02-15,74.95,0,0.0,,,,,
2010-02-16,75.8,0,0.0,,,,,
2010-02-17,76.08,0,0.0,,,,,
2010-02-18,78.16,0,0.0,,,,,
2010-02-19,79.02,0,0.0,,,,,
2010-02-20,79.02,0,0.0,,,,,
2010-02-21,79.02,0,0.0,,,,,
2010-02-22,79.75,0,0.0,,,,,
2010-02-23,79.55,0,0.0,,,,,
2010-02-24,79.22,0,0.0,,,,,
2010-02-25,81.46,0,0.0,,,,,
2010-02-26,82.55,0,0.0,,,,,
2010-02-27,82.55,0,0.0,,,,,
2010-02-28,82.55,0,0.0,,,,,
2010-03-01,83.21,0,0.0,,,,,
2010-03-02,81.87,0,0.0,,,,,
2010-03-03,82.93,0,0.0,,,,,
2010-03-04,82.16,0,0.0,,,,,
2010-03-05,82.39,0,0.0,,,,,
2010-03-06,82.39,0,0.0,,,,,
