,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
1980-01-02,23.83,0.0,0.0,,,,,
1980-01-03,23.92,0.0,0.0,,,,,
1980-01-04,23.82,0.0,0.0,,,,,
1980-01-05,23.82,0.0,0.0,,,,,
1980-01-06,23.82,0.0,0.0,,,,,
1980-01-07,23.82,0.0,0.0,,,,,
1980-01-08,23.82,0.0,0.0,,,,,
1980-01-09,22.83,0.0,0.0,,,,,
1980-01-10,23.25,0.0,0.0,,,,,
1980-01-11,23.42,0.0,0.0,,,,,
1980-01-12,23.42,0.0,0.0,,,,,
1980-01-13,23.42,0.0,0.0,,,,,
1980-01-14,23.2,0.0,0.0,,,,,
1980-01-15,23.0,0.0,0.0,,,,,
1980-01-16,22.87,0.0,0.0,,,,,
1980-01-17,23.55,0.0,0.0,,,,,
1980-01-18,23.48,0.0,0.0,,,,,
1980-01-19,23.48,0.0,0.0,,,,,
1980-01-20,23.48,0.0,0.0,,,,,
1980-01-21,23.6,0.0,0.0,,,,,
1980-01-22,23.36,0.0,0.0,,,,,
1980-01-23,23.97,0.0,0.0,,,,,
1980-01-24,23.71,0.0,0.0,,,,,
1980-01-25,23.51,0.0,0.0,,,,,
1980-01-26,23.51,0.0,0.0,,,,,
1980-01-27,23.51,0.0,0.0,,,,,
1980-01-28,23.57,0.0,0.0,,,,,
1980-01-29,23.67,0.0,0.0,,,,,
1980-01-30,24.11,0.0,0.0,,,,,
1980-01-31,24.16,0.0,0.0,,,,,
1980-02-01,24.13,0.0,0.0,,,,,
1980-02-02,24.13,0.0,0.0,,,,,
1980-02-03,24.13,0.0,0.0,,,,,
1980-02-04,24.57,0.0,0.0,,,,,
1980-02-05,24.41,0.0,0.0,,,,,
1980-02-06,24.36,0.0,0.0,,,,,
1980-02-07,24.63,0.0,0.0,,,,,
1980-02-08,24.32,0.0,0.0,,,,,
1980-02-09,24.32,0.0,0.0,,,,,
1980-02-10,24.32,0.0,0.0,,,,,
1980-02-11,24.18,0.0,0.0,,,,,
1980-02-12,23.96,0.0,0.0,,,,,
1980-02-13,23.98,0.0,0.0,,,,,
1980-02-14,23.42,0.0,0.0,,,,,
1980-02-15,23.27,0.0,0.0,,,,,
1980-02-16,23.27,0.0,0.0,,,,,
1980-02-17,23.27,0.0,0.0,,,,,
1980-02-18,23.27,0.0,0.0,,,,,
1980-02-19,22.76,0.0,0.0,,,,,
1980-02-20,22.82,0.0,0.0,,,,,
1980-02-21,22.92,0.0,0.0,,,,,
1980-02-22,22.82,0.0,0.0,,,,,
1980-02-23,22.82,0.0,0.0,,,,,
1980-02-24,22.82,0.0,0.0,,,,,
1980-02-25,22.98,0.0,0.0,,,,,
1980-02-26,22.8,0.0,0.0,,,,,
1980-02-27,23.0,0.0,0.0,,,,,
1980-02-28,22.66,0.0,0.0,,,,,
1980-02-29,22.58,0.0,0.0,,,,,
1980-03-01,22.58,0.0,0.0,,,,,
1980-03-02,22.58,0.0,0.0,,,,,
1980-03-03,22.49,0.0,0.0,,,,,
1980-03-04,22.63,0.0,0.0,,,,,
1980-03-05,22.71,0.0,0.0,,,,,
1980-03-06,22.52,0.0,0.0,,,,,
1980-03-07,22.34,0.0,0.0,,,,,
1980-03-08,22.34,0.0,0.0,,,,,
1980-03-09,22.34,0.0,0.0,,,,,
1980-03-10,22.22,0.0,0.0,,,,,
1980-03-11,22.2,0.0,0.0,,,,,
1980-03-12,22.45,0.0,0.0,,,,,
1980-03-13,21.98,0.0,0.0,,,,,
1980-03-14,22.01,0.0,0.0,,,,,
1980-03-15,22.01,0.0,0.0,,,,,
1980-03-16,22.01,0.0,0.0,,,,,
1980-03-17,22.12,0.0,0.0,,,,,
1980-03-18,22.1,0.0,0.0,,,,,
1980-03-19,22.29,0.0,0.0,,,,,
1980-03-20,22.15,0.0,0.0,,,,,
1980-03-21,22.14,0.0,0.0,,,,,
1980-03-22,22.14,0.0,0.0,,,,,
1980-03-23,22.14,0.0,0.0,,,,,
1980-03-24,22.01,0.0,0.0,,,,,
1980-03-25,22.01,0.0,0.0,,,,,
1980-03-26,21.91,0.0,0.0,,,,,
