,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
1990-01-02,561.25,0.0,0.0,,,,,
1990-01-03,567.25,0.0,0.0,,,,,
1990-01-04,563.25,0.0,0.0,,,,,
1990-01-05,564.5,0.0,0.0,,,,,
1990-01-06,564.5,0.0,0.0,,,,,
1990-01-07,564.5,0.0,0.0,,,,,
1990-01-08,570.75,0.0,0.0,,,,,
1990-01-09,570.5,0.0,0.0,,,,,
1990-01-10,567.25,0.0,0.0,,,,,
1990-01-11,569.75,0.0,0.0,,,,,
1990-01-12,565.5,0.0,0.0,,,,,
1990-01-13,565.5,0.0,0.0,,,,,
1990-01-14,565.5,0.0,0.0,,,,,
1990-01-15,564.0,0.0,0.0,,,,,
1990-01-16,558.0,0.0,0.0,,,,,
1990-01-17,557.5,0.0,0.0,,,,,
1990-01-18,560.75,0.0,0.0,,,,,
1990-01-19,558.0,0.0,0.0,,,,,
1990-01-20,558.0,0.0,0.0,,,,,
1990-01-21,558.0,0.0,0.0,,,,,
1990-01-22,554.5,0.0,0.0,,,,,
1990-01-23,567.25,0.0,0.0,,,,,
1990-01-24,566.0,0.0,0.0,,,,,
1990-01-25,558.25,0.0,0.0,,,,,
1990-01-26,558.5,0.0,0.0,,,,,
1990-01-27,558.5,0.0,0.0,,,,,
1990-01-28,558.5,0.0,0.0,,,,,
1990-01-29,563.5,0.0,0.0,,,,,
1990-01-30,558.5,0.0,0.0,,,,,
1990-01-31,561.0,0.0,0.0,,,,,
1990-02-01,559.75,0.0,0.0,,,,,
1990-02-02,560.25,0.0,0.0,,,,,
1990-02-03,560.25,0.0,0.0,,,,,
1990-02-04,560.25,0.0,0.0,,,,,
1990-02-05,558.25,0.0,0.0,,,,,
1990-02-06,562.75,0.0,0.0,,,,,
1990-02-07,567.75,0.0,0.0,,,,,
1990-02-08,564.75,0.0,0.0,,,,,
1990-02-09,566.75,0.0,0.0,,,,,
1990-02-10,566.75,0.0,0.0,,,,,
1990-02-11,566.75,0.0,0.0,,,,,
1990-02-12,565.25,0.0,0.0,,,,,
1990-02-13,564.0,0.0,0.0,,,,,
1990-02-14,566.75,0.0,0.0,,,,,
1990-02-15,571.0,0.0,0.0,,,,,
1990-02-16,569.75,0.0,0.0,,,,,
1990-02-17,569.75,0.0,0.0,,,,,
1990-02-18,569.75,0.0,0.0,,,,,
1990-02-19,569.75,0.0,0.0,,,,,
1990-02-20,566.25,0.0,0.0,,,,,
1990-02-21,571.0,0.0,0.0,,,,,
1990-02-22,568.0,0.0,0.0,,,,,
1990-02-23,565.25,0.0,0.0,,,,,
1990-02-24,565.25,0.0,0.0,,,,,
1990-02-25,565.25,0.0,0.0,,,,,
1990-02-26,561.75,0.0,0.0,,,,,
1990-02-27,561.5,0.0,0.0,,,,,
1990-02-28,566.5,0.0,0.0,,,,,
1990-03-01,567.25,0.0,0.0,,,,,
1990-03-02,568.75,0.0,0.0,,,,,
1990-03-03,568.75,0.0,0.0,,,,,
1990-03-04,568.75,0.0,0.0,,,,,
1990-03-05,570.75,0.0,0.0,,,,,
1990-03-06,577.75,0.0,0.0,,,,,
