,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
1980-01-02,15.64,8280.0,129499.20000000001,,,,,
1980-01-03,15.37,7410.0,113891.7,,,,,
1980-01-04,15.8,4340.0,68572.0,,,,,
1980-01-05,15.8,0.0,0.0,,,,,
1980-01-06,15.8,0.0,0.0,,,,,
1980-01-07,15.38,4790.0,73670.2,,,,,
1980-01-08,15.46,3720.0,57511.200000000004,,,,,
1980-01-09,16.02,3030.0,48540.6,,,,,
1980-01-10,15.81,4390.0,69405.90000000001,-0.013108614232209659,-1.0,-0.013108614232209659,0.0,1.0
1980-01-11,16.68,5240.0,87403.2,,,,,
1980-01-12,16.68,0.0,0.0,0.0,0.0,,,
1980-01-13,16.68,0.0,0.0,,,,,
1980-01-14,17.49,5600.0,97943.99999999999,,,,,
1980-01-15,17.35,7990.0,138626.5,-0.008004574042309698,-1.0,,,
1980-01-16,17.8,6670.0,118726.0,,,,,
1980-01-17,18.34,5690.0,104354.6,,,,,
1980-01-18,18.31,6200.0,113521.99999999999,-0.0016357688113414204,-1.0,,,
1980-01-19,18.31,0.0,0.0,,,,,
1980-01-20,18.31,0.0,0.0,,,,,
1980-01-21,18.88,4550.0,85904.0,,,,,
1980-01-22,19.7,13680.0,269496.0,,,,,
1980-01-23,20.3,7390.0,150017.0,0.030456852791878264,1.0,,,
1980-01-24,20.63,7690.0,158644.69999999998,0.01625615763546784,1.0,,,
1980-01-25,19.73,6060.0,119563.8,,,,,
1980-01-26,19.73,0.0,0.0,0.0,0.0,,,
1980-01-27,19.73,0.0,0.0,,,,,
1980-01-28,18.11,7230.0,130935.3,,,,,
1980-01-29,20.24,6390.0,129333.59999999999,0.11761457758144656,1.0,,,
1980-01-30,21.06,8150.0,171639.0,0.04051383399209496,1.0,,,
1980-01-31,22.01,6750.0,148567.5,0.04510921177587868,1.0,,,
1980-02-01,22.38,6160.0,137860.8,0.01681054066333476,1.0,,,
1980-02-02,22.38,0.0,0.0,,,,,
1980-02-03,22.38,0.0,0.0,,,,,
1980-02-04,23.17,6190.0,143422.30000000002,,,,,
1980-02-05,21.61,7510.0,162291.1,-0.06732844195079857,-1.0,,,
1980-02-06,21.91,5430.0,118971.3,0.013882461823230052,1.0,,,
1980-02-07,22.59,2210.0,49923.9,,,,,
1980-02-08,24.79,7100.0,176009.0,0.0973882248782647,1.0,,,
1980-02-09,24.79,0.0,0.0,0.0,0.0,,,
1980-02-10,24.79,0.0,0.0,,,,,
1980-02-11,26.6,8950.0,238070.0,,,,,
1980-02-12,26.6,0.0,0.0,0.0,0.0,,,
1980-02-13,29.39,12420.0,365023.8,,,,,
1980-02-14,26.55,14480.0,384444.0,-0.09663150731541337,-1.0,,,
1980-02-15,25.44,6690.0,170193.6,-0.041807909604519744,-1.0,,,
1980-02-16,25.44,0.0,0.0,0.0,0.0,,,
1980-02-17,25.44,0.0,0.0,,,,,
1980-02-18,25.44,0.0,0.0,,,,,
1980-02-19,21.63,6140.0,132808.19999999998,,,,,
1980-02-20,23.32,10240.0,238796.8,0.07813222376329176,1.0,,,
1980-02-21,24.35,5300.0,129055.00000000001,0.04416809605488847,1.0,,,
1980-02-22,21.1,5650.0,119215.00000000001,-0.13347022587268997,-1.0,,,
1980-02-23,21.1,0.0,0.0,0.0,0.0,-0.0,0.0,-1.0
1980-02-24,21.1,0.0,0.0,,,,,
1980-02-25,20.62,5900.0,121658.0,,,,,
1980-02-26,21.93,3840.0,84211.2,,,,,
1980-02-27,20.26,4440.0,89954.40000000001,-0.07615139078887356,-1.0,,,
1980-02-28,20.96,1910.0,40033.6,0.03455083909180656,1.0,,,
1980-02-29,23.2,3260.0,75632.0,0.10687022900763354,1.0,,,
1980-03-01,23.2,0.0,0.0,0.0,0.0,,,
1980-03-02,23.2,0.0,0.0,,,,,
1980-03-03,26.99,7820.0,211061.8,,,,,
1980-03-04,25.65,4900.0,125685.0,-0.04964801778436456,-1.0,-0.04964801778436456,0.0,1.0
1980-03-05,25.82,4700.0,121354.0,0.006627680311890982,1.0,,,
1980-03-06,24.45,5310.0,129829.5,,,,,
1980-03-07,22.74,5750.0,130754.99999999999,-0.0699386503067485,-1.0,,,
1980-03-08,22.74,0.0,0.0,0.0,0.0,,,
1980-03-09,22.74,0.0,0.0,,,,,
1980-03-10,19.83,16670.0,330566.1,,,,,
1980-03-11,21.89,9950.0,217805.5,0.10388300554715091,1.0,-0.10388300554715091,0.0,-1.0
1980-03-12,20.24,8039.999999999999,162729.59999999998,-0.07537688442211066,-1.0,,,
1980-03-13,18.82,17050.0,320881.0,-0.07015810276679835,-1.0,,,
1980-03-14,18.94,9770.0,185043.80000000002,0.006376195536663243,1.0,,,
1980-03-15,18.94,0.0,0.0,,,,,
1980-03-16,18.94,0.0,0.0,,,,,
1980-03-17,18.01,13070.0,235390.7,,,,,
1980-03-18,19.52,4610.0,89987.2,0.08384230982787333,1.0,,,
1980-03-19,20.27,5450.0,110471.5,0.038422131147541005,1.0,,,
1980-03-20,19.87,4470.0,88818.90000000001,-0.019733596447952584,-1.0,,,
1980-03-21,21.16,3870.0,81889.2,,,,,
1980-03-22,21.16,0.0,0.0,0.0,0.0,,,
1980-03-23,21.16,0.0,0.0,,,,,
1980-03-24,20.03,5570.0,111567.1,,,,,
1980-03-25,19.59,5070.0,99321.3,-0.02196704942586125,-1.0,,,
1980-03-26,21.36,7700.0,164472.0,,,,,
