,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
1990-01-02,408.75,0.0,0.0,,,,,
1990-01-03,410.0,0.0,0.0,,,,,
1990-01-04,409.25,0.0,0.0,,,,,
1990-01-05,409.75,0.0,0.0,,,,,
1990-01-06,409.75,0.0,0.0,,,,,
1990-01-07,409.75,0.0,0.0,,,,,
1990-01-08,410.0,0.0,0.0,,,,,
1990-01-09,406.75,0.0,0.0,,,,,
1990-01-10,405.5,0.0,0.0,,,,,
1990-01-11,404.75,0.0,0.0,,,,,
1990-01-12,401.5,0.0,0.0,,,,,
1990-01-13,401.5,0.0,0.0,,,,,
1990-01-14,401.5,0.0,0.0,,,,,
1990-01-15,399.5,0.0,0.0,,,,,
1990-01-16,398.25,0.0,0.0,,,,,
1990-01-17,401.0,0.0,0.0,,,,,
1990-01-18,397.75,0.0,0.0,,,,,
1990-01-19,392.0,0.0,0.0,,,,,
1990-01-20,392.0,0.0,0.0,,,,,
1990-01-21,392.0,0.0,0.0,,,,,
1990-01-22,392.5,0.0,0.0,,,,,
1990-01-23,392.75,0.0,0.0,,,,,
1990-01-24,391.5,0.0,0.0,,,,,
1990-01-25,385.5,0.0,0.0,,,,,
1990-01-26,381.25,0.0,0.0,,,,,
1990-01-27,381.25,0.0,0.0,,,,,
1990-01-28,381.25,0.0,0.0,,,,,
1990-01-29,378.75,0.0,0.0,,,,,
1990-01-30,376.0,0.0,0.0,,,,,
1990-01-31,375.75,0.0,0.0,,,,,
1990-02-01,375.25,0.0,0.0,,,,,
1990-02-02,379.0,0.0,0.0,,,,,
1990-02-03,379.0,0.0,0.0,,,,,
1990-02-04,379.0,0.0,0.0,,,,,
1990-02-05,383.5,0.0,0.0,,,,,
1990-02-06,382.75,0.0,0.0,,,,,
1990-02-07,383.0,0.0,0.0,,,,,
1990-02-08,382.5,0.0,0.0,,,,,
1990-02-09,386.75,0.0,0.0,,,,,
1990-02-10,386.75,0.0,0.0,,,,,
1990-02-11,386.75,0.0,0.0,,,,,
