,close,volume,dollar_transaction,triple_ret,triple_bin,met_ret,met_bin,met_side
1980-01-02,43.17,0.0,0.0,,,,,
1980-01-03,42.92,0.0,0.0,,,,,
1980-01-04,42.87,0.0,0.0,,,,,
1980-01-05,42.87,0.0,0.0,,,,,
1980-01-06,42.87,0.0,0.0,,,,,
1980-01-07,41.37,0.0,0.0,,,,,
1980-01-08,40.7,0.0,0.0,,,,,
1980-01-09,40.97,0.0,0.0,,,,,
1980-01-10,41.87,0.0,0.0,,,,,
1980-01-11,40.45,0.0,0.0,-0.03391449725340323,-1.0,,,
1980-01-12,40.45,0.0,0.0,,,,,
1980-01-13,40.45,0.0,0.0,,,,,
1980-01-14,40.65,0.0,0.0,,,,,
1980-01-15,40.92,0.0,0.0,,,,,
1980-01-16,40.7,0.0,0.0,,,,,
1980-01-17,40.2,0.0,0.0,,,,,
1980-01-18,40.45,0.0,0.0,,,,,
1980-01-19,40.45,0.0,0.0,,,,,
1980-01-20,40.45,0.0,0.0,,,,,
1980-01-21,40.2,0.0,0.0,,,,,
1980-01-22,41.1,0.0,0.0,,,,,
1980-01-23,40.6,0.0,0.0,,,,,
1980-01-24,40.27,0.0,0.0,,,,,
1980-01-25,40.1,0.0,0.0,,,,,
1980-01-26,40.1,0.0,0.0,,,,,
1980-01-27,40.1,0.0,0.0,,,,,
1980-01-28,39.72,0.0,0.0,,,,,
1980-01-29,40.15,0.0,0.0,,,,,
1980-01-30,39.92,0.0,0.0,,,,,
1980-01-31,39.57,0.0,0.0,,,,,
1980-02-01,38.87,0.0,0.0,,,,,
1980-02-02,38.87,0.0,0.0,,,,,
1980-02-03,38.87,0.0,0.0,,,,,
1980-02-04,39.3,0.0,0.0,,,,,
1980-02-05,39.1,0.0,0.0,,,,,
1980-02-06,39.27,0.0,0.0,,,,,
1980-02-07,39.22,0.0,0.0,,,,,
1980-02-08,39.72,0.0,0.0,,,,,
1980-02-09,39.72,0.0,0.0,,,,,
1980-02-10,39.72,0.0,0.0,,,,,
1980-02-11,39.7,0.0,0.0,,,,,
1980-02-12,39.12,0.0,0.0,,,,,
1980-02-13,38.87,0.0,0.0,,,,,
1980-02-14,38.9,0.0,0.0,,,,,
1980-02-15,38.4,0.0,0.0,,,,,
1980-02-16,38.4,0.0,0.0,,,,,
1980-02-17,38.4,0.0,0.0,,,,,
1980-02-18,38.4,0.0,0.0,,,,,
1980-02-19,38.12,0.0,0.0,,,,,
1980-02-20,38.35,0.0,0.0,,,,,
1980-02-21,37.4,0.0,0.0,,,,,
1980-02-22,36.7,0.0,0.0,,,,,
1980-02-23,36.7,0.0,0.0,,,,,
1980-02-24,36.7,0.0,0.0,,,,,
1980-02-25,36.67,0.0,0.0,,,,,
1980-02-26,36.3,0.0,0.0,,,,,
1980-02-27,36.82,0.0,0.0,,,,,
1980-02-28,37.37,0.0,0.0,,,,,
1980-02-29,36.85,0.0,0.0,,,,,
1980-03-01,36.85,0.0,0.0,,,,,
1980-03-02,36.85,0.0,0.0,,,,,
1980-03-03,37.42,0.0,0.0,,,,,
1980-03-04,37.92,0.0,0.0,,,,,
1980-03-05,37.77,0.0,0.0,,,,,
1980-03-06,37.32,0.0,0.0,,,,,
1980-03-07,37.42,0.0,0.0,,,,,
1980-03-08,37.42,0.0,0.0,,,,,
1980-03-09,37.42,0.0,0.0,,,,,
1980-03-10,36.47,0.0,0.0,,,,,
1980-03-11,36.02,0.0,0.0,,,,,
1980-03-12,35.97,0.0,0.0,,,,,
1980-03-13,36.07,0.0,0.0,,,,,
1980-03-14,36.2,0.0,0.0,,,,,
1980-03-15,36.2,0.0,0.0,,,,,
1980-03-16,36.2,0.0,0.0,,,,,
1980-03-17,35.6,0.0,0.0,,,,,
1980-03-18,35.92,0.0,0.0,,,,,
1980-03-19,36.57,0.0,0.0,,,,,
1980-03-20,35.32,0.0,0.0,,,,,
1980-03-21,33.82,0.0,0.0,,,,,
1980-03-22,33.82,0.0,0.0,,,,,
1980-03-23,33.82,0.0,0.0,,,,,
1980-03-24,32.6,0.0,0.0,,,,,
1980-03-25,32.37,0.0,0.0,,,,,
1980-03-26,32.67,0.0,0.0,,,,,
1980-03-27,31.17,0.0,0.0,,,,,
1980-03-28,29.67,0.0,0.0,,,,,
1980-03-29,29.67,0.0,0.0,,,,,
1980-03-30,29.67,0.0,0.0,,,,,
1980-03-31,29.72,0.0,0.0,,,,,
1980-04-01,28.35,0.0,0.0,,,,,
1980-04-02,27.95,0.0,0.0,,,,,
1980-04-03,29.07,0.0,0.0,,,,,
1980-04-04,29.07,0.0,0.0,0.0,0.0,,,
1980-04-05,29.07,0.0,0.0,,,,,
1980-04-06,29.07,0.0,0.0,,,,,
1980-04-07,30.2,0.0,0.0,,,,,
1980-04-08,29.15,0.0,0.0,-0.03476821192052981,-1.0,,,
1980-04-09,29.82,0.0,0.0,0.022984562607204273,1.0,,,
1980-04-10,29.62,0.0,0.0,,,,,
1980-04-11,29.5,0.0,0.0,,,,,
1980-04-12,29.5,0.0,0.0,,,,,
1980-04-13,29.5,0.0,0.0,,,,,
1980-04-14,29.62,0.0,0.0,,,,,
1980-04-15,29.42,0.0,0.0,,,,,
1980-04-16,29.85,0.0,0.0,,,,,
1980-04-17,29.6,0.0,0.0,,,,,
1980-04-18,30.3,0.0,0.0,,,,,
1980-04-19,30.3,0.0,0.0,,,,,
1980-04-20,30.3,0.0,0.0,,,,,
1980-04-21,35.12,0.0,0.0,,,,,
