Date,Price,Open,High,Low,Vol.,Change %
2019-06-25,1517.9,1323.25,1542.0,1305.2,-,14.63%
2019-05-25,1324.15,1372.1,1374.3,1256.5,-,-3.59%
2019-04-25,1373.45,1352.45,1457.1,1295.5,-,1.56%
2019-03-25,1352.4,1499.0,1576.6,1303.6,-,-9.79%
2019-02-25,1499.1,1310.7,1525.8,1306.1,-,14.38%
2019-01-25,1310.65,1197.5,1397.4,1190.1,-,9.45%
2018-12-25,1197.5,1152.0,1208.7,1135.8,-,4.38%
2018-11-25,1147.2,1066.0,1173.0,1062.6,-,7.62%
2018-10-25,1066.0,1064.3,1136.9,1032.4,-,0.16%
2018-09-25,1064.3,970.0,1085.0,942.1,-,8.57%
2018-08-25,980.3,929.1,980.3,815.2,123.63K,5.19%
2018-07-25,931.9,944.9,962.8,853.3,94.61K,-2.00%
2018-06-25,950.9,980.2,1026.0,925.3,90.93K,-3.14%
2018-05-25,981.7,953.65,999.5,932.05,37.52K,2.71%
2018-04-25,955.8,944.1,1039.45,889.8,7.67K,1.83%
2018-03-25,938.65,1015.25,1015.25,933.0,2.05K,-9.04%
2018-02-25,1031.95,1012.7,1049.6,966.55,0.61K,1.89%
2018-01-25,1012.8,1064.95,1093.9,1010.0,0.07K,-3.16%
2017-12-25,1045.85,1046.7,1050.0,1046.7,0.02K,3.99%
2017-11-25,1005.72,978.8,1023.85,973.67,-,2.77%
2017-10-25,978.65,936.38,1005.2,904.38,-,5.78%
2017-09-25,925.2,939.9,992.2,902.5,0.29K,-0.72%
2017-08-25,931.95,884.55,948.85,865.45,107.59K,5.26%
2017-07-25,885.4,839.35,897.35,824.3,78.63K,5.83%
2017-06-25,836.65,817.25,891.35,809.05,115.21K,2.54%
2017-05-25,815.95,826.45,827.0,747.7,60.48K,-1.27%
2017-04-25,826.45,798.2,829.25,770.6,4.58K,3.50%
2017-03-25,798.5,771.55,815.0,741.55,0.78K,3.47%
2017-02-25,771.7,760.1,796.2,746.0,52.71K,2.16%
2017-01-25,755.4,698.25,798.05,696.75,4.04K,10.45%
2016-12-25,683.95,773.35,773.35,655.45,0.86K,-11.48%
2016-11-25,772.65,623.4,775.75,618.85,55.83K,24.64%
2016-10-25,619.9,722.0,726.7,613.7,3.22K,-14.25%
2016-09-25,722.95,675.0,728.95,654.8,0.76K,7.69%
2016-08-25,671.3,697.15,735.65,672.0,0.21K,-5.67%
2016-07-25,711.65,670.9,690.05,670.85,0.00K,18.74%
2016-06-25,599.35,551.5,555.0,539.35,0.02K,9.00%
2016-05-25,549.85,565.0,565.0,565.0,0.01K,-12.92%
2016-04-25,631.4,540.0,540.0,539.0,0.02K,11.95%
2016-03-25,564.0,494.7,608.15,491.25,95.56K,13.79%
2016-02-25,495.65,500.2,532.1,480.45,52.78K,-0.67%
2016-01-25,499.0,550.55,551.45,458.6,2.12K,-11.25%
2015-12-25,562.25,546.5,572.75,539.7,0.26K,3.37%
2015-11-25,543.9,651.0,651.4,538.0,0.17K,-19.78%
2015-10-25,678.0,690.0,690.0,690.0,0.00K,4.16%
2015-09-25,650.95,599.5,678.0,568.0,86.64K,8.09%
2015-08-25,602.25,611.0,625.8,519.2,63.50K,-1.46%
2015-07-25,611.15,677.6,702.95,596.2,3.16K,-9.01%
2015-06-25,671.65,777.6,778.95,674.55,0.48K,-13.53%
2015-05-25,776.75,790.3,795.1,771.4,3.31K,0.03%
2015-04-25,776.5,763.5,763.5,763.5,0.00K,5.65%
2015-03-25,735.0,819.45,832.2,745.05,0.37K,-10.20%
2015-02-25,818.45,786.05,818.9,786.0,2.88K,5.92%
2015-01-25,772.7,803.25,803.25,791.55,0.03K,-3.22%
2014-12-25,798.4,805.5,830.1,793.9,0.39K,-1.72%
2014-11-25,812.4,794.0,814.55,790.4,3.20K,2.65%
2014-10-25,791.45,790.0,790.0,768.0,0.36K,2.13%
2014-09-25,774.95,908.0,912.0,775.25,0.39K,-14.71%
2014-08-25,908.65,840.15,909.75,840.15,4.32K,3.89%
2014-07-25,874.65,876.6,884.3,876.6,0.01K,3.69%
2014-06-25,843.55,836.45,862.95,809.4,0.68K,0.95%
2014-05-25,835.65,828.4,840.15,828.0,2.66K,2.83%
2014-04-25,812.65,780.0,780.0,780.0,0.01K,4.52%
2014-03-25,777.5,747.5,802.55,745.7,0.41K,4.52%
2014-02-25,743.85,729.9,746.95,726.9,3.43K,5.49%
2014-01-25,705.15,720.25,754.9,703.0,6.61K,-1.71%
2013-12-25,717.4,716.05,744.0,699.95,0.46K,-0.08%
2013-11-25,718.0,751.0,751.0,714.1,3.28K,-2.66%
2013-10-25,737.6,723.2,754.3,692.5,-,1.58%
2013-09-25,726.15,726.85,727.7,680.7,0.48K,0.56%
2013-08-25,722.1,744.45,744.45,719.65,2.28K,-0.46%
2013-07-25,725.45,685.1,725.2,685.1,0.01K,10.05%
2013-06-25,659.2,752.9,768.4,637.6,0.42K,-12.23%
2013-05-25,751.05,748.3,761.0,742.05,1.72K,7.80%
2013-04-25,696.7,751.5,751.5,675.0,0.02K,-9.18%
2013-03-25,767.1,726.0,785.0,711.85,0.42K,4.71%
2013-02-25,732.6,741.0,749.45,724.95,3.03K,-1.70%
2013-01-25,745.3,679.05,725.8,679.05,0.00K,6.07%
2012-12-25,702.65,681.5,717.2,673.4,0.33K,2.39%
2012-11-25,686.25,670.8,691.35,666.75,3.12K,13.11%
2012-10-25,606.7,643.5,666.1,598.4,0.00K,-5.15%
2012-09-25,639.65,626.8,704.3,613.35,0.55K,1.86%
2012-08-25,627.95,630.95,635.0,612.0,5.75K,6.48%
2012-07-25,589.75,563.7,563.7,561.95,0.01K,1.15%
2012-06-25,583.05,605.65,634.1,561.2,0.45K,-4.75%
2012-05-25,612.1,594.1,613.55,588.7,12.93K,-10.45%
2012-04-25,683.5,652.7,684.8,629.3,-,4.65%
2012-03-25,653.15,714.55,719.6,644.7,0.37K,-7.57%
2012-02-25,706.65,711.2,721.95,700.0,7.73K,3.13%
2012-01-25,685.2,656.3,702.0,608.0,-,4.51%
2011-12-25,655.6,616.05,680.6,605.75,0.40K,7.48%
2011-11-25,610.0,662.6,662.6,565.6,6.22K,-6.31%
2011-10-25,651.05,539.4,626.0,536.65,0.01K,6.03%
2011-09-25,614.05,783.35,788.2,614.5,0.41K,-22.08%
2011-08-25,788.1,732.0,794.45,732.0,5.07K,-4.67%
2011-07-25,826.7,771.9,783.0,771.9,0.00K,8.86%
2011-06-25,759.4,772.0,818.05,720.05,0.77K,-2.51%
2011-05-25,778.95,753.5,782.25,751.55,8.60K,-1.64%
2011-04-25,791.95,754.05,764.4,750.0,0.00K,3.13%
2011-03-25,767.9,798.0,821.9,696.0,0.66K,-3.73%
2011-02-25,797.65,775.0,791.75,774.3,10.90K,-2.61%
2011-01-25,819.0,748.1,748.1,748.1,0.00K,1.95%
2010-12-25,803.3,746.1,788.1,730.0,0.36K,14.60%
2010-11-25,700.95,657.15,704.25,657.15,8.67K,7.62%
2010-10-25,651.3,565.4,653.6,498.3,-,14.01%
2010-09-25,571.25,503.75,560.0,503.35,0.57K,14.16%
2010-08-25,500.4,503.3,508.0,486.0,4.54K,0.08%
2010-07-25,500.0,436.05,477.35,436.05,0.00K,12.51%
2010-06-25,444.4,464.0,499.1,421.75,1.50K,-3.78%
2010-05-25,461.85,437.75,470.45,434.0,8.76K,-16.75%
2010-04-25,554.75,542.95,553.3,542.95,0.00K,16.02%
2010-03-25,478.15,433.9,476.95,432.1,0.43K,10.58%
2010-02-25,432.4,420.55,433.0,414.5,7.61K,3.82%
2010-01-25,416.5,425.0,425.0,425.0,0.00K,2.27%
2009-12-25,407.25,378.25,390.45,350.05,0.30K,12.02%
2009-11-25,363.55,375.0,375.15,350.0,5.03K,13.04%
2009-10-25,321.6,335.8,342.0,315.2,-,7.72%
2009-09-25,298.55,294.9,306.7,282.6,0.22K,2.31%
2009-08-25,291.8,287.35,293.45,283.7,3.50K,18.14%
2009-06-25,247.0,237.0,264.0,230.9,0.46K,4.64%
2009-05-25,236.05,236.0,237.2,221.0,4.41K,8.23%
2009-04-25,218.1,221.0,221.0,221.0,0.00K,-0.32%
2009-03-25,218.8,198.25,227.0,189.95,0.59K,12.29%
2009-02-25,194.85,213.0,213.0,193.0,3.05K,5.61%
2009-01-25,184.5,190.0,192.0,190.0,0.00K,-1.15%
2008-12-25,186.65,188.9,188.9,160.0,0.41K,-3.09%
2008-11-25,192.6,195.0,199.8,183.3,4.48K,-3.00%
2008-10-25,198.55,188.25,197.5,157.75,0.01K,-11.58%
2008-09-25,224.55,304.85,304.95,224.75,0.40K,-26.09%
2008-08-25,303.8,288.8,303.5,288.5,3.89K,-35.53%
