files,symbol,sectors,Description,Maturity,related_1st_pair
US Corn Futures Historical Data (ZCN9),ZC,Agriculture,COMMODITY_GRAINS_AND_OILSEEDS,HKNUZ,1
US Wheat Futures (ZWN9),ZW,Agriculture,COMMODITY_GRAINS_AND_OILSEEDS,HKNUZ,1
US Soybean Oil Futures (ZLN9),ZL,Agriculture,COMMODITY_GRAINS_AND_OILSEEDS,FHKNQUVZ,1
US Soybeans Futures (ZSN9),ZS,Agriculture,COMMODITY_GRAINS_AND_OILSEEDS,FHKNQUX,1
Live Cattle Futures (LEQ9),LE,Agriculture,COMMODITY_LIVESTOCK,GJMQVZ,2
Lean Hogs Historical Data (HEM9),HE,Agriculture,COMMODITY_LIVESTOCK,GJKMNQVZ,2
Class III Milk Futures (DCSc1),DC,Agriculture,COMMODITY_LIVESTOCK,FGHJKMNQUVXZ,2
Heating Oil Futures Historical Data (HON9),HO,Energy,COMMODITY_ENERGY,FGHJKMNQUVXZ,3
Natural Gas Futures Historical Data (NGF8),NG,Energy,COMMODITY_ENERGY,FGHJKMNQUVXZ,3
Crude Oil WTI Futures Historical Data (CLN9),CL,Energy,COMMODITY_ENERGY,FGHJKMNQUVXZ,3
Gasoline RBOB Futures Historical Data (RBN9),RB,Energy,COMMODITY_ENERGY,FGHJKMNQUVXZ,3
Gold Futures (GCQ9),GC,Metals,COMMODITY_METALS,GJMQVZ,4
Copper Futures (HGN9),HG,Metals,COMMODITY_METALS,HKNUZ,4
Silver Futures (SIN9),SI,Metals,COMMODITY_METALS,FHKUNZ,4
US Sugar #11 Futures (SBN9),SB,Agriculture,COMMODITY_SOFTS,HKNV,5
US Coffee C Futures (KCN9),KC,Agriculture,COMMODITY_SOFTS,HKNUZ,5
US Cocoa Futures (CCN9),CC,Agriculture,COMMODITY_SOFTS,HKNUZ,5
Canadian Dollar US Dollar (CADUSD),CAD_USD,Forex,FOREX_CURRENCY,FGHJKMNQUVXZ,6
Australian Dollar US Dollar (AUDUSD),AUD_USD,Forex,FOREX_CURRENCY,FGHJKMNQUVXZ,6
British Pound US Dollar (GBPUSD),GBP_USD,Forex,FOREX_CURRENCY,FGHJKMNQUVXZ,6
Bloomberg Commodity (BCOM),BCOM,Index,EXCHANGE,FGHJKMNQUVXZ,7
Dow Jones 30 Contract (US30),US30,Index,EXCHANGE,FGHJKMNQUVXZ,7
CBOE Volatility Index (VIX),VIX,Index,EXCHANGE,FGHJKMNQUVXZ,7
S&P 500 Contract (US500),US500,Index,EXCHANGE,FGHJKMNQUVXZ,7
