country,ARG,BRA,CAN,CHE,CHL,CHN,DEU,FRA,GBR,JPN,KOR,NOR,RUS,SAU,USA,IND,ZAF
subject,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI
measure,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT
1950-01,,,0.0,,,,,,,,,,,,,,
1950-02,,,0.8264463,,,,,,,,,,,,,,
1950-03,,,1.652893,,,,,,,,,,,,,,
1950-04,,,1.652893,,,,,,,,,,,,,,
1950-05,,,1.652893,,,,,,,,,,,,,,
1950-06,,,1.652893,,,,,,,,,,,,,,
1950-07,,,2.479339,,,,,,,,,,,,,,
1950-08,,,2.459016,,,,,,,,,,,,,,
1950-09,,,4.098361,,,,,,,,,,,,,,
1950-10,,,4.878049,,,,,,,,,,,,,,
1950-11,,,4.878049,,,,,,,,,,,,,,
1950-12,,,5.737705,,,,,,,,,,,,,,
1951-01,,,7.438016,,,,,,,,,,,,,,
1951-02,,,9.016394,,,,,,,,,,,,,,
1951-03,,,8.943089,,,,,,,,,,,,,,
1951-04,,,10.56911,,,,,,,,,,,,,,
1951-05,,,10.56911,,,,,,,,,,,,,,
1951-06,,,13.00813,,,,,,,,,,,,,,
1951-07,,,12.09677,,,,,,,,,,,,,,
1951-08,,,12.0,,,,,,,,,,,,,,
1951-09,,,11.02362,,,,,,,,,,,,,,
1951-10,,,10.07752,,,,,,,,,,,,,,
1951-11,,,10.85271,,,,,,,,,,,,,,
1951-12,,,10.85271,,,,,,,,,,,,,,
1952-01,,,10.76923,,,,,,,,,,,,,,
1952-02,,,7.518797,,,,,,,,,,,,,,
1952-03,,,5.970149,,,,,,,,,,,,,,
1952-04,,,4.411765,,,,,,,,,,,,,,
1952-05,,,3.676471,,,,,,,,,,,,,,
1952-06,,,1.438849,,,,,,,,,,,,,,
1952-07,,,1.438849,,,,,,,,,,,,,,
1952-08,,,0.7142857,,,,,,,,103.9939,,,,,,
1952-09,,,0.0,,,,,,,,121.2203,,,,,,
1952-10,,,-0.7042254,,,,,,,,122.1002,,,,,,
