country,AUS,CAN,CHE,CHL,DEU,FRA,GBR,JPN,KOR,NOR,NZL,RUS,USA,IND,ZAF
subject,LTINT,LTINT,LTINT,LTINT,LTINT,LTINT,LTINT,LTINT,LTINT,LTINT,LTINT,LTINT,LTINT,LTINT,LTINT
measure,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT
1953-04,,,,,,,,,,,,,2.83,,
1953-05,,,,,,,,,,,,,3.05,,
1953-06,,,,,,,,,,,,,3.11,,
1953-07,,,,,,,,,,,,,2.93,,
1953-08,,,,,,,,,,,,,2.95,,
1953-09,,,,,,,,,,,,,2.87,,
1953-10,,,,,,,,,,,,,2.66,,
1953-11,,,,,,,,,,,,,2.68,,
1953-12,,,,,,,,,,,,,2.59,,
1954-01,,,,,,,,,,,,,2.48,,
1954-02,,,,,,,,,,,,,2.47,,
1954-03,,,,,,,,,,,,,2.37,,
1954-04,,,,,,,,,,,,,2.29,,
1954-05,,,,,,,,,,,,,2.37,,
1954-06,,,,,,,,,,,,,2.38,,
1954-07,,,,,,,,,,,,,2.3,,
1954-08,,,,,,,,,,,,,2.36,,
1954-09,,,,,,,,,,,,,2.38,,
1954-10,,,,,,,,,,,,,2.43,,
1954-11,,,,,,,,,,,,,2.48,,
1954-12,,,,,,,,,,,,,2.51,,
1955-01,,3.2,2.7,,,,,,,,,,2.61,,
1955-02,,3.13,2.75,,,,,,,,,,2.65,,
1955-03,,3.09,2.84,,,,,,,,,,2.68,,
1955-04,,3.09,2.85,,,,,,,,,,2.75,,
1955-05,,3.11,2.99,,,,,,,,,,2.76,,
1955-06,,3.1,3.06,,,,,,,,,,2.78,,
1955-07,,3.12,3.04,,,,,,,,,,2.9,,
1955-08,,3.21,3.08,,,,,,,,,,2.97,,
1955-09,,3.25,3.2,,,,,,,,,,2.97,,
1955-10,,3.26,3.17,,,,,,,,,,2.88,,
1955-11,,3.3,3.07,,,,,,,,,,2.89,,
1955-12,,3.41,3.04,,,,,,,,,,2.96,,
1956-01,,3.38,2.94,,,,,,,,,,2.9,,
1956-02,,3.3,2.91,,,,,,,,,,2.84,,
1956-03,,3.36,2.97,,,,,,,,,,2.96,,
1956-04,,3.51,3.06,,,,,,,,,,3.18,,
1956-05,,3.57,3.14,,6.4,,,,,,,,3.07,,
1956-06,,3.45,3.18,,6.8,,,,,,,,3.0,,
1956-07,,3.48,3.18,,6.8,,,,,,,,3.11,,
1956-08,,3.7,3.24,,6.8,,,,,,,,3.33,,
1956-09,,3.81,3.21,,7.0,,,,,,,,3.38,,
1956-10,,3.87,3.22,,7.0,,,,,,,,3.34,,
1956-11,,3.9,3.23,,7.2,,,,,,,,3.49,,
1956-12,,3.94,3.22,,7.3,,,,,,,,3.59,,
1957-01,,4.1,3.22,,7.3,,,,,,,,3.46,,4.75
1957-02,,4.06,3.16,,7.4,,,,,,,,3.34,,4.75
1957-03,,4.0,3.59,,7.5,,,,,,,,3.41,,4.75
1957-04,,4.03,3.55,,7.4,,,,,,,,3.48,,4.75
1957-05,,4.19,3.8,,7.4,,,,,,,,3.6,,4.75
1957-06,,4.22,3.77,,7.4,,,,,,,,3.8,,4.75
1957-07,,4.25,3.79,,7.5,,,,,,,,3.93,,4.75
1957-08,,4.33,3.87,,7.6,,,,,,,,3.93,,4.75
1957-09,,4.32,3.93,,7.6,,,,,,,,3.92,,4.75
1957-10,,4.19,3.92,,7.7,,,,,,,,3.97,,4.75
1957-11,,3.98,3.8,,7.7,,,,,,,,3.72,,4.75
1957-12,,3.83,3.61,,7.7,,,,,,,,3.21,,4.75
1958-01,,3.93,3.49,,7.5,,,,,,,,3.09,,4.75
1958-02,,3.94,3.41,,7.5,,,,,,,,3.05,,5.0
1958-03,,3.96,3.34,,7.4,,,,,,,,2.98,,5.0
1958-04,,3.95,3.24,,7.4,,,,,,,,2.88,,5.0
1958-05,,3.86,3.2,,7.3,,,,,,,,2.92,,5.25
1958-06,,3.91,3.03,,7.1,,,,,,,,2.97,,5.25
1958-07,,4.06,3.04,,6.7,,,,,,,,3.2,,5.25
1958-08,,4.11,3.04,,6.5,,,,,,,,3.54,,5.25
1958-09,,4.19,3.02,,6.2,,,,,,,,3.76,,5.25
1958-10,,4.31,3.0,,6.0,,,,,,,,3.8,,5.25
1958-11,,4.54,3.03,,5.9,,,,,,,,3.74,,5.25
1958-12,,4.63,3.0,,5.9,,,,,,,,3.86,,5.25
1959-01,,4.63,2.98,,5.8,,,,,,,,4.02,,5.25
1959-02,,4.68,2.91,,5.6,,,,,,,,3.96,,5.25
1959-03,,4.86,2.85,,5.6,,,,,,,,3.99,,5.25
1959-04,,4.79,2.83,,5.6,,,,,,,,4.12,,5.25
1959-05,,4.95,3.14,,5.7,,,,,,,,4.31,,5.25
1959-06,,5.03,3.22,,5.7,,,,,,,,4.34,,5.25
1959-07,,5.02,3.14,,5.6,,,,,,,,4.4,,5.25
1959-08,,5.2,3.06,,5.5,,,,,,,,4.43,,5.25
1959-09,,5.42,3.16,,5.8,,,,,,,,4.68,,5.25
1959-10,,5.33,3.17,,6.0,,,,,,,,4.53,,5.25
1959-11,,5.3,3.17,,6.1,,,,,,,,4.53,,5.25
1959-12,,5.37,3.29,,6.2,,,,,,,,4.69,,5.25
1960-01,,5.54,3.32,,6.5,5.82,5.33,,,,,,4.72,,5.25
1960-02,,5.46,3.3,,6.4,5.8,5.4,,,,,,4.49,,5.25
1960-03,,5.39,3.22,,6.4,5.76,5.59,,,,,,4.25,,5.25
1960-04,,5.29,3.13,,6.4,5.81,5.67,,,,,,4.28,,5.25
1960-05,,5.21,3.07,,6.4,5.74,5.69,,,,,,4.35,,5.25
1960-06,,5.07,3.04,,6.6,5.73,6.04,,,,,,4.15,,5.25
1960-07,,5.08,2.97,,6.7,5.68,6.01,,,,,,3.9,,5.25
1960-08,,4.98,2.94,,6.5,5.51,6.03,,,,,,3.8,,5.25
1960-09,,4.8,3.01,,6.5,5.54,6.1,,,,,,3.8,,5.38
1960-10,,4.96,3.05,,6.3,5.56,6.1,,,,,,3.89,,5.38
1960-11,,5.2,3.04,,6.2,5.52,6.14,,,,,,3.93,,5.38
1960-12,,5.28,3.02,,6.2,5.49,6.17,,,,,,3.84,,5.38
1961-01,,5.27,2.96,,6.1,5.55,6.15,,,,,,3.84,,5.38
1961-02,,5.17,2.86,,6.0,5.64,6.0,,,,,,3.78,,5.62
1961-03,,5.14,2.84,,5.9,5.59,6.06,,,,,,3.74,,5.62
1961-04,,5.21,2.82,,5.7,5.5,6.03,,,,,,3.78,,5.62
1961-05,,5.17,2.86,,5.6,5.51,6.09,,,,,,3.71,,5.88
1961-06,,5.04,2.97,,5.6,5.47,6.34,,,,,,3.88,,5.88
1961-07,,4.95,3.13,,5.7,5.45,6.56,,,,,,3.92,,5.88
1961-08,,4.99,3.1,,5.9,5.43,6.69,,,,,,4.04,,5.88
1961-09,,4.98,2.97,,6.0,5.45,6.68,,,,,,3.98,,5.88
1961-10,,4.97,2.97,,6.0,5.53,6.11,,,,,,3.92,,5.88
1961-11,,4.87,3.01,,6.0,5.55,6.21,,,,,,3.94,,5.88
1961-12,,4.94,2.98,,6.0,5.56,6.25,,,,,,4.06,,5.88
1962-01,,4.96,2.96,,5.9,5.52,6.2,,,,,,4.08,,5.88
1962-02,,4.95,2.99,,5.7,5.62,6.27,,,,,,4.04,,5.88
