country,AUS,BRA,CAN,CHE,CHL,CHN,GBR,JPN,KOR,NOR,NZL,RUS,USA,IND,ZAF
subject,M1,M1,M1,M1,M1,M1,M1,M1,M1,M1,M1,M1,M1,M1,M1
measure,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT
1951-05,,,,,,,,,,,,,,0.08352181,
1951-06,,,,,,,,,,,,,,0.08329255,
1951-07,,,,,,,,,,,,,,0.08281693,
1951-08,,,,,,,,,,,,,,0.08216482,
1951-09,,,,,,,,,,,,,,0.08111812,
1951-10,,,,,,,,,,,,,,0.08030773,
1951-11,,,,,,,,,,,,,,0.07953372,
1951-12,,,,,,,,,,,,,,0.07877123,
1952-01,,,,,,,,,,,,,,0.07841174,
1952-02,,,,,,,,,,,,,,0.07780498,
1952-03,,,,,,,,,,,,,,0.07688262,
1952-04,,,,,,,,,,,,,,0.07609508,
1952-05,,,,,,,,,,,,,,0.07547528,
1952-06,,,,,,,,,,,,,,0.07553125,
1952-07,,,,,,,,,,,,,,0.07594801,
1952-08,,,,,,,,,,,,,,0.0759211,
1952-09,,,,,,,,,,,,,,0.07581426,
1952-10,,,,,,,,,,,,,,0.07544503,
1952-11,,,,,,,,,,,,,,0.07506797,
1952-12,,,,,,,,,,,,,,0.07490437,
1953-01,,,,,,,,,,,,,,0.07443948,
1953-02,,,,,,,,,,,,,,0.07417293,
1953-03,,,,,,,,,,,,,,0.07428271,
1953-04,,,,,,,,,,,,,,0.07491982,
1953-05,,,,,,,,,,,,,,0.07534415,
1953-06,,,,,,,,,,,,,,0.07517084,
1953-07,,,,,,,,,,,,,,0.07500508,
1953-08,,,,,,,,,,,,,,0.07493328,
1953-09,,,,,,,,,,,,,,0.07492219,
1953-10,,,,,,,,,,,,,,0.07512089,
1953-11,,,,,,,,,,,,,,0.07582117,
1953-12,,,,,,,,,,,,,,0.07610649,
1954-01,,,,,,,,,,,,,,0.0762716,
1954-02,,,,,,,,,,,,,,0.07674978,
1954-03,,,,,,,,,,,,,,0.07693303,
1954-04,,,,,,,,,,,,,,0.07712682,
1954-05,,,,,,,,,,,,,,0.07724763,
1954-06,,,,,,,,,,,,,,0.07716401,
1954-07,,,,,,,,,,,,,,0.07720459,
1954-08,,,,,,,,,,,,,,0.07773396,
1954-09,,,,,,,,,,,,,,0.07867152,
1954-10,,,,,,,,,,,,,,0.07949515,
1954-11,,,,,,,,,,,,,,0.07999898,
1954-12,,,,,,,,,,,,,,0.08066503,
1955-01,,,1.079423,,,,,0.3470308,,,,,,0.0811184,
1955-02,,,1.079423,2.068259,,,,0.3509399,,,,,,0.08150151,
