country,CHE,DEU,FRA,GBR,JPN,KOR,NOR,RUS,ZAF
subject,PPI,PPI,PPI,PPI,PPI,PPI,PPI,PPI,PPI
measure,DOMESTIC,DOMESTIC,DOMESTIC,DOMESTIC,DOMESTIC,DOMESTIC,DOMESTIC,DOMESTIC,DOMESTIC
1955-01,,33.01316,,,,,,,
1955-02,,33.09158,,,,,,,
1955-03,,33.17,,,,,,,
1955-04,,33.09158,,,,,,,
1955-05,,33.17,,,,,,,
1955-06,,33.24841,,,,,,,
1955-07,,33.24841,,,,,,,
1955-08,,33.32683,,,,,,,
1955-09,,33.32683,,,,,,,
1955-10,,33.32683,,,,,,,
1955-11,,33.48366,,,,,,,
1955-12,,33.48366,,,,,,,
1956-01,,33.64049,,,,,,,
1956-02,,33.64049,,,,,,,
1956-03,,33.71891,,,,,,,
1956-04,,33.64049,,,,,,,
1956-05,,33.64049,,,,,,,
1956-06,,33.56208,,,,,,,
1956-07,,33.48366,,,,,,,
1956-08,,33.48366,,,,,,,
1956-09,,33.64049,,,,,,,
1956-10,,33.71891,,,,,,,
1956-11,,33.95416,,,,,,,
1956-12,,34.1894,,,,,,,
1957-01,,34.34624,,7.115471,,,,,
1957-02,,34.34624,,7.121941,,,,,
1957-03,,34.34624,,7.141345,,,,,
1957-04,,34.34624,,7.128404,,,,,
1957-05,,34.1894,,7.121941,,,,,
1957-06,,34.1894,,7.141345,,,,,
1957-07,,34.11099,,7.128404,,,,,
1957-08,,34.11099,,7.109,,,,,
1957-09,,34.03257,,7.154278,,,,,
1957-10,,33.95416,,7.167219,,,,,
1957-11,,33.95416,,7.167219,,,,,
1957-12,,34.03257,,7.186622,,,,,
1958-01,,34.11099,,7.173689,,,,,
1958-02,,34.03257,,7.167219,,,,,
1958-03,,34.03257,,7.18016,,,,,
1958-04,,33.95416,,7.18016,,,,,
1958-05,,33.95416,,7.186622,,,,,
1958-06,,33.95416,,7.186622,,,,,
1958-07,,33.87574,,7.186622,,,,,
1958-08,,33.87574,,7.186622,,,,,
1958-09,,33.71891,,7.186622,,,,,
1958-10,,33.71891,,7.199563,,,,,
1958-11,,33.71891,,7.212495,,,,,
1958-12,,33.71891,,7.225436,,,,,
