country,AUS,BRA,CAN,CHE,CHL,CHN,DEU,FRA,GBR,JPN,KOR,NOR,NZL,RUS,USA,IND,ZAF
subject,SHPRICE,SHPRICE,SHPRICE,SHPRICE,SHPRICE,SHPRICE,SHPRICE,SHPRICE,SHPRICE,SHPRICE,SHPRICE,SHPRICE,SHPRICE,SHPRICE,SHPRICE,SHPRICE,SHPRICE
measure,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT
1955-01,,,,2.87958,,,,2.743239,,,,,,,,,
1955-02,,,,2.858126,,,,2.743239,,,,,,,,,
1955-03,,,,2.902376,,,,3.051853,,,,,,,,,
1955-04,,,,2.853433,,,,3.094716,,,,,,,,,
1955-05,,,,2.820581,,,,2.717521,,,,,,,,,
1955-06,,,,2.783706,,,,2.751812,,,,,,,,,
1955-07,,,,2.93858,,,,2.863256,,,,,,,,,
1955-08,,,,2.990875,,,,2.863256,,,,,,,,,
1955-09,,,,3.006966,,,,3.034708,,,,,,,,,
1955-10,,,,2.781024,,,,2.863256,,,,,,,,,
1955-11,,,,2.880921,,,,2.734666,,,,,,,,,
1955-12,,,,2.933887,,,,2.794675,,,,,,,,,
1956-01,,,3.738104,2.919807,,,,2.708948,,,,,,,,,
1956-02,,,3.6722,2.954671,,,,2.64894,,,,,,,,,
1956-03,,,3.815723,2.960035,,,,2.803247,,,,,,,,,
1956-04,,,4.105282,3.031773,,,,2.923264,,,,,,,,,
1956-05,,,4.06295,3.064625,,,,2.948982,,,,,,,,,
1956-06,,,3.911127,2.957353,,,,3.094716,,,,,,,,,
1956-07,,,4.026127,3.078034,,,,3.36904,,,,,,,,,
1956-08,,,4.303342,3.004955,,,,3.266169,,,,,,,,,
1956-09,,,4.197686,3.013,,,,3.257596,,,,,,,,,
1956-10,,,3.950251,3.034454,,,,3.249024,,,,,,,,,
1956-11,,,3.854359,2.810524,,,,2.863256,,,,,,,,,
1956-12,,,3.67213,3.019705,,,,3.137579,,,,,,,,,
1957-01,,,3.941045,3.092113,,,,3.137579,,,,,,,2.534246,0.4994503,
1957-02,,,3.954156,3.02842,,,,3.394758,,,,,,,2.433548,0.499011,
1957-03,,,3.80861,2.99758,,,,3.771954,,,,,,,2.46152,0.4880293,
