country,AUS,BRA,CAN,CHE,CHL,CHN,GBR,JPN,KOR,NOR,NZL,RUS,USA,IND,ZAF
subject,M3,M3,M3,M3,M3,M3,M3,M3,M3,M3,M3,M3,M3,M3,M3
measure,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT
1951-05,,,,,,,,,,,,,,0.02098284,
1951-06,,,,,,,,,,,,,,0.02089351,
1951-07,,,,,,,,,,,,,,0.02073329,
1951-08,,,,,,,,,,,,,,0.02056927,
1951-09,,,,,,,,,,,,,,0.02033067,
1951-10,,,,,,,,,,,,,,0.02017183,
1951-11,,,,,,,,,,,,,,0.02003792,
1951-12,,,,,,,,,,,,,,0.01990365,
1952-01,,,,,,,,,,,,,,0.01990894,
1952-02,,,,,,,,,,,,,,0.01981428,
1952-03,,,,,,,,,,,,,,0.01958432,
1952-04,,,,,,,,,,,,,,0.01940475,
1952-05,,,,,,,,,,,,,,0.01929388,
1952-06,,,,,,,,,,,,,,0.01933598,
1952-07,,,,,,,,,,,,,,0.019453,
1952-08,,,,,,,,,,,,,,0.01947889,
1952-09,,,,,,,,,,,,,,0.01949227,
1952-10,,,,,,,,,,,,,,0.01944223,
1952-11,,,,,,,,,,,,,,0.01935626,
1952-12,,,,,,,,,,,,,,0.01935452,
1953-01,,,,,,,,,,,,,,0.01930703,
1953-02,,,,,,,,,,,,,,0.01926565,
1953-03,,,,,,,,,,,,,,0.0193019,
1953-04,,,,,,,,,,,,,,0.01947389,
1953-05,,,,,,,,,,,,,,0.01960435,
1953-06,,,,,,,,,,,,,,0.01959453,
1953-07,,,,,,,,,,,,,,0.01954588,
1953-08,,,,,,,,,,,,,,0.01952202,
1953-09,,,,,,,,,,,,,,0.01953336,
1953-10,,,,,,,,,,,,,,0.01957957,
1953-11,,,,,,,,,,,,,,0.01974556,
1953-12,,,,,,,,,,,,,,0.01982211,
1954-01,,,,,,,,,,,,,,0.01987448,
1954-02,,,,,,,,,,,,,,0.02000351,
1954-03,,,,,,,,,,,,,,0.02004592,
1954-04,,,,,,,,,,,,,,0.02008025,
1954-05,,,,,,,,,,,,,,0.02011755,
1954-06,,,,,,,,,,,,,,0.02011572,
1954-07,,,,,,,,,,,,,,0.0201541,
1954-08,,,,,,,,,,,,,,0.02030169,
1954-09,,,,,,,,,,,,,,0.02053089,
1954-10,,,,,,,,,,,,,,0.0207297,
1954-11,,,,,,,,,,,,,,0.02089457,
1954-12,,,,,,,,,,,,,,0.02113452,
1955-01,,,,,,,,,,,,,,0.02129337,
1955-02,,,,,,,,,,,,,,0.02140614,
1955-03,,,,,,,,,,,,,,0.02158276,
1955-04,,,,,,,,,,,,,,0.02172137,
1955-05,,,,,,,,,,,,,,0.02189018,
1955-06,,,,,,,,,,,,,,0.02216841,
1955-07,,,,,,,,,,,,,,0.02244945,
1955-08,,,,,,,,,,,,,,0.02268808,
1955-09,,,,,,,,,,,,,,0.02293799,
1955-10,,,,,,,,,,,,,,0.02317361,
1955-11,,,,,,,,,,,,,,0.02340135,
1955-12,,,,,,,,,,,,,,0.02364683,
1956-01,,,,,,,,,,,,,,0.02386169,
1956-02,,,,,,,,,,,,,,0.02397555,
1956-03,,,,,,,,,,,,,,0.02420798,
1956-04,,,,,,,,,,,,,,0.02448121,
1956-05,,,,,,,,,,,,,,0.02463705,
1956-06,,,,,,,,,,,,,,0.02474315,
1956-07,,,,,,,,,,,,,,0.02481187,
1956-08,,,,,,,,,,,,,,0.0249367,
1956-09,,,,,,,,,,,,,,0.02501603,
1956-10,,,,,,,,,,,,,,0.02502405,
1956-11,,,,,,,,,,,,,,0.02519036,
1956-12,,,,,,,,,,,,,,0.02541433,
1957-01,,,,,,,,,,,,,,0.02557109,
1957-02,,,,,,,,,,,,,,0.02577497,
1957-03,,,,,,,,,,,,,,0.02598824,
1957-04,,,,,,,,,,,,,,0.02624388,
1957-05,,,,,,,,,,,,,,0.02662859,
1957-06,,,,,,,,,,,,,,0.0269542,
1957-07,,,,,,,,,,,,,,0.0271161,
1957-08,,,,,,,,,,,,,,0.02712583,
1957-09,,,,,,,,,,,,,,0.02726255,
1957-10,,,,,,,,,,,,,,0.02758421,
1957-11,,,,,,,,,,,,,,0.02777503,
1957-12,,,,,,,,,,,,,,0.02794308,
1958-01,,,,,,,,,,,,,,0.02820776,
1958-02,,,,,,,,,,,,,,0.02843766,
1958-03,,,,,,,,,,,,,,0.02864417,
1958-04,,,,,,,,,,,,,,0.02889908,
1958-05,,,,,,,,,,,,,,0.02900126,
1958-06,,,,,,,,,,,,,,0.02901862,
1958-07,,,,,,,,,,,,,,0.02925667,
1958-08,,,,,,,,,,,,,,0.02951354,
1958-09,,,,,,,,,,,,,,0.02974491,
1958-10,,,,,,,,,,,,,,0.03009202,
1958-11,,,,,,,,,,,,,,0.03041643,
1958-12,,,,,,,,,,,,,,0.03068341,
1959-01,,,,,,,,,,,,,2.381541,0.03086665,
1959-02,,,,,,,,,,,,,2.390682,0.03111897,
