country,AUS,CAN,CHE,CHL,CHN,DEU,FRA,GBR,JPN,KOR,NOR,NZL,RUS,USA,IND,ZAF
subject,STINT,STINT,STINT,STINT,STINT,STINT,STINT,STINT,STINT,STINT,STINT,STINT,STINT,STINT,STINT,STINT
measure,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT,TOT
1956-01,,2.94,,,,,,,,,,,,,,
1956-02,,2.94,,,,,,,,,,,,,,
1956-03,,2.68,,,,,,,,,,,,,,
1956-04,,3.19,,,,,,,,,,,,,,
1956-05,,3.53,,,,,,,,,,,,,,
1956-06,,3.78,,,,,,,,,,,,,,
1956-07,,3.95,,,,,,,,,,,,,,
1956-08,,4.12,,,,,,,,,,,,,,
1956-09,,4.12,,,,,,,,,,,,,,
1956-10,,4.29,,,,,,,,,,,,,,
1956-11,,4.29,,,,,,,,,,,,,,
1956-12,,4.98,,,,,,,,,,,,,,
1957-01,,4.98,,,,,,,,,,,,,,
1957-02,,5.32,,,,,,,,,,,,,,
1957-03,,5.32,,,,,,,,,,,,,,
1957-04,,5.32,,,,,,,,,,,,,,
1957-05,,5.32,,,,,,,,,,,,,,
1957-06,,5.32,,,,,,,,,,,,,,
1957-07,,5.32,,,,,,,,,,,,,,
1957-08,,5.32,,,,,,,,,,,,,,
1957-09,,5.32,,,,,,,,,,,,,,
1957-10,,5.32,,,,,,,,,,,,,,
1957-11,,5.15,,,,,,,,,,,,,,
1957-12,,5.06,,,,,,,,,,,,,,
1958-01,,4.89,,,,,,,,,,,,,,
1958-02,,3.78,,,,,,,,,,,,,,
1958-03,,3.7,,,,,,,,,,,,,,
1958-04,,3.02,,,,,,,,,,,,,,
1958-05,,2.94,,,,,,,,,,,,,,
1958-06,,2.77,,,,,,,,,,,,,,
1958-07,,2.52,,,,,,,,,,,,,,
1958-08,,2.52,,,,,,,,,,,,,,
1958-09,,2.77,,,,,,,,,,,,,,
1958-10,,2.94,,,,,,,,,,,,,,
1958-11,,2.77,,,,,,,,,,,,,,
1958-12,,3.28,,,,,,,,,,,,,,
1959-01,,3.28,,,,,,,,,,,,,,
1959-02,,3.87,,,,,,,,,,,,,,
1959-03,,4.55,,,,,,,,,,,,,,
1959-04,,4.65,,,,,,,,,,,,,,
1959-05,,5.23,,,,,,,,,,,,,,
1959-06,,5.23,,,,,,,,,,,,,,
1959-07,,5.4,,,,,,,,,,,,,,
1959-08,,6.48,,,,,,,,,,,,,,
1959-09,,6.43,,,,,,,,,,,,,,
1959-10,,6.0,,,,,,,,,,,,,,
1959-11,,5.58,,,,,,,,,,,,,,
1959-12,,5.49,,,,,,,,,,,,,,
1960-01,,5.4,,,,4.36,,,,,,,,,,
1960-02,,5.23,,,,4.47,,,,,,,,,,
1960-03,,4.12,,,,4.71,,,,,,,,,,
1960-04,,4.29,,,,4.59,,,,,,,,,,
1960-05,,3.78,,,,4.64,,,,,,,,,,
1960-06,,3.87,,,,5.25,,,,,,,,,,
1960-07,,3.78,,,,5.58,,,,,,,,,,
1960-08,,3.02,,,,5.44,,,,,,,,,,
1960-09,,2.52,,,,5.61,,,,,,,,,,
1960-10,,3.45,,,,6.1,,,,,,,,,,
1960-11,,4.21,,,,5.38,,,,,,,,,,
1960-12,,4.29,,,,5.06,,,,,,,,,,
1961-01,,3.78,,,,4.66,,,,,,,,,,
1961-02,,3.53,,,,4.13,,,,,,,,,,
1961-03,,3.78,,,,3.73,,,,,,,,,,
1961-04,,3.53,,,,3.34,,,,,,,,,,
1961-05,,3.78,,,,3.23,,,,,,,,,,
1961-06,,3.28,,,,3.13,,,,,,,,,,
1961-07,,3.02,,,,3.16,,,,,,,,,,
1961-08,,3.28,,,,3.09,,,,,,,,,,
1961-09,,3.11,,,,3.06,,,,,,,,,,
1961-10,,3.02,,,,4.05,,,,,,,,,,
1961-11,,2.85,,,,3.71,,,,,,,,,,
1961-12,,3.45,,,,3.83,,,,,,,,,,
1962-01,,3.514,,,,2.93,,,,,,,,,,
1962-02,,3.3825,,,,2.94,,,,,,,,,,
1962-03,,3.31,,,,3.02,,,,,,,,,,
1962-04,,3.4175,,,,3.08,,,,,,,,,,
1962-05,,3.546,,,,3.08,,,,,,,,,,
1962-06,,4.1275,,,,3.13,,,,,,,,,,
1962-07,,5.6975,,,,3.29,,,,,,,,,,
1962-08,,5.698,,,,3.26,,,,,,,,,,
1962-09,,5.445,,,,3.2,,,,,,,,,,
1962-10,,4.964,,,,4.45,,,,,,,,,,
1962-11,,4.38,,,,4.33,,,,,,,,,,
1962-12,,4.3125,,,,4.35,,,,,,,,,,
1963-01,,4.248,,,,3.29,,,,,,,,,,
1963-02,,4.1625,,,,3.31,,,,,,,,,,
1963-03,,4.155,,,,3.53,,,,,,,,,,
1963-04,,3.8075,,,,3.56,,,,,,,,,,
1963-05,,3.582,,,,3.6,,,,,,,,,,
1963-06,,3.6275,,,,3.83,,,,,,,,,,
1963-07,,3.806,,,,3.98,,,,,,,,,,
1963-08,,4.1675,,,,3.81,,,,,,,,,,
1963-09,,4.13,,,,3.75,,,,,,,,,,
1963-10,,4.0,,,,5.13,,,,,,,,,,
1963-11,,4.115,,,,5.0,,,,,,,,,,
1963-12,,4.3275,,,,4.98,,,,,,,,,,
1964-01,,4.202,,,,3.33,,,,,,,,,,
1964-02,,4.06,,,,3.33,,,,,,,,,,
1964-03,,4.17,,,,3.46,,,,,,,,,,
1964-04,,4.118,,,,3.55,,,,,,,,,,
1964-05,,4.05,,,,3.69,,,,,,,,,,
1964-06,,4.02,,,,3.75,,,,,,,,3.86,,
1964-07,,4.032,,,,3.69,,,,,,,,3.87,,
1964-08,,4.2225,,,,3.91,,,,,,,,3.85,,
1964-09,,4.308,,,,4.08,,,,,,,,3.87,,
1964-10,,4.38,,,,5.42,,,,,,,,3.94,,
1964-11,,4.36,,,,5.5,,,,,,,,3.99,,
1964-12,,4.59,,,,5.36,,,,,,,,4.14,,
1965-01,,4.3625,,,,3.88,,,,,,,,4.13,,
1965-02,,4.37,,,,3.95,,,,,,,,4.19,,
1965-03,,4.444,,,,4.28,,,,,,,,4.27,,
1965-04,,4.48,,,,4.52,,,,,,,,4.28,,
1965-05,,4.685,,,,4.69,,,,,,,,4.32,,
1965-06,,4.816,,,,4.8,,,,,,,,4.31,,
1965-07,,4.9,,,,5.08,,,,,,,,4.29,,
1965-08,,5.17,,,,5.27,,,,,,,,4.3,,
1965-09,,5.226,,,,5.36,,,,,,,,4.34,,
1965-10,,5.34,,,,6.66,,,,,,,,4.46,,
1965-11,,5.65,,,,6.58,,,,,,,,4.49,,
1965-12,,5.96,,,,6.55,,,,,,,,4.75,,
1966-01,,6.0475,,,,5.23,,,,,,,,4.95,,
1966-02,,6.02,,,,5.36,,,,,,,,5.05,,
1966-03,,6.05,,,,5.69,,,,,,,,5.19,,
