Date,Price,Open,High,Low,Vol.,Change %
2019-06-25,1813.75,1795.25,1821.25,1746.5,-,2.04%
2019-05-25,1777.5,1800.25,1855.25,1757.5,0.20K,0.25%
2019-04-25,1773.0,1880.5,1908.01,1773.0,0.25K,-6.70%
2019-03-25,1900.25,1893.0,1936.0,1819.75,0.79K,0.29%
2019-02-25,1894.75,1867.25,1919.5,1820.25,0.33K,-0.33%
2019-01-25,1901.0,1777.75,1914.5,1764.0,0.40K,4.29%
2018-12-25,1822.75,1981.25,1990.9,1816.75,1.15K,-7.32%
2018-11-25,1966.75,1964.25,1994.25,1908.5,0.70K,1.01%
2018-10-25,1947.0,2075.5,2242.0,1897.5,1.49K,-5.30%
2018-09-25,2056.0,2104.5,2109.5,1999.0,0.91K,-2.54%
2018-08-25,2109.5,2040.75,2157.25,2007.5,1.05K,2.04%
2018-07-25,2067.25,2126.25,2151.75,1990.25,0.06K,-4.47%
2018-06-25,2164.0,2304.5,2341.25,2155.75,0.48K,-5.84%
2018-05-25,2298.25,2251.75,2381.0,2251.75,0.53K,1.54%
2018-04-25,2263.5,1983.0,2556.0,1983.0,1.07K,13.70%
2018-03-25,1990.75,2153.0,2153.0,1990.25,2.09K,-6.52%
2018-02-25,2129.5,2235.5,2238.25,2119.25,3.37K,-4.23%
2018-01-25,2223.5,2253.5,2266.0,2138.5,0.69K,-1.54%
2017-12-25,2258.25,2063.0,2272.0,1993.75,1.20K,11.08%
2017-11-25,2033.0,2159.75,2173.35,2029.5,6.06K,-5.28%
2017-10-25,2146.25,2083.5,2180.25,2083.5,0.33K,3.14%
2017-09-25,2081.0,2076.0,2173.63,2072.75,0.81K,-1.06%
2017-08-25,2103.25,1890.75,2114.0,1890.75,0.21K,10.71%
2017-07-25,1899.75,1925.75,1936.5,1876.25,0.61K,-0.56%
2017-06-25,1910.5,1923.75,1923.75,1857.25,-,-0.51%
2017-05-25,1920.25,1923.25,1954.0,1859.0,1.53K,0.85%
2017-04-25,1904.0,1944.0,1964.0,1882.63,2.08K,-2.60%
2017-03-25,1954.75,1943.5,1971.5,1852.75,0.62K,1.74%
2017-02-25,1921.25,1805.75,1920.25,1803.5,1.81K,6.32%
2017-01-25,1807.0,1687.25,1862.75,1686.25,-,6.67%
2016-12-25,1694.0,1722.0,1755.0,1682.0,0.22K,-2.26%
2016-11-25,1733.25,1731.6,1784.0,1689.13,0.95K,-0.04%
2016-10-25,1734.0,1669.5,1737.75,1605.25,3.01K,4.16%
2016-09-25,1664.75,1604.25,1664.0,1542.05,10.20K,4.00%
2016-08-25,1600.75,1626.0,1688.5,1602.5,4.33K,-2.20%
2016-07-25,1636.75,1645.75,1670.25,1581.5,3.67K,-0.55%
2016-06-25,1645.75,1560.0,1646.75,1532.25,4.56K,6.47%
2016-05-25,1545.75,1631.75,1631.75,1520.0,4.60K,-7.65%
2016-04-25,1673.75,1526.5,1678.0,1483.25,0.87K,10.94%
2016-03-25,1508.75,1577.25,1596.75,1468.25,0.28K,-4.04%
2016-02-25,1572.25,1525.75,1586.5,1478.25,2.33K,3.39%
2016-01-25,1520.75,1473.25,1530.25,1448.0,0.41K,1.01%
2015-12-25,1505.5,1474.25,1539.75,1466.94,2.34K,4.24%
2015-11-25,1444.25,1463.25,1518.25,1432.25,0.60K,-0.59%
2015-10-25,1452.75,1564.75,1600.5,1445.25,2.75K,-7.89%
2015-09-25,1577.25,1594.0,1638.0,1548.25,4.44K,-1.14%
2015-08-25,1595.5,1583.75,1594.0,1506.5,2.71K,0.38%
2015-07-25,1589.5,1658.5,1713.0,1589.75,3.65K,-4.16%
2015-06-25,1658.5,1708.25,1739.75,1647.0,6.17K,-2.91%
2015-05-25,1708.25,1914.25,1965.75,1704.25,9.79K,-10.76%
2015-04-25,1914.25,1787.25,1912.5,1740.75,4.88K,7.11%
2015-03-25,1787.25,1809.25,1827.75,1733.25,6.56K,-1.22%
2015-02-25,1809.25,1851.75,1881.75,1776.93,6.90K,-2.30%
2015-01-25,1851.75,1841.25,1880.5,1745.88,5.01K,0.57%
2014-12-25,1841.25,2009.5,2039.13,1833.25,16.06K,-8.37%
2014-11-25,2009.5,2065.75,2103.13,2011.38,10.12K,-2.07%
2014-10-25,2052.0,1933.5,2077.13,1859.25,5.50K,6.13%
2014-09-25,1933.5,2081.5,2100.25,1911.27,5.44K,-7.11%
2014-08-25,2081.5,1985.5,2106.63,1964.13,14.11K,4.84%
2014-07-25,1985.5,1863.75,2051.25,1843.25,8.28K,6.53%
2014-06-25,1863.75,1839.0,1898.63,1798.13,4.93K,2.50%
2014-05-25,1818.25,1766.75,1839.0,1716.38,11.55K,2.91%
2014-04-25,1766.75,1751.0,1873.38,1741.38,10.25K,0.90%
2014-03-25,1751.0,1719.15,1763.63,1675.75,5.93K,1.85%
2014-02-25,1719.15,1671.0,1756.63,1635.38,9.64K,2.88%
2014-01-25,1671.0,1761.75,1799.0,1664.0,4.19K,-5.15%
2013-12-25,1761.75,1717.75,1802.63,1698.38,2.53K,2.56%
2013-11-25,1717.75,1783.25,1798.38,1704.13,2.15K,-5.77%
2013-10-25,1823.0,1806.25,1871.5,1746.75,3.34K,0.93%
2013-09-25,1806.25,1774.5,1822.63,1742.38,2.22K,1.79%
2013-08-25,1774.5,1794.99,1918.25,1733.43,5.74K,0.42%
2013-07-25,1767.0,1737.25,1833.0,1727.5,2.46K,1.71%
2013-06-25,1737.25,1885.75,1961.88,1723.13,7.85K,-7.87%
2013-05-25,1885.75,1839.0,1893.63,1777.63,9.55K,2.54%
2013-04-25,1839.0,1882.5,1925.5,1799.13,3.18K,-2.31%
2013-03-25,1882.5,1969.5,1972.0,1875.75,4.22K,-4.42%
2013-02-25,1969.5,2062.5,2141.5,1958.88,12.39K,-5.14%
2013-01-25,2076.25,2046.5,2154.88,2004.88,5.04K,1.94%
2012-12-25,2036.75,2101.25,2146.25,2014.5,4.60K,-1.75%
2012-11-25,2073.0,1887.0,2103.88,1878.88,4.26K,9.55%
2012-10-25,1892.25,2089.0,2186.0,1848.25,3.53K,-9.20%
2012-09-25,2084.0,1880.63,2200.5,1874.25,4.53K,10.22%
2012-08-25,1890.75,1859.75,1925.13,1803.55,12.47K,1.67%
2012-07-25,1859.75,1882.0,1964.88,1834.38,1.25K,-1.22%
2012-06-25,1882.75,2024.0,2026.75,1803.25,4.56K,-4.06%
2012-05-25,1962.5,2149.5,2157.0,1927.75,6.64K,-5.92%
2012-04-25,2086.0,2103.25,2152.5,2023.25,5.65K,-0.39%
2012-03-25,2094.25,2295.0,2333.5,2094.0,55.72K,-8.73%
2012-02-25,2294.5,2224.0,2325.25,2120.75,54.37K,3.92%
2012-01-25,2208.0,1997.0,2297.25,1994.0,49.96K,10.57%
2011-12-25,1997.0,2099.75,2212.75,1947.25,41.19K,-5.39%
2011-11-25,2110.75,2199.25,2341.25,1940.0,51.27K,-4.15%
2011-10-25,2202.25,2129.25,2282.5,2066.0,56.96K,-0.84%
2011-09-25,2221.0,2440.5,2446.75,2128.5,56.16K,-8.97%
2011-08-25,2439.75,2609.0,2645.0,2260.25,57.06K,-6.80%
2011-07-25,2617.75,2507.75,2660.5,2429.75,48.57K,4.32%
2011-06-25,2509.25,2648.25,2673.5,2461.0,44.45K,-5.71%
2011-05-25,2661.25,2763.75,2797.5,2432.5,50.83K,-2.93%
2011-04-25,2741.5,2616.5,2775.5,2571.25,33.74K,4.46%
2011-03-25,2624.5,2569.5,2640.75,2432.75,59.52K,1.90%
2011-02-25,2575.5,2515.75,2578.25,2450.25,46.08K,2.42%
2011-01-25,2514.75,2468.0,2519.5,2343.5,66.18K,2.26%
2010-12-25,2459.25,2263.5,2480.75,2230.0,56.96K,9.07%
2010-11-25,2254.75,2339.0,2488.25,2175.5,67.08K,-2.94%
2010-10-25,2323.0,2348.5,2436.5,2249.25,50.03K,-0.27%
2010-09-25,2329.25,2087.25,2329.5,2087.25,6.44K,14.22%
2010-08-25,2039.25,2159.0,2241.25,2003.0,6.81K,-5.99%
2010-07-25,2169.25,1943.0,2158.25,1902.75,15.45K,10.66%
2010-06-25,1960.25,2004.0,2031.0,1786.0,10.37K,-2.81%
2010-05-25,2017.0,2211.0,2216.0,1928.0,10.16K,-9.59%
2010-04-25,2231.0,2301.0,2458.75,2086.0,10.01K,-2.96%
2010-03-25,2299.0,2129.0,2317.0,2087.0,10.24K,9.06%
2010-02-25,2108.0,2064.0,2155.0,1942.25,10.07K,2.65%
