Date,Price,Open,High,Low,Change %
1980-01-02,2.2331,2.2331,2.2331,2.2331,0.36%
1980-01-03,2.2437,2.2437,2.2437,2.2437,0.47%
1980-01-04,2.2371,2.2371,2.2371,2.2371,-0.29%
1980-01-07,2.2609,2.2609,2.2609,2.2609,1.06%
1980-01-08,2.2578,2.2578,2.2578,2.2578,-0.14%
1980-01-09,2.2681,2.2681,2.2681,2.2681,0.46%
1980-01-10,2.2584,2.2584,2.2584,2.2584,-0.43%
1980-01-11,2.2573,2.2573,2.2573,2.2573,-0.05%
1980-01-14,2.2701,2.2701,2.2701,2.2701,0.57%
1980-01-15,2.28,2.28,2.28,2.28,0.44%
1980-01-16,2.2774,2.2774,2.2774,2.2774,-0.11%
1980-01-17,2.2717,2.2717,2.2717,2.2717,-0.25%
1980-01-18,2.2815,2.2815,2.2815,2.2815,0.43%
1980-01-21,2.2883,2.2883,2.2883,2.2883,0.30%
1980-01-22,2.2763,2.2763,2.2763,2.2763,-0.52%
1980-01-23,2.2784,2.2784,2.2784,2.2784,0.09%
1980-01-24,2.2831,2.2831,2.2831,2.2831,0.21%
1980-01-25,2.2748,2.2748,2.2748,2.2748,-0.36%
1980-01-28,2.2619,2.2619,2.2619,2.2619,-0.57%
1980-01-29,2.2558,2.2558,2.2558,2.2558,-0.27%
1980-01-30,2.2655,2.2655,2.2655,2.2655,0.43%
1980-01-31,2.2671,2.2671,2.2671,2.2671,0.07%
1980-02-01,2.2774,2.2774,2.2774,2.2774,0.45%
1980-02-04,2.2784,2.2784,2.2784,2.2784,0.04%
1980-02-05,2.2889,2.2889,2.2889,2.2889,0.46%
1980-02-06,2.3079,2.3079,2.3079,2.3079,0.83%
1980-02-07,2.302,2.302,2.302,2.302,-0.26%
1980-02-08,2.2978,2.2978,2.2978,2.2978,-0.18%
1980-02-11,2.3047,2.3047,2.3047,2.3047,0.30%
1980-02-12,2.2994,2.2994,2.2994,2.2994,-0.23%
1980-02-13,2.3063,2.3063,2.3063,2.3063,0.30%
1980-02-14,2.3132,2.3132,2.3132,2.3132,0.30%
1980-02-15,2.301,2.301,2.301,2.301,-0.53%
1980-02-18,2.2952,2.2952,2.2952,2.2952,-0.25%
1980-02-19,2.2707,2.2707,2.2707,2.2707,-1.07%
1980-02-20,2.2779,2.2779,2.2779,2.2779,0.32%
1980-02-21,2.2878,2.2878,2.2878,2.2878,0.43%
1980-02-22,2.2769,2.2769,2.2769,2.2769,-0.48%
1980-02-25,2.2758,2.2758,2.2758,2.2758,-0.05%
1980-02-26,2.2784,2.2784,2.2784,2.2784,0.11%
1980-02-27,2.2868,2.2868,2.2868,2.2868,0.37%
1980-02-28,2.2857,2.2857,2.2857,2.2857,-0.05%
1980-02-29,2.2743,2.2743,2.2743,2.2743,-0.50%
1980-03-03,2.2528,2.2528,2.2528,2.2528,-0.95%
1980-03-04,2.2257,2.2257,2.2257,2.2257,-1.20%
1980-03-05,2.2447,2.2447,2.2447,2.2447,0.85%
1980-03-06,2.2272,2.2272,2.2272,2.2272,-0.78%
1980-03-07,2.2227,2.2227,2.2227,2.2227,-0.20%
1980-03-10,2.2193,2.2193,2.2193,2.2193,-0.15%
1980-03-11,2.2262,2.2262,2.2262,2.2262,0.31%
1980-03-12,2.2356,2.2356,2.2356,2.2356,0.42%
1980-03-13,2.2212,2.2212,2.2212,2.2212,-0.64%
1980-03-14,2.2119,2.2119,2.2119,2.2119,-0.42%
1980-03-17,2.1863,2.1863,2.1863,2.1863,-1.16%
1980-03-18,2.1944,2.1944,2.1944,2.1944,0.37%
1980-03-19,2.1911,2.1911,2.1911,2.1911,-0.15%
1980-03-20,2.1978,2.1978,2.1978,2.1978,0.31%
1980-03-21,2.1815,2.1815,2.1815,2.1815,-0.74%
1980-03-24,2.1815,2.1815,2.1815,2.1815,0.00%
1980-03-25,2.1935,2.1935,2.1935,2.1935,0.55%
1980-03-26,2.2022,2.2022,2.2022,2.2022,0.40%
1980-03-27,2.1782,2.1782,2.1782,2.1782,-1.09%
1980-03-28,2.1749,2.1749,2.1749,2.1749,-0.15%
1980-03-31,2.164,2.164,2.164,2.164,-0.50%
1980-04-01,2.14,2.14,2.14,2.14,-1.11%
1980-04-02,2.1575,2.1575,2.1575,2.1575,0.82%
1980-04-03,2.1395,2.1395,2.1395,2.1395,-0.83%
1980-04-08,2.158,2.158,2.158,2.158,0.86%
1980-04-09,2.1758,2.1758,2.1758,2.1758,0.82%
1980-04-10,2.1844,2.1844,2.1844,2.1844,0.40%
1980-04-11,2.1959,2.1959,2.1959,2.1959,0.53%
1980-04-14,2.2207,2.2207,2.2207,2.2207,1.13%
1980-04-15,2.1906,2.1906,2.1906,2.1906,-1.36%
1980-04-16,2.2148,2.2148,2.2148,2.2148,1.10%
1980-04-17,2.2292,2.2292,2.2292,2.2292,0.65%
1980-04-18,2.2287,2.2287,2.2287,2.2287,-0.02%
1980-04-21,2.2321,2.2321,2.2321,2.2321,0.15%
1980-04-22,2.2376,2.2376,2.2376,2.2376,0.25%
1980-04-23,2.2584,2.2584,2.2584,2.2584,0.93%
1980-04-24,2.2671,2.2671,2.2671,2.2671,0.39%
1980-04-25,2.2779,2.2779,2.2779,2.2779,0.48%
1980-04-28,2.2868,2.2868,2.2868,2.2868,0.39%
1980-04-29,2.2732,2.2732,2.2732,2.2732,-0.59%
1980-04-30,2.2548,2.2548,2.2548,2.2548,-0.81%
1980-05-01,2.2619,2.2619,2.2619,2.2619,0.31%
1980-05-02,2.263,2.263,2.263,2.263,0.05%
1980-05-06,2.2862,2.2862,2.2862,2.2862,1.03%
1980-05-07,2.2815,2.2815,2.2815,2.2815,-0.21%
1980-05-08,2.2841,2.2841,2.2841,2.2841,0.11%
1980-05-09,2.2701,2.2701,2.2701,2.2701,-0.61%
1980-05-12,2.2815,2.2815,2.2815,2.2815,0.50%
1980-05-13,2.2815,2.2815,2.2815,2.2815,0.00%
1980-05-14,2.2889,2.2889,2.2889,2.2889,0.32%
1980-05-15,2.3026,2.3026,2.3026,2.3026,0.60%
1980-05-16,2.2857,2.2857,2.2857,2.2857,-0.73%
1980-05-19,2.2852,2.2852,2.2852,2.2852,-0.02%
1980-05-20,2.2915,2.2915,2.2915,2.2915,0.28%
1980-05-21,2.3267,2.3267,2.3267,2.3267,1.54%
1980-05-22,2.3267,2.3267,2.3267,2.3267,0.00%
1980-05-23,2.3447,2.3447,2.3447,2.3447,0.77%
1980-05-27,2.3685,2.3685,2.3685,2.3685,1.02%
1980-05-28,2.3563,2.3563,2.3563,2.3563,-0.52%
1980-05-29,2.3485,2.3485,2.3485,2.3485,-0.33%
1980-05-30,2.3452,2.3452,2.3452,2.3452,-0.14%
1980-06-02,2.3392,2.3392,2.3392,2.3392,-0.26%
1980-06-03,2.2989,2.2989,2.2989,2.2989,-1.72%
1980-06-04,2.3207,2.3207,2.3207,2.3207,0.95%
1980-06-05,2.3305,2.3305,2.3305,2.3305,0.42%
1980-06-06,2.331,2.331,2.331,2.331,0.02%
1980-06-09,2.3502,2.3502,2.3502,2.3502,0.82%
1980-06-10,2.3337,2.3337,2.3337,2.3337,-0.70%
1980-06-11,2.3348,2.3348,2.3348,2.3348,0.05%
1980-06-12,2.3381,2.3381,2.3381,2.3381,0.14%
1980-06-13,2.3425,2.3425,2.3425,2.3425,0.19%
1980-06-16,2.3458,2.3458,2.3458,2.3458,0.14%
1980-06-17,2.3305,2.3305,2.3305,2.3305,-0.65%
1980-06-18,2.3315,2.3315,2.3315,2.3315,0.04%
1980-06-19,2.3294,2.3294,2.3294,2.3294,-0.09%
1980-06-20,2.3381,2.3381,2.3381,2.3381,0.37%
1980-06-23,2.3392,2.3392,2.3392,2.3392,0.05%
1980-06-24,2.3359,2.3359,2.3359,2.3359,-0.14%
1980-06-25,2.3348,2.3348,2.3348,2.3348,-0.05%
1980-06-26,2.3425,2.3425,2.3425,2.3425,0.33%
1980-06-27,2.3496,2.3496,2.3496,2.3496,0.30%
1980-06-30,2.3568,2.3568,2.3568,2.3568,0.31%
1980-07-01,2.3602,2.3602,2.3602,2.3602,0.14%
1980-07-02,2.3607,2.3607,2.3607,2.3607,0.02%
1980-07-03,2.3458,2.3458,2.3458,2.3458,-0.63%
