Date,Price
1/4/71,1.0109
1/5/71,1.0102
1/6/71,1.0106
1/7/71,1.0148
1/8/71,1.0154
1/11/71,1.0159
1/12/71,1.013
1/13/71,1.0122
1/14/71,1.0133
1/15/71,1.0135
1/18/71,1.0126
1/19/71,1.0111
1/20/71,1.0115
1/21/71,1.0109
1/22/71,1.0117
1/25/71,1.0111
1/26/71,1.0107
1/27/71,1.0101
1/28/71,1.009
1/29/71,1.008
2/1/71,1.0076
2/2/71,1.0087
2/3/71,1.0085
2/4/71,1.0078
2/5/71,1.0078
2/8/71,1.0083
2/9/71,1.0083
2/10/71,1.0086
2/11/71,1.0086
2/16/71,1.0084
2/17/71,1.0087
2/18/71,1.0076
2/19/71,1.0066
2/22/71,1.0043
2/23/71,1.0035
2/24/71,1.0075
2/25/71,1.0066
2/26/71,1.007
3/1/71,1.0076
3/2/71,1.0071
3/3/71,1.0073
3/4/71,1.0064
3/5/71,1.0047
3/8/71,1.003
3/9/71,1.004
3/10/71,1.0036
3/11/71,1.0049
3/12/71,1.0056
3/15/71,1.0059
3/16/71,1.0052
3/17/71,1.0056
3/18/71,1.0065
3/19/71,1.0077
3/22/71,1.0079
3/23/71,1.0078
3/24/71,1.0076
3/25/71,1.007
3/26/71,1.0074
3/29/71,1.0075
3/30/71,1.0082
3/31/71,1.0081
4/1/71,1.0076
4/2/71,1.0073
4/5/71,1.0071
4/6/71,1.0062
4/7/71,1.0069
4/8/71,1.0071
4/9/71,1.0068
4/12/71,1.0069
4/13/71,1.0076
4/14/71,1.0081
4/15/71,1.0075
4/16/71,1.0068
4/19/71,1.0073
4/20/71,1.0075
4/21/71,1.0073
4/22/71,1.0076
4/23/71,1.0085
4/26/71,1.0092
4/27/71,1.0095
4/28/71,1.0089
4/29/71,1.0086
4/30/71,1.0091
5/3/71,1.0089
5/4/71,1.009
5/5/71,1.0074
5/6/71,1.0074
5/7/71,1.0069
5/10/71,1.0084
5/11/71,1.0084
5/12/71,1.0083
5/13/71,1.0089
5/14/71,1.0089
5/17/71,1.0089
5/18/71,1.0089
5/19/71,1.0095
5/20/71,1.0093
5/21/71,1.0092
5/24/71,1.009
5/25/71,1.0091
5/26/71,1.0086
5/27/71,1.0093
5/28/71,1.0101
6/1/71,1.0126
6/2/71,1.0134
6/3/71,1.0185
6/4/71,1.0174
6/7/71,1.0161
6/8/71,1.0179
6/9/71,1.0186
6/10/71,1.0239
6/11/71,1.0239
6/14/71,1.0232
6/15/71,1.0248
6/16/71,1.0244
6/17/71,1.0242
6/18/71,1.0225
6/21/71,1.0242
6/22/71,1.0243
6/23/71,1.0234
6/24/71,1.0242
6/25/71,1.0233
6/28/71,1.0221
6/29/71,1.023
6/30/71,1.0235
7/1/71,1.0232
7/2/71,1.0226
7/6/71,1.023
7/7/71,1.0233
7/8/71,1.023
7/9/71,1.023
7/12/71,1.0231
7/13/71,1.0231
7/14/71,1.023
7/15/71,1.0227
7/16/71,1.0228
7/19/71,1.0222
7/20/71,1.0203
7/21/71,1.02
7/22/71,1.0175
7/23/71,1.0151
7/26/71,1.0176
7/27/71,1.0205
7/28/71,1.0221
7/29/71,1.0207
7/30/71,1.0188
8/2/71,1.0193
8/3/71,1.0195
8/4/71,1.0185
8/5/71,1.0168
8/6/71,1.0186
8/9/71,1.0063
8/10/71,1.0128
8/11/71,1.0143
8/12/71,1.0132
8/13/71,1.0119
8/16/71,1.0098
8/17/71,1.0067
8/18/71,1.0087
8/19/71,1.0112
8/20/71,1.0113
8/23/71,1.0128
8/24/71,1.0143
8/25/71,1.0121
8/26/71,1.0106
8/27/71,1.01
8/30/71,1.0135
8/31/71,1.0142
9/1/71,1.0162
9/2/71,1.0143
9/3/71,1.0146
9/7/71,1.0162
9/8/71,1.0161
9/9/71,1.0157
9/10/71,1.0159
9/13/71,1.0161
9/14/71,1.0153
9/15/71,1.0141
9/16/71,1.0142
9/17/71,1.0136
9/20/71,1.012
9/21/71,1.0122
9/22/71,1.0119
9/23/71,1.0092
9/24/71,1.0066
9/27/71,1.0098
9/28/71,1.0099
9/29/71,1.0098
9/30/71,1.0093
10/1/71,1.0091
10/4/71,1.0082
10/5/71,1.0079
10/6/71,1.0075
10/7/71,1.0062
10/8/71,1.0057
10/12/71,1.0054
10/13/71,1.0056
10/14/71,1.0045
10/15/71,1.0051
10/18/71,1.0045
10/19/71,1.0036
10/20/71,1.0034
10/21/71,1.0034
10/22/71,1.0007
10/26/71,1.0019
10/27/71,1.0013
10/28/71,1.0017
10/29/71,1.0036
11/1/71,1.0054
11/3/71,1.0036
11/4/71,1.0042
11/5/71,1.0048
11/8/71,1.0058
11/9/71,1.006
11/10/71,1.0053
11/11/71,1.0048
11/12/71,1.0045
11/15/71,1.0038
11/16/71,1.0034
11/17/71,1.0037
11/18/71,1.0036
11/19/71,1.0027
11/22/71,1.0027
11/23/71,1.0027
11/24/71,1.0026
11/26/71,1.0027
11/29/71,1.0027
11/30/71,1.0036
12/1/71,1.003
12/2/71,1.0027
12/3/71,1.0026
12/6/71,1.001
12/7/71,1.0011
12/8/71,0.9997
12/9/71,0.9978
12/10/71,0.9957
12/13/71,0.9967
12/14/71,0.9971
12/15/71,0.9969
12/16/71,0.9973
12/17/71,0.9967
12/20/71,0.9933
12/21/71,0.9967
12/22/71,0.9985
12/23/71,1.0004
12/24/71,1.0006
12/27/71,1.0002
12/28/71,1.0014
12/29/71,1.0019
12/30/71,1.0008
12/31/71,1.0024
1/3/72,1.0041
1/4/72,1.0052
1/5/72,1.005
1/6/72,1.005
1/7/72,1.0068
1/10/72,1.0093
1/11/72,1.0085
1/12/72,1.0076
1/13/72,1.0071
1/14/72,1.0061
1/17/72,1.0045
1/18/72,1.0065
1/19/72,1.0061
1/20/72,1.0065
1/21/72,1.0063
1/24/72,1.0056
1/25/72,1.0046
1/26/72,1.0046
1/27/72,1.0045
1/28/72,1.0046
1/31/72,1.0056
2/1/72,1.0063
2/2/72,1.0058
2/3/72,1.0057
2/4/72,1.0058
2/7/72,1.006
2/8/72,1.0065
2/9/72,1.0058
2/10/72,1.0057
2/11/72,1.0057
2/14/72,1.0057
2/15/72,1.005
2/16/72,1.0047
2/17/72,1.0045
2/18/72,1.004
2/22/72,1.0034
2/23/72,1.0047
2/24/72,1.0025
2/25/72,1.0025
2/28/72,1.0028
2/29/72,1.0012
3/1/72,1.001
3/2/72,1.0006
3/3/72,1.0004
3/6/72,0.9974
3/7/72,0.9971
3/8/72,0.9969
3/9/72,0.9962
3/10/72,0.9971
3/13/72,0.9989
3/14/72,1.0003
3/15/72,1.0011
3/16/72,1.0006
3/17/72,1.0008
3/20/72,0.9996
3/21/72,0.9973
3/22/72,0.9978
3/23/72,0.999
3/24/72,0.9987
3/27/72,0.9966
3/28/72,0.9961
3/29/72,0.9966
3/30/72,0.9972
3/31/72,0.9977
4/3/72,0.9983
4/4/72,0.9979
4/5/72,0.9969
4/6/72,0.9964
4/7/72,0.997
4/10/72,0.997
4/11/72,0.9969
4/12/72,0.997
4/13/72,0.9968
4/14/72,0.9972
4/17/72,0.9967
4/18/72,0.997
4/19/72,0.9969
4/20/72,0.9961
4/21/72,0.9945
4/24/72,0.9933
4/25/72,0.992
4/26/72,0.9917
4/27/72,0.9923
4/28/72,0.9924
5/1/72,0.9935
5/2/72,0.9931
5/3/72,0.992
5/4/72,0.992
5/5/72,0.9921
5/8/72,0.9922
5/9/72,0.9917
5/10/72,0.991
5/11/72,0.9896
5/12/72,0.9899
5/15/72,0.9901
5/16/72,0.9911
5/17/72,0.9893
5/18/72,0.9887
5/19/72,0.9886
5/22/72,0.9882
5/23/72,0.9876
5/24/72,0.9838
5/25/72,0.9839
5/26/72,0.9841
5/30/72,0.9831
5/31/72,0.9812
6/1/72,0.9816
6/2/72,0.9813
6/5/72,0.9786
6/6/72,0.979
6/7/72,0.979
6/8/72,0.9768
6/9/72,0.9759
6/12/72,0.9777
6/13/72,0.9778
6/14/72,0.9756
6/15/72,0.9744
6/16/72,0.9759
6/19/72,0.9783
6/20/72,0.9805
6/21/72,0.9832
6/22/72,0.9813
6/23/72,0.9808
6/26/72,0.9805
6/27/72,0.981
6/28/72,0.9815
6/29/72,0.9835
6/30/72,0.9856
7/3/72,0.9846
7/5/72,0.9836
7/6/72,0.9843
7/7/72,0.9855
7/10/72,0.9853
7/11/72,0.9844
7/12/72,0.9834
7/13/72,0.9835
7/14/72,0.9828
7/17/72,0.9848
7/18/72,0.9836
7/19/72,0.9835
7/20/72,0.9833
7/21/72,0.9843
7/24/72,0.9848
7/25/72,0.9847
7/26/72,0.9835
7/27/72,0.983
7/28/72,0.9827
7/31/72,0.9834
8/1/72,0.9833
8/2/72,0.9832
8/3/72,0.9824
8/4/72,0.9821
8/7/72,0.9822
8/8/72,0.982
8/9/72,0.9819
8/10/72,0.9815
8/11/72,0.9818
8/14/72,0.9818
8/15/72,0.9816
8/16/72,0.9819
8/17/72,0.982
8/18/72,0.9822
8/21/72,0.9828
8/22/72,0.9834
8/23/72,0.9827
8/24/72,0.9826
8/25/72,0.9827
8/28/72,0.9823
8/29/72,0.9825
8/30/72,0.9833
8/31/72,0.9832
9/1/72,0.9833
9/5/72,0.9836
9/6/72,0.9839
9/7/72,0.9836
9/8/72,0.984
9/11/72,0.9843
9/12/72,0.9838
9/13/72,0.983
9/14/72,0.9828
9/15/72,0.9818
9/18/72,0.9816
9/19/72,0.9821
9/20/72,0.9828
9/21/72,0.9821
9/22/72,0.9822
9/25/72,0.9821
9/26/72,0.9826
9/27/72,0.9832
9/28/72,0.9838
9/29/72,0.9835
10/2/72,0.9842
10/3/72,0.984
10/4/72,0.9833
10/5/72,0.9834
10/6/72,0.9837
10/10/72,0.9825
10/11/72,0.9825
10/12/72,0.9825
10/13/72,0.9819
10/16/72,0.9821
10/17/72,0.982
10/18/72,0.983
10/19/72,0.9825
10/20/72,0.9825
10/24/72,0.9825
10/25/72,0.9821
10/26/72,0.9821
10/27/72,0.9822
10/30/72,0.9825
10/31/72,0.9832
11/1/72,0.9843
11/2/72,0.9859
11/3/72,0.9866
11/6/72,0.9867
11/8/72,0.9866
11/9/72,0.9865
11/10/72,0.9862
11/13/72,0.9857
11/14/72,0.986
11/15/72,0.986
11/16/72,0.9859
11/17/72,0.9861
11/20/72,0.9863
11/21/72,0.9869
11/22/72,0.9869
11/24/72,0.9876
11/27/72,0.9886
11/28/72,0.9909
11/29/72,0.9934
11/30/72,0.9945
12/1/72,0.995
12/4/72,0.9958
12/5/72,0.9961
12/6/72,0.9985
12/7/72,1.0017
12/8/72,1.0012
12/11/72,1.0016
12/12/72,0.9988
12/13/72,0.9968
12/14/72,0.9974
12/15/72,0.997
12/18/72,0.9971
12/19/72,0.9961
12/20/72,0.9933
12/21/72,0.9923
12/22/72,0.9944
12/26/72,0.9963
12/27/72,0.995
12/28/72,0.995
12/29/72,0.9956
1/2/73,0.9964
1/3/73,0.9986
1/4/73,0.9981
1/5/73,0.9976
1/8/73,0.9996
