Date,Price,Open,High,Low,Vol.,Change %
2019-06-25,2.7289999999999996,2.6310000000000002,2.7460000000000004,2.6,-,3.72%
2019-05-25,2.6310000000000002,2.909,2.9130000000000003,2.63,-,-9.56%
2019-04-25,2.909,2.966,2.995,2.858,-,-2.12%
2019-03-25,2.972,2.948,2.987,2.8339999999999996,-,0.75%
2019-02-25,2.95,2.783,2.977,2.7510000000000003,1.27M,5.96%
2019-01-25,2.784,2.642,2.7969999999999997,2.543,1.57M,5.82%
2018-12-25,2.6310000000000002,2.85,2.858,2.6239999999999997,1.19M,-5.63%
2018-11-25,2.7880000000000003,2.6710000000000003,2.8480000000000003,2.662,685.93K,4.11%
2018-10-25,2.678,2.818,2.884,2.6660000000000004,237.35K,-5.20%
2018-09-25,2.825,2.6839999999999997,2.888,2.603,181.25K,5.77%
2018-08-25,2.6710000000000003,2.846,2.85,2.575,903.62K,-5.25%
2018-07-25,2.819,2.9539999999999997,2.9560000000000004,2.67,16.68K,-4.47%
2018-06-25,2.951,3.057,3.2969999999999997,2.93,24.31K,-3.50%
2018-05-25,3.0580000000000003,3.049,3.133,2.998,16.57K,0.16%
2018-04-25,3.053,3.045,3.1639999999999997,2.972,22.95K,1.13%
2018-03-25,3.0189999999999997,3.1039999999999996,3.1710000000000003,2.946,16.16K,-2.83%
2018-02-25,3.1069999999999998,3.18,3.2489999999999997,3.0210000000000004,27.16K,-2.42%
2018-01-25,3.1839999999999997,3.2510000000000003,3.267,3.103,10.10K,-2.93%
2017-12-25,3.28,3.045,3.2960000000000003,2.9210000000000003,16.90K,8.00%
2017-11-25,3.037,3.138,3.174,3.025,27.22K,-1.78%
2017-10-25,3.092,2.9539999999999997,3.228,2.928,10.72K,5.24%
2017-09-25,2.938,3.0869999999999997,3.158,2.875,21.08K,-4.58%
2017-08-25,3.0789999999999997,2.89,3.114,2.8680000000000003,26.32K,6.61%
2017-07-25,2.888,2.6860000000000004,2.9,2.623,12.70K,7.00%
2017-06-25,2.699,2.576,2.7060000000000004,2.5180000000000002,18.00K,4.73%
2017-05-25,2.577,2.5869999999999997,2.68,2.47,14.70K,-0.73%
2017-04-25,2.596,2.642,2.687,2.521,27.92K,-1.93%
2017-03-25,2.647,2.705,2.755,2.55,13.92K,-2.11%
2017-02-25,2.7039999999999997,2.718,2.77,2.6069999999999998,23.30K,-0.62%
2017-01-25,2.721,2.5269999999999997,2.72,2.48,8.88K,8.93%
2016-12-25,2.498,2.6260000000000003,2.701,2.45,12.45K,-4.73%
2016-11-25,2.622,2.205,2.722,2.2,23.45K,19.18%
2016-10-25,2.2,2.187,2.206,2.08,6.61K,-0.09%
2016-09-25,2.202,2.072,2.209,2.061,13.66K,6.38%
2016-08-25,2.07,2.227,2.239,2.063,17.30K,-6.76%
2016-07-25,2.22,2.201,2.273,2.116,12.14K,1.14%
2016-06-25,2.195,2.066,2.204,2.021,15.98K,4.62%
2016-05-25,2.0980000000000003,2.2680000000000002,2.285,2.042,12.34K,-7.94%
2016-04-25,2.279,2.184,2.292,2.0709999999999997,18.61K,4.45%
2016-03-25,2.182,2.123,2.314,2.094,11.32K,2.54%
2016-02-25,2.128,2.03,2.156,2.0,21.63K,3.10%
2016-01-25,2.064,2.0709999999999997,2.097,1.9369999999999998,7.79K,-2.92%
2015-12-25,2.126,2.044,2.14,2.025,11.86K,3.96%
2015-11-25,2.045,2.291,2.3409999999999997,2.005,30.80K,-11.59%
2015-10-25,2.313,2.3409999999999997,2.436,2.28,6.28K,-1.36%
2015-09-25,2.345,2.336,2.5,2.24,12.77K,0.30%
2015-08-25,2.338,2.35,2.416,2.228,17.36K,-1.27%
2015-07-25,2.3680000000000003,2.623,2.65,2.342,14.82K,-9.72%
2015-06-25,2.623,2.764,2.773,2.583,14.93K,-4.96%
2015-05-25,2.76,2.885,2.964,2.7539999999999996,12.22K,-4.37%
2015-04-25,2.886,2.7489999999999997,2.889,2.6660000000000004,16.24K,5.06%
2015-03-25,2.747,2.73,2.924,2.57,12.47K,1.14%
2015-02-25,2.716,2.51,2.7319999999999998,2.5069999999999997,22.37K,7.44%
2015-01-25,2.528,2.842,2.842,2.43,7.01K,-10.92%
2014-12-25,2.838,2.8569999999999998,2.96,2.799,7.45K,-0.77%
2014-11-25,2.86,3.051,3.0789999999999997,2.8569999999999998,22.41K,-6.57%
2014-10-25,3.0610000000000004,3.003,3.1189999999999998,2.957,5.09K,1.83%
2014-09-25,3.0060000000000002,3.1460000000000004,3.2,3.005,9.57K,-4.11%
2014-08-25,3.135,3.2239999999999998,3.2430000000000003,3.08,12.42K,-2.73%
2014-07-25,3.2230000000000003,3.19,3.275,3.162,7.98K,1.10%
2014-06-25,3.188,3.155,3.194,3.015,17.17K,1.66%
2014-05-25,3.136,3.0260000000000002,3.2,3.013,8.60K,3.50%
2014-04-25,3.03,3.0460000000000003,3.1439999999999997,2.998,13.92K,-0.53%
2014-03-25,3.0460000000000003,3.2319999999999998,3.278,2.928,10.75K,-5.96%
2014-02-25,3.239,3.216,3.36,3.1919999999999997,15.05K,0.59%
2014-01-25,3.22,3.466,3.466,3.21,5.97K,-6.45%
2013-12-25,3.4419999999999997,3.228,3.445,3.195,13.01K,6.53%
2013-11-25,3.2310000000000003,3.295,3.3139999999999996,3.147,30.31K,-1.94%
2013-10-25,3.295,3.318,3.33,3.213,5.86K,-0.78%
2013-09-25,3.321,3.25,3.353,3.195,9.49K,2.98%
2013-08-25,3.225,3.135,3.378,3.135,24.07K,3.40%
2013-07-25,3.1189999999999998,3.032,3.2289999999999996,3.032,11.06K,2.26%
2013-06-25,3.05,3.299,3.39,3.0060000000000002,26.66K,-7.27%
2013-05-25,3.2889999999999997,3.187,3.405,3.051,12.40K,3.17%
2013-04-25,3.188,3.38,3.446,3.068,17.32K,-6.10%
2013-03-25,3.395,3.532,3.55,3.3810000000000002,10.97K,-3.74%
2013-02-25,3.5269999999999997,3.7310000000000003,3.7760000000000002,3.517,22.99K,-5.29%
2013-01-25,3.7239999999999998,3.64,3.753,3.591,8.16K,2.28%
2012-12-25,3.641,3.6260000000000003,3.7030000000000003,3.5180000000000002,9.44K,0.30%
2012-11-25,3.63,3.55,3.628,3.406,25.59K,2.92%
2012-10-25,3.5269999999999997,3.753,3.826,3.495,4.88K,-6.52%
2012-09-25,3.773,3.443,3.852,3.429,12.59K,9.24%
2012-08-25,3.4539999999999997,3.384,3.505,3.298,28.75K,0.99%
2012-07-25,3.42,3.487,3.55,3.3480000000000003,13.49K,-2.01%
2012-06-25,3.49,3.36,3.5060000000000002,3.245,27.72K,3.81%
2012-05-25,3.362,3.841,3.855,3.34,13.11K,-12.29%
2012-04-25,3.833,3.873,3.95,3.588,35.40K,0.24%
2012-03-25,3.824,3.865,3.9419999999999997,3.7089999999999996,14.61K,-1.19%
2012-02-25,3.87,3.784,3.9789999999999996,3.702,31.94K,2.16%
2012-01-25,3.7880000000000003,3.4610000000000003,3.897,3.3930000000000002,4.70K,10.37%
2011-12-25,3.432,3.5580000000000003,3.6189999999999998,3.25,10.18K,-3.68%
2011-11-25,3.563,3.56,3.62,3.252,22.62K,-1.82%
2011-10-25,3.6289999999999996,3.072,3.7119999999999997,3.0010000000000003,5.22K,15.39%
2011-09-25,3.145,4.18,4.18,3.103,11.67K,-24.89%
2011-08-25,4.187,4.499,4.499,3.8739999999999997,24.20K,-6.41%
2011-07-25,4.474,4.25,4.487,4.24,11.91K,4.73%
2011-06-25,4.272,4.181,4.274,4.02,23.49K,2.37%
2011-05-25,4.173,4.178,4.25,3.846,10.68K,0.19%
2011-04-25,4.165,4.27,4.515,3.935,20.77K,-3.14%
2011-03-25,4.3,4.486000000000001,4.535,4.07,14.84K,-3.97%
2011-02-25,4.478,4.4910000000000005,4.625,4.271,38.22K,0.61%
2011-01-25,4.4510000000000005,4.437,4.462,4.213,5.44K,0.27%
2010-12-25,4.439,3.7910000000000004,4.44,3.7880000000000003,12.82K,16.11%
2010-11-25,3.823,3.7689999999999997,4.04,3.668,25.50K,2.44%
2010-10-25,3.7319999999999998,3.678,3.87,3.645,5.16K,2.36%
2010-09-25,3.6460000000000004,3.3710000000000004,3.667,3.3710000000000004,10.52K,8.48%
2010-08-25,3.361,3.32,3.431,3.18,23.22K,1.63%
2010-07-25,3.307,2.897,3.31,2.845,10.24K,12.64%
2010-06-25,2.9360000000000004,3.1,3.1039999999999996,2.725,19.40K,-5.20%
2010-05-25,3.097,3.322,3.322,2.9,10.81K,-7.19%
2010-04-25,3.3369999999999997,3.5439999999999996,3.63,3.3160000000000003,20.86K,-5.89%
2010-03-25,3.5460000000000003,3.359,3.5669999999999997,3.2769999999999997,12.70K,8.51%
2010-02-25,3.2680000000000002,3.03,3.36,2.86,22.52K,7.29%
2010-01-25,3.0460000000000003,3.358,3.523,3.036,5.44K,-8.47%
2009-12-25,3.3280000000000003,3.155,3.352,3.06,13.28K,5.72%
2009-11-25,3.148,2.96,3.196,2.89,24.61K,6.82%
2009-10-25,2.947,2.7969999999999997,3.0580000000000003,2.6489999999999996,5.30K,4.91%
2009-09-25,2.8089999999999997,2.8160000000000003,2.955,2.66,11.80K,0.04%
2009-08-25,2.8080000000000003,2.7289999999999996,2.966,2.65,21.02K,7.34%
2009-07-25,2.616,2.2640000000000002,2.622,2.135,9.88K,15.85%
2009-06-25,2.258,2.187,2.4459999999999997,2.12,15.56K,2.78%
2009-05-25,2.197,2.044,2.217,1.985,10.48K,7.01%
2009-04-25,2.053,1.831,2.214,1.798,12.09K,11.64%
2009-03-25,1.839,1.5,1.865,1.495,10.23K,20.51%
2009-02-25,1.526,1.4,1.643,1.4,9.35K,4.38%
2009-01-25,1.462,1.442,1.611,1.376,5.43K,4.80%
2008-12-25,1.395,1.645,1.655,1.25,9.55K,-14.05%
2008-11-25,1.6230000000000002,1.8769999999999998,1.98,1.55,14.22K,-11.98%
2008-10-25,1.844,2.897,2.938,1.695,5.45K,-36.15%
2008-09-25,2.888,3.418,3.4219999999999997,2.858,12.11K,-15.78%
2008-08-25,3.429,3.62,3.662,3.237,11.97K,-7.72%
2008-07-25,3.716,3.8819999999999997,4.082,3.59,10.81K,-4.62%
2008-06-25,3.8960000000000004,3.565,3.9189999999999996,3.51,12.25K,7.39%
2008-05-25,3.628,3.9330000000000003,4.27,3.572,13.41K,-7.78%
2008-04-25,3.9339999999999997,3.8289999999999997,4.032,3.7539999999999996,10.72K,1.81%
