Date,Open,High,Low,Price,Change,Settle,Volume,Previous Day Open Interest
9/6/73,58.5,58.5,58.5,58.5,,58.5,0,2
9/7/73,59.5,59.5,59.5,59.5,,59.5,4,6
9/10/73,59,59,58.5,58.5,,58.5,2,5
9/11/73,58,58,58,58,,58,0,5
9/12/73,58,59,58,59,,59,17,21
9/14/73,58.75,58.75,58.75,58.75,,58.75,1,22
9/17/73,59,59,59,59,,59,1,22
9/18/73,58.4,58.4,58,58,,58,1,22
9/19/73,57,57,57,57,,57,1,22
9/20/73,56,56,56,56,,56,1,23
9/21/73,55,55,55,55,,55,0,23
9/24/73,54,54,54,54,,54,0,23
9/25/73,53,53.25,53,53,,53,18,40
9/26/73,52.9,53.15,52.5,52.5,,52.5,13,49
9/27/73,53.5,53.5,53.5,53.5,,53.5,1,49
9/28/73,53.5,54.3,53.5,54.3,,54.3,7,55
10/1/73,55.3,55.3,54.7,55.3,,55.3,8,57
10/2/73,54.85,54.85,54.3,54.3,,54.3,8,60
10/3/73,53.3,53.95,53.3,53.95,,53.95,6,61
10/4/73,54.75,54.95,54.75,54.95,,54.95,2,57
10/5/73,55,55.95,55,55.95,,55.95,24,54
10/8/73,56.95,56.95,56.95,56.95,,56.95,6,51
10/9/73,57,57,56.65,56.9,,56.9,10,50
10/10/73,56.95,57,56.8,57,,57,6,47
10/11/73,57,57.65,57,57.65,,57.65,7,45
10/12/73,57.7,57.7,56.7,57,,57,4,49
10/15/73,56,56.15,56,56,,56,27,70
10/16/73,55,55.05,55,55,,55,5,65
10/17/73,54,54.3,54,54,,54,24,80
10/18/73,53,54.05,53,54.05,,54.05,23,85
10/19/73,55.05,55.05,54.75,55.05,,55.05,23,87
10/22/73,54.4,54.4,54.05,54.05,,54.05,37,119
10/23/73,54.3,54.45,53.65,53.65,,53.65,11,115
10/24/73,53.95,54.1,53.75,53.75,,53.75,19,116
10/25/73,54.1,54.1,53.95,54,,54,10,115
10/26/73,54.02,54.05,53.45,53.6,,53.6,5,115
10/29/73,53.1,53.1,52.6,52.6,,52.6,15,113
10/30/73,52.6,53.6,52.05,53.55,,53.55,38,119
10/31/73,53.6,54.5,53.55,54,,54,13,121
11/1/73,54,54.4,53.7,54.4,,54.4,14,118
11/2/73,54.4,55.1,54.2,54.2,,54.2,9,112
11/5/73,54.5,54.9,54.5,54.9,,54.9,10,110
11/6/73,55.05,55.05,53.9,53.9,,53.9,16,111
11/7/73,53.75,53.75,52.9,52.9,,52.9,27,112
11/8/73,52.6,53.9,52.6,53.9,,53.9,23,118
11/9/73,54.9,54.9,54.35,54.35,,54.35,16,117
11/12/73,54.5,54.8,54.5,54.5,,54.5,23,130
11/13/73,54.5,54.9,54.5,54.75,,54.75,22,137
11/14/73,54.97,54.97,54.2,54.5,,54.5,14,131
11/15/73,54.5,54.9,54.25,54.5,,54.5,14,137
11/16/73,54.75,54.9,54.75,54.9,,54.9,6,135
11/19/73,55.1,55.65,55,55.5,,55.5,32,153
11/20/73,55.4,55.4,54.75,54.75,,54.75,16,164
11/21/73,54.8,55.1,54.75,54.9,,54.9,9,163
11/23/73,55.1,55.2,55,55,,55,7,157
11/26/73,54.75,54.8,54,54,,54,19,161
11/27/73,53,53,53,53,,53,17,160
11/28/73,52.5,53.1,52.5,53,,53,22,168
11/29/73,53,53,52,52.25,,52.25,45,169
11/30/73,52.05,52.05,51.25,51.25,,51.25,42,167
12/3/73,50.25,50.25,50.25,50.25,,50.25,1,167
12/4/73,49.25,50.25,49.25,50.25,,50.25,30,175
12/5/73,50.7,50.7,49.25,49.25,,49.25,38,172
12/6/73,48.3,49.4,48.3,49.4,,49.4,39,182
12/7/73,49.8,50.4,49.8,49.85,,49.85,30,192
12/10/73,50.15,50.85,50.15,50.85,,50.85,12,186
12/11/73,51,51,50,50.7,,50.7,34,196
12/12/73,51.25,51.5,51,51.5,,51.5,13,189
12/13/73,52.5,52.5,52,52.5,,52.5,30,194
12/14/73,52.5,52.5,51.5,51.65,,51.65,10,196
