Date,Price,Open,High,Low,Vol.,Change %
2019-06-25,1.8715,1.764,1.8745,1.6626,-,3.86%
2019-05-25,1.802,2.0528,2.0854,1.7885,1.33M,-15.13%
2019-04-25,2.1232,1.8827,2.1559,1.8786,1.38M,12.01%
2019-03-25,1.8956,1.7521,1.9807,1.7124,1.23M,16.34%
2019-02-25,1.6293,1.386,1.649,1.3749,1.21M,19.56%
2019-01-25,1.3627,1.3136,1.4677,1.2685,1.11M,2.95%
2018-12-25,1.3237,1.4126,1.5177,1.245,1.06M,-8.16%
2018-11-25,1.4413,1.7445,1.7574,1.3753,1.08M,-18.48%
2018-10-25,1.768,2.0908,2.15,1.7533,1.25M,-15.86%
2018-09-25,2.1012,1.9963,2.118,1.926,1.17M,-1.98%
2018-08-25,2.1437,2.0773,2.1555,1.9671,1.42M,0.69%
2018-07-25,2.1291,2.1468,2.185,1.9982,1.06M,-2.29%
2018-06-25,2.1791,2.1656,2.1906,1.9975,1.22M,0.87%
2018-05-25,2.1603,2.13,2.2855,2.0529,1.39M,1.46%
2018-04-25,2.1292,2.021,2.1476,1.9363,1.16M,5.52%
2018-03-25,2.0179,1.9264,2.0463,1.8566,1.09M,14.80%
2018-02-25,1.7577,1.8947,1.9099,1.6519,1.17M,-7.85%
2018-01-25,1.9075,1.793,1.953,1.7588,1.14M,6.02%
2017-12-25,1.7992,1.7321,1.8099,1.6438,1.08M,4.10%
2017-11-25,1.7284,1.7489,1.8402,1.7121,1.23M,-2.88%
2017-10-25,1.7796,1.5875,1.7841,1.5366,1.13M,10.77%
2017-09-25,1.6065,1.7744,1.7832,1.6001,1.32M,-24.93%
2017-08-25,2.1399,1.6777,2.1705,1.5374,1.42M,25.45%
2017-07-25,1.7058,1.5135,1.7101,1.473,1.10M,12.58%
2017-06-25,1.5152,1.6051,1.6225,1.3955,1.28M,-6.02%
2017-05-25,1.6122,1.5481,1.675,1.45,1.25M,4.15%
2017-04-25,1.548,1.7007,1.771,1.5382,946.86K,-8.95%
2017-03-25,1.7001,1.7101,1.7257,1.5623,1.19M,12.44%
2017-02-25,1.512,1.5565,1.6134,1.465,1.19M,-0.89%
2017-01-25,1.5256,1.674,1.7095,1.4991,955.32K,-8.38%
2016-12-25,1.6651,1.4761,1.7038,1.4732,931.60K,11.69%
2016-11-25,1.4908,1.44,1.6351,1.2681,1.23M,2.85%
2016-10-25,1.4495,1.459,1.537,1.4308,1.05M,-2.55%
2016-09-25,1.4874,1.3375,1.4942,1.2668,1.34M,5.33%
2016-08-25,1.4122,1.3135,1.5257,1.2817,1.28M,6.90%
2016-07-25,1.321,1.5025,1.5253,1.276,896.12K,-12.02%
2016-06-25,1.5014,1.596,1.6452,1.4589,1.13M,-7.03%
2016-05-25,1.6149,1.598,1.6664,1.4382,1.05M,1.90%
2016-04-25,1.5848,1.4435,1.6041,1.3582,942.30K,11.10%
2016-03-25,1.4265,1.3207,1.5134,1.2752,937.85K,35.90%
2016-02-25,1.0497,1.124,1.1311,0.8975,993.86K,-4.84%
2016-01-25,1.1031,1.2751,1.3379,0.9924,885.94K,-12.94%
2015-12-25,1.2671,1.3158,1.3867,1.169,1.12M,-6.74%
2015-11-25,1.3587,1.3693,1.4714,1.2024,983.74K,-3.30%
2015-10-25,1.405,1.371,1.4488,1.2484,917.46K,1.12%
2015-09-25,1.3894,1.4633,1.4868,1.3,898.18K,-15.30%
2015-08-25,1.6404,1.767,1.7725,1.35,992.62K,-10.90%
2015-07-25,1.841,2.0451,2.0592,1.7809,1.05M,-11.90%
2015-06-25,2.0896,2.0627,2.1858,1.953,1.17M,0.18%
2015-05-25,2.0858,2.0519,2.0969,1.9363,920.97K,1.76%
2015-04-25,2.0497,1.7745,2.0556,1.7345,993.52K,15.15%
2015-03-25,1.78,1.9779,1.9779,1.6925,914.11K,0.70%
