Date,Price,Open,High,Low,Vol.,Change %
2019-06-25,1420.45,1310.3,1442.15,1310.3,1.74K,8.78%
2019-05-25,1305.8,1285.2,1306.4,1267.3,5.35M,1.56%
2019-04-25,1285.7,1297.2,1314.7,1267.9,4.90M,-0.99%
2019-03-25,1298.5,1322.0,1330.8,1287.5,1.70M,-1.83%
2019-02-25,1322.7,1332.1,1356.0,1311.3,110.39K,-0.67%
2019-01-25,1331.6,1297.2,1337.2,1288.3,117.56K,2.89%
2018-12-25,1294.2,1242.5,1298.9,1239.4,42.91K,4.55%
2018-11-25,1237.9,1234.8,1257.4,1215.0,65.42K,0.40%
2018-10-25,1233.0,1212.9,1264.0,1205.0,25.94K,1.63%
2018-09-25,1213.2,1220.0,1235.2,1202.0,17.30K,-0.83%
2018-08-25,1223.4,1249.3,1249.3,1189.3,9.04K,-2.20%
2018-07-25,1250.9,1279.8,1295.5,1241.6,8.11K,-2.62%
2018-06-25,1284.6,1334.5,1340.9,1277.5,5.37K,-3.87%
2018-05-25,1336.3,1355.2,1363.5,1319.5,3.69K,-1.57%
2018-04-25,1357.6,1386.0,1393.2,1351.0,2.69K,-0.53%
2018-03-25,1364.9,1351.7,1399.2,1349.6,3.16K,0.29%
2018-02-25,1361.0,1383.5,1393.4,1351.8,1.80K,-1.59%
2018-01-25,1383.0,1353.2,1410.3,1352.0,1.09K,2.64%
2017-12-25,1347.4,1293.2,1347.5,1286.0,0.56K,2.54%
2017-11-25,1314.0,1333.7,1333.7,1333.7,0.20K,0.50%
2017-10-25,1307.5,1341.0,1341.9,1341.0,0.03K,-1.01%
2017-09-25,1320.9,1366.0,1391.1,1318.0,0.70K,-2.47%
2017-08-25,1354.3,1309.0,1351.5,1309.0,0.20K,3.71%
2017-07-25,1305.8,1279.4,1280.0,1254.2,0.00K,1.92%
2017-06-25,1281.2,1308.9,1315.0,1290.0,0.10K,-2.53%
2017-05-25,1314.4,1290.1,1290.1,1290.1,0.05K,0.18%
2017-04-25,1312.0,1312.0,1312.0,1312.0,0.10K,1.30%
