Date,Price,Open,High,Low,Vol.,Change %
1980-01-02,0.8205,0.865,0.87,0.82,0.12K,"820,400.04%"
1980-01-03,0.827,0.8125,0.8275,0.8,0.15K,0.79%
1980-01-04,0.85,0.836,0.8525,0.8275,0.08K,2.78%
1980-01-07,0.8275,0.8425,0.8425,0.826,0.06K,-2.65%
1980-01-08,0.7855,0.8187,0.82,0.7855,0.19K,-5.08%
1980-01-09,0.7915,0.77,0.795,0.77,0.06K,0.76%
1980-01-10,0.7975,0.8,0.82,0.79,0.23K,0.76%
1980-01-11,0.776,0.7825,0.7901,0.77,0.11K,-2.70%
1980-01-14,0.7575,0.76,0.765,0.751,0.11K,-2.38%
1980-01-15,0.75,0.7512,0.7595,0.745,0.07K,-0.99%
1980-01-16,0.73,0.74,0.74,0.73,0.08K,-2.67%
1980-01-17,0.73,0.7412,0.7425,0.73,0.07K,0.00%
1980-01-18,0.7275,0.7362,0.7375,0.725,0.09K,-0.34%
1980-01-21,0.7212,0.725,0.725,0.717,0.04K,-0.87%
1980-01-22,0.75,0.7326,0.754,0.7325,0.18K,3.99%
1980-01-23,0.754,0.775,0.79,0.745,0.13K,0.53%
1980-01-24,0.754,0.746,0.755,0.746,0.02K,0.00%
1980-01-25,0.751,0.7575,0.7575,0.75,0.11K,-0.40%
1980-01-28,0.7515,0.7575,0.7575,0.751,0.23K,0.07%
1980-01-29,0.765,0.7525,0.765,0.7525,0.09K,1.80%
1980-01-30,0.77,0.775,0.785,0.775,0.15K,0.65%
1980-01-31,0.7825,0.795,0.795,0.7726,0.07K,1.62%
1980-02-01,0.8128,0.8185,0.8185,0.811,0.09K,3.87%
1980-02-04,0.806,0.8175,0.819,0.7925,0.29K,-0.84%
1980-02-05,0.802,0.8,0.807,0.7951,0.14K,-0.50%
1980-02-06,0.7795,0.798,0.798,0.775,0.15K,-2.81%
1980-02-07,0.78,0.779,0.78,0.7725,0.14K,0.06%
1980-02-08,0.7625,0.7755,0.7755,0.759,0.12K,-2.24%
1980-02-11,0.7655,0.77,0.772,0.765,0.08K,0.39%
1980-02-12,0.752,0.761,0.761,0.75,0.09K,-1.76%
1980-02-13,0.756,0.7475,0.7525,0.741,0.08K,0.53%
1980-02-14,0.7423,0.745,0.7475,0.742,0.06K,-1.81%
1980-02-15,0.747,0.7475,0.7485,0.744,0.04K,0.63%
1980-02-19,0.733,0.745,0.745,0.727,0.14K,-1.87%
1980-02-20,0.7315,0.73,0.735,0.726,0.08K,-0.20%
1980-02-21,0.7445,0.7385,0.745,0.7325,0.09K,1.78%
1980-02-22,0.7376,0.74,0.74,0.735,0.05K,-0.93%
1980-02-25,0.74,0.74,0.75,0.7375,0.07K,0.33%
1980-02-26,0.735,0.7425,0.7425,0.7325,0.04K,-0.68%
1980-02-27,0.7375,0.7325,0.7425,0.7325,0.11K,0.34%
1980-02-28,0.738,0.74,0.742,0.7325,0.08K,0.07%
1980-02-29,0.73,0.7325,0.735,0.73,0.06K,-1.08%
1980-03-03,0.7427,0.741,0.745,0.741,0.02K,1.74%
1980-03-04,0.747,0.7485,0.7485,0.745,0.01K,0.58%
1980-03-05,0.748,0.745,0.748,0.7412,0.03K,0.13%
1980-03-06,0.747,0.7475,0.76,0.745,0.04K,-0.13%
1980-03-07,0.74,0.7415,0.7415,0.73,0.11K,-0.94%
1980-03-10,0.7355,0.7375,0.7375,0.735,0.05K,-0.61%
1980-03-11,0.725,0.736,0.737,0.7225,0.10K,-1.43%
1980-03-12,0.7325,0.725,0.735,0.725,0.03K,1.03%
1980-03-13,0.7415,0.74,0.755,0.7335,0.02K,1.23%
1980-03-14,0.751,0.7475,0.7525,0.7425,0.05K,1.28%
1980-03-17,0.755,0.751,0.76,0.748,0.07K,0.53%
1980-03-18,0.7475,0.7475,0.7475,0.7475,0.02K,-0.99%
1980-03-19,0.7375,0.7405,0.7405,0.735,0.02K,-1.34%
1980-03-20,0.745,0.7425,0.745,0.74,0.05K,1.02%
1980-03-21,0.745,0.7475,0.7475,0.745,0.01K,0.00%
1980-03-24,0.745,0.745,0.745,0.745,0.01K,0.00%
1980-03-25,0.7475,0.745,0.7475,0.7449,0.04K,0.34%
1980-03-26,0.75,0.752,0.755,0.7475,0.06K,0.33%
1980-03-27,0.758,0.7537,0.7625,0.7525,0.05K,1.07%
1980-03-28,0.752,0.755,0.755,0.75,0.03K,-0.79%
1980-03-31,0.755,0.7575,0.765,0.75,0.09K,0.40%
1980-04-01,0.7625,0.76,0.7625,0.7585,0.02K,0.99%
1980-04-02,0.771,0.768,0.771,0.765,0.03K,1.11%
1980-04-03,0.785,0.7715,0.7875,0.7705,0.16K,1.82%
1980-04-07,0.777,0.79,0.79,0.775,0.10K,-1.02%
1980-04-08,0.781,0.779,0.785,0.777,0.05K,0.51%
1980-04-09,0.776,0.7817,0.7835,0.775,0.06K,-0.64%
1980-04-10,0.78,0.775,0.7825,0.7725,0.07K,0.52%
1980-04-11,0.78,0.7825,0.7825,0.78,0.08K,0.00%
1980-04-14,0.7705,0.7765,0.7765,0.7705,0.06K,-1.22%
1980-04-15,0.766,0.77,0.77,0.765,0.05K,-0.58%
1980-04-16,0.77,0.766,0.773,0.766,0.06K,0.52%
1980-04-17,0.775,0.7767,0.7785,0.775,0.03K,0.65%
1980-04-18,0.7769,0.7752,0.7755,0.775,0.03K,0.25%
1980-04-21,0.774,0.775,0.775,0.774,0.02K,-0.37%
1980-04-22,0.771,0.7745,0.775,0.771,0.04K,-0.39%
1980-04-23,0.771,0.77,0.783,0.77,0.10K,0.00%
1980-04-24,0.766,0.7667,0.7675,0.765,0.04K,-0.65%
1980-04-25,0.775,0.772,0.777,0.768,0.04K,1.17%
1980-04-28,0.77,0.77,0.7725,0.77,0.06K,-0.65%
1980-04-29,0.7705,0.77,0.7725,0.77,0.06K,0.06%
1980-04-30,0.778,0.77,0.7805,0.77,0.07K,0.97%
1980-05-01,0.78,0.78,0.78,0.7775,0.02K,0.26%
1980-05-02,0.78,0.7807,0.7815,0.7795,0.02K,0.00%
1980-05-05,0.7825,0.7815,0.7815,0.7815,0.00K,0.32%
1980-05-06,0.788,0.782,0.79,0.782,0.03K,0.70%
1980-05-07,0.786,0.7865,0.787,0.785,0.01K,-0.25%
1980-05-08,0.785,0.786,0.786,0.785,0.01K,-0.13%
1980-05-09,0.783,0.7852,0.7855,0.7825,0.01K,-0.25%
1980-05-12,0.782,0.7825,0.7825,0.782,0.00K,-0.13%
1980-05-13,0.7775,0.781,0.781,0.777,0.02K,-0.58%
1980-05-14,0.7855,0.778,0.7855,0.778,0.03K,1.03%
1980-05-15,0.783,0.783,0.783,0.783,-,-0.32%
1980-05-16,0.781,0.781,0.781,0.781,-,-0.26%
1980-05-19,0.783,0.7842,0.7845,0.783,0.01K,0.26%
1980-05-20,0.7865,0.785,0.7865,0.7845,0.04K,0.45%
1980-05-21,0.7845,0.789,0.791,0.781,0.03K,-0.25%
1980-05-22,0.7835,0.785,0.785,0.783,0.01K,-0.13%
1980-05-23,0.783,0.785,0.785,0.7825,0.01K,-0.06%
1980-05-27,0.7835,0.7835,0.7835,0.7825,0.03K,0.06%
1980-05-28,0.782,0.783,0.785,0.7825,0.03K,-0.19%
1980-05-29,0.7805,0.7825,0.7825,0.7775,0.01K,-0.19%
1980-05-30,0.78,0.78,0.78,0.779,0.04K,-0.06%
1980-06-02,0.7875,0.7895,0.7915,0.787,0.15K,0.96%
1980-06-03,0.7855,0.786,0.7875,0.786,0.04K,-0.25%
1980-06-04,0.7845,0.785,0.7855,0.7825,0.04K,-0.13%
1980-06-05,0.7775,0.7825,0.7825,0.77,0.05K,-0.89%
1980-06-06,0.7775,0.7755,0.7775,0.7725,0.04K,0.00%
1980-06-09,0.777,0.777,0.777,0.775,0.01K,-0.06%
1980-06-10,0.7735,0.777,0.777,0.773,0.03K,-0.45%
1980-06-11,0.776,0.775,0.7765,0.7735,0.06K,0.32%
1980-06-12,0.7725,0.777,0.777,0.77,0.06K,-0.45%
