Date,Price,Open,High,Low,Vol.,Change %
1980-01-02,43.17,41.55,43.17,41.55,-,3.60%
1980-01-03,42.92,43.25,43.67,42.55,-,-0.58%
1980-01-04,42.87,42.9,43.45,42.52,-,-0.12%
1980-01-07,41.37,41.37,41.37,41.37,-,-3.50%
1980-01-08,40.7,40.5,42.1,40.05,-,-1.62%
1980-01-09,40.97,40.8,41.2,40.35,-,0.66%
1980-01-10,41.87,41.05,42.0,41.05,-,2.20%
1980-01-11,40.45,41.8,41.85,40.4,-,-3.39%
1980-01-14,40.65,40.5,40.75,40.0,-,0.49%
1980-01-15,40.92,40.8,40.92,39.72,-,0.66%
1980-01-16,40.7,40.2,41.3,40.2,-,-0.54%
1980-01-17,40.2,40.9,41.0,39.5,-,-1.23%
1980-01-18,40.45,40.5,40.95,40.2,-,0.62%
1980-01-21,40.2,40.25,40.85,39.55,-,-0.62%
1980-01-22,41.1,40.55,41.2,39.6,-,2.24%
1980-01-23,40.6,40.8,40.92,40.15,-,-1.22%
1980-01-24,40.27,41.2,41.35,40.25,-,-0.81%
1980-01-25,40.1,40.6,41.1,40.0,-,-0.42%
1980-01-28,39.72,40.35,40.35,39.6,-,-0.95%
1980-01-29,40.15,39.55,40.17,39.25,-,1.08%
1980-01-30,39.92,40.2,40.52,39.82,-,-0.57%
1980-01-31,39.57,40.05,40.55,39.5,-,-0.88%
1980-02-01,38.87,39.5,39.6,38.85,-,-1.77%
1980-02-04,39.3,38.5,39.42,38.5,-,1.11%
1980-02-05,39.1,39.3,39.55,38.85,-,-0.51%
1980-02-06,39.27,39.35,39.35,39.25,-,0.43%
1980-02-07,39.22,39.2,39.5,39.0,-,-0.13%
1980-02-08,39.72,39.22,39.75,39.22,-,1.27%
1980-02-11,39.7,39.65,39.85,39.52,-,-0.05%
1980-02-12,39.12,39.5,39.65,39.05,-,-1.46%
1980-02-13,38.87,38.95,39.07,38.8,-,-0.64%
1980-02-14,38.9,38.9,38.97,38.6,-,0.08%
1980-02-15,38.4,39.05,39.05,38.35,-,-1.29%
1980-02-19,38.12,38.4,38.45,38.0,-,-0.73%
1980-02-20,38.35,38.35,38.5,38.2,-,0.60%
1980-02-21,37.4,37.2,37.6,36.77,-,-2.48%
1980-02-22,36.7,37.25,37.45,36.6,-,-1.87%
1980-02-25,36.67,36.55,36.97,36.52,-,-0.08%
1980-02-26,36.3,36.9,36.95,36.2,-,-1.01%
1980-02-27,36.82,36.2,36.95,36.12,-,1.43%
1980-02-28,37.37,37.3,37.6,36.8,-,1.49%
1980-02-29,36.85,37.25,37.27,36.67,-,-1.39%
1980-03-03,37.42,37.0,37.67,37.0,-,1.55%
1980-03-04,37.92,37.4,38.25,37.07,-,1.34%
1980-03-05,37.77,38.1,38.1,37.45,-,-0.40%
1980-03-06,37.32,37.7,37.77,37.15,-,-1.19%
1980-03-07,37.42,37.1,37.5,36.97,-,0.27%
1980-03-10,36.47,37.5,37.97,36.4,-,-2.54%
1980-03-11,36.02,36.5,36.7,35.8,-,-1.23%
1980-03-12,35.97,36.15,36.3,35.6,-,-0.14%
1980-03-13,36.07,36.05,36.35,35.7,-,0.28%
1980-03-14,36.2,36.0,36.37,35.8,-,0.36%
1980-03-17,35.6,36.0,36.0,35.55,-,-1.66%
1980-03-18,35.92,35.5,36.15,35.5,-,0.90%
1980-03-19,36.57,35.95,36.6,35.82,-,1.81%
1980-03-20,35.32,36.4,36.47,35.07,-,-3.42%
1980-03-21,33.82,34.25,34.3,33.82,-,-4.25%
1980-03-24,32.6,33.5,33.5,32.32,-,-3.61%
1980-03-25,32.37,32.8,32.8,31.7,-,-0.71%
1980-03-26,32.67,32.25,32.9,32.25,-,0.93%
1980-03-27,31.17,32.5,32.5,31.17,-,-4.59%
1980-03-28,29.67,30.6,31.15,29.67,-,-4.81%
1980-03-31,29.72,30.0,30.35,29.4,-,0.17%
1980-04-01,28.35,29.3,29.35,28.35,-,-4.61%
1980-04-02,27.95,27.95,28.15,27.15,-,-1.41%
1980-04-03,29.07,28.5,29.45,28.5,-,4.01%
1980-04-07,30.2,30.57,30.57,30.15,-,3.89%
1980-04-08,29.15,29.35,29.6,29.02,-,-3.48%
1980-04-09,29.82,29.2,29.95,28.85,-,2.30%
1980-04-10,29.62,30.0,30.1,29.3,-,-0.67%
1980-04-11,29.5,29.75,29.75,29.2,-,-0.41%
1980-04-14,29.62,29.0,29.62,28.6,-,0.41%
1980-04-15,29.42,29.4,29.75,29.2,-,-0.68%
1980-04-16,29.85,29.5,29.95,29.3,-,1.46%
1980-04-17,29.6,29.8,29.8,29.2,-,-0.84%
1980-04-18,30.3,29.55,30.5,29.55,-,2.36%
1980-04-21,35.12,34.4,35.12,34.25,-,15.91%
1980-04-22,34.75,35.4,35.4,34.35,-,-1.05%
