Date,Price,Open,High,Low,Vol.,Change %
1980-01-03,68.25,68.35,68.6,68.0,0.43K,0.15%
1980-01-04,67.27,68.2,68.35,67.2,0.76K,-1.44%
1980-01-07,65.77,65.77,65.77,65.77,0.46K,-2.23%
1980-01-08,65.47,65.15,66.7,65.15,0.58K,-0.46%
1980-01-09,65.8,65.52,66.35,65.5,0.46K,0.50%
1980-01-10,66.5,66.05,66.5,66.05,0.09K,1.06%
1980-01-11,65.87,66.3,66.85,65.8,0.06K,-0.95%
1980-01-14,65.4,66.0,66.02,65.25,0.08K,-0.71%
1980-01-15,65.5,65.6,65.65,65.3,0.08K,0.15%
1980-01-16,65.72,65.37,65.95,65.05,0.02K,0.34%
1980-01-17,64.92,66.0,66.0,64.6,0.04K,-1.22%
1980-01-18,64.5,64.5,64.95,64.1,0.02K,-0.65%
1980-01-21,62.95,62.95,62.95,62.95,11.66K,-2.40%
1980-01-22,64.45,63.0,64.45,62.7,13.73K,2.38%
1980-01-23,63.5,64.4,64.45,63.1,12.00K,-1.47%
1980-01-24,63.77,63.7,64.5,63.35,12.94K,0.43%
1980-01-25,64.42,64.6,65.27,64.35,11.98K,1.02%
1980-01-28,64.87,64.9,65.4,64.45,12.47K,0.70%
1980-01-29,64.82,64.4,64.95,64.3,9.21K,-0.08%
1980-01-30,66.25,64.75,66.32,64.6,15.25K,2.21%
1980-01-31,65.6,66.5,67.1,65.5,10.83K,-0.98%
1980-02-01,65.47,65.2,65.7,65.02,7.85K,-0.20%
1980-02-04,66.82,65.55,66.9,65.47,5.63K,2.06%
1980-02-05,66.57,67.05,67.17,66.27,5.01K,-0.37%
1980-02-06,68.07,67.6,68.07,67.15,4.56K,2.25%
1980-02-07,68.22,67.95,68.7,67.8,5.22K,0.22%
1980-02-08,68.95,68.75,69.15,68.55,3.91K,1.07%
1980-02-11,69.85,69.4,70.1,69.25,5.24K,1.31%
1980-02-12,69.47,69.1,69.95,69.0,3.61K,-0.54%
1980-02-13,69.45,69.5,69.67,69.1,3.48K,-0.03%
1980-02-14,69.1,69.4,69.85,68.6,2.46K,-0.50%
1980-02-15,68.52,69.2,69.2,68.4,1.03K,-0.84%
1980-02-19,68.8,68.1,68.9,68.1,1.71K,0.41%
1980-02-20,69.62,68.9,69.8,68.9,1.72K,1.19%
1980-02-21,71.85,71.25,71.9,70.8,16.28K,3.20%
1980-02-22,70.35,71.6,72.15,70.35,18.56K,-2.09%
1980-02-25,69.77,69.9,70.25,69.62,13.09K,-0.82%
1980-02-26,69.47,70.05,70.12,69.4,12.60K,-0.43%
1980-02-27,68.9,69.4,69.62,68.8,13.55K,-0.82%
1980-02-28,69.37,69.0,69.9,68.8,11.01K,0.68%
1980-02-29,68.57,69.0,69.35,68.22,13.64K,-1.15%
1980-03-03,69.92,69.25,69.97,68.95,11.79K,1.97%
1980-03-04,70.4,69.75,70.9,69.55,14.31K,0.69%
1980-03-05,70.35,70.35,70.62,69.95,9.25K,-0.07%
1980-03-06,70.02,70.2,70.5,69.7,10.91K,-0.47%
1980-03-07,70.3,70.05,70.37,69.37,10.69K,0.40%
1980-03-10,69.1,70.6,71.0,68.85,14.45K,-1.71%
1980-03-11,68.65,68.8,69.55,68.55,14.48K,-0.65%
1980-03-12,68.45,68.8,69.17,68.12,10.65K,-0.29%
1980-03-13,69.0,68.7,69.15,68.05,7.36K,0.80%
1980-03-14,68.55,68.6,68.82,67.75,10.59K,-0.65%
1980-03-17,67.57,68.37,68.6,67.12,8.13K,-1.43%
1980-03-18,68.12,67.25,68.25,67.05,9.77K,0.81%
1980-03-19,67.87,67.7,68.35,67.4,9.15K,-0.37%
1980-03-20,67.5,67.65,67.9,67.42,5.22K,-0.55%
1980-03-21,66.0,66.35,66.5,66.0,6.80K,-2.22%
1980-03-24,64.82,65.5,65.85,64.5,8.43K,-1.79%
1980-03-25,65.1,65.15,65.4,63.95,13.08K,0.43%
1980-03-26,65.22,64.95,65.8,64.67,8.46K,0.18%
1980-03-27,63.72,65.12,65.45,63.72,9.40K,-2.30%
1980-03-28,62.7,63.95,64.15,62.22,11.54K,-1.60%
1980-03-31,62.05,62.85,63.25,61.5,9.46K,-1.04%
1980-04-01,60.55,61.3,61.4,60.55,3.52K,-2.42%
1980-04-02,59.05,59.05,59.05,59.05,1.57K,-2.48%
1980-04-03,60.55,58.7,60.55,58.5,5.11K,2.54%
1980-04-07,62.05,62.05,62.05,62.05,0.55K,2.48%
1980-04-08,62.75,63.55,63.55,62.5,3.86K,1.13%
1980-04-09,62.15,62.25,62.45,61.25,3.46K,-0.96%
1980-04-10,63.65,63.1,63.65,62.6,2.23K,2.41%
1980-04-11,65.15,63.97,65.15,63.95,2.12K,2.36%
1980-04-14,65.77,64.95,65.92,64.6,1.78K,0.95%
1980-04-15,65.15,64.87,65.65,64.77,2.29K,-0.94%
1980-04-16,66.15,65.57,66.4,65.45,1.98K,1.53%
1980-04-17,65.05,65.62,65.95,64.9,0.64K,-1.66%
1980-04-18,63.87,65.0,65.1,63.8,0.48K,-1.81%
1980-04-21,64.32,63.25,64.32,63.15,11.14K,0.70%
1980-04-22,65.0,64.45,65.1,63.8,17.91K,1.06%
1980-04-23,66.4,64.67,66.5,64.6,20.92K,2.15%
1980-04-24,66.55,66.87,67.2,66.2,18.24K,0.23%
1980-04-25,66.45,66.85,67.0,65.25,12.07K,-0.15%
1980-04-28,66.37,66.05,66.5,65.35,13.03K,-0.12%
1980-04-29,65.75,66.3,66.67,65.6,12.05K,-0.93%
1980-04-30,64.82,65.35,65.8,64.7,14.23K,-1.41%
