Date,Price,Open,High,Low,Vol.,Change %
1990-04-04,1.62,1.6,1.65,1.599,0.08K,-0.92%
1990-04-05,1.615,1.615,1.635,1.61,0.06K,-0.31%
1990-04-06,1.625,1.615,1.635,1.61,0.06K,0.62%
1990-04-09,1.6369999999999998,1.6119999999999999,1.64,1.6119999999999999,0.04K,0.74%
1990-04-10,1.62,1.6269999999999998,1.63,1.6130000000000002,0.03K,-1.04%
1990-04-11,1.605,1.61,1.61,1.595,0.03K,-0.93%
1990-04-12,1.598,1.595,1.6,1.59,0.04K,-0.44%
1990-04-16,1.598,1.597,1.6,1.5919999999999999,0.02K,0.00%
1990-04-17,1.585,1.594,1.6,1.585,0.03K,-0.81%
1990-04-18,1.5830000000000002,1.5830000000000002,1.587,1.5830000000000002,0.01K,-0.13%
1990-04-19,1.57,1.581,1.581,1.55,0.06K,-0.82%
1990-04-20,1.5430000000000001,1.56,1.56,1.54,0.12K,-1.72%
1990-04-23,1.555,1.525,1.56,1.525,0.03K,0.78%
1990-04-24,1.555,1.54,1.556,1.54,0.05K,0.00%
1990-04-25,1.5519999999999998,1.56,1.57,1.5519999999999998,0.02K,-0.19%
1990-04-26,1.558,1.555,1.564,1.555,0.03K,0.39%
1990-04-27,1.555,1.56,1.56,1.55,0.02K,-0.19%
1990-04-30,1.565,1.565,1.57,1.565,0.01K,0.64%
1990-05-01,1.565,1.575,1.575,1.565,0.02K,0.00%
1990-05-02,1.575,1.575,1.58,1.575,0.02K,0.64%
1990-05-03,1.575,1.575,1.575,1.575,0.02K,0.00%
1990-05-04,1.575,1.57,1.575,1.57,0.01K,0.00%
1990-05-07,1.58,1.58,1.585,1.575,0.03K,0.32%
1990-05-08,1.5830000000000002,1.585,1.589,1.5819999999999999,0.05K,0.19%
1990-05-09,1.5759999999999998,1.587,1.587,1.5759999999999998,0.03K,-0.44%
1990-05-10,1.574,1.58,1.58,1.574,0.02K,-0.13%
1990-05-11,1.565,1.571,1.575,1.565,0.05K,-0.57%
1990-05-14,1.556,1.5590000000000002,1.5590000000000002,1.555,0.01K,-0.58%
1990-05-15,1.5519999999999998,1.555,1.555,1.5519999999999998,0.01K,-0.26%
1990-05-16,1.57,1.5590000000000002,1.575,1.5590000000000002,0.05K,1.16%
1990-05-17,1.57,1.57,1.575,1.57,0.05K,0.00%
1990-05-18,1.554,1.565,1.565,1.54,0.05K,-1.02%
1990-05-21,1.557,1.548,1.56,1.545,0.09K,0.19%
1990-05-22,1.6130000000000002,1.61,1.62,1.605,0.09K,3.60%
1990-05-23,1.6019999999999999,1.6030000000000002,1.6059999999999999,1.597,0.14K,-0.68%
1990-05-24,1.6,1.6019999999999999,1.6019999999999999,1.595,0.04K,-0.12%
1990-05-25,1.5919999999999999,1.595,1.6,1.59,0.06K,-0.50%
1990-05-29,1.585,1.585,1.588,1.585,0.07K,-0.44%
1990-05-30,1.585,1.585,1.595,1.585,0.09K,0.00%
1990-05-31,1.59,1.5859999999999999,1.604,1.585,0.11K,0.32%
1990-06-01,1.585,1.587,1.59,1.585,0.05K,-0.31%
1990-06-04,1.5819999999999999,1.585,1.585,1.57,0.30K,-0.19%
1990-06-05,1.567,1.57,1.575,1.567,0.13K,-0.95%
1990-06-06,1.56,1.5619999999999998,1.564,1.556,0.11K,-0.45%
1990-06-07,1.5730000000000002,1.565,1.585,1.565,0.15K,0.83%
1990-06-08,1.575,1.565,1.58,1.564,0.10K,0.13%
1990-06-11,1.5719999999999998,1.5730000000000002,1.575,1.565,0.11K,-0.19%
1990-06-12,1.558,1.57,1.574,1.5530000000000002,0.25K,-0.89%
1990-06-13,1.545,1.55,1.55,1.5430000000000001,0.21K,-0.83%
1990-06-14,1.547,1.54,1.55,1.54,0.13K,0.13%
1990-06-15,1.547,1.54,1.55,1.54,0.05K,0.00%
1990-06-18,1.54,1.535,1.544,1.535,0.03K,-0.45%
1990-06-19,1.536,1.53,1.538,1.53,0.10K,-0.26%
1990-06-20,1.51,1.527,1.5330000000000001,1.505,0.23K,-1.69%
1990-06-21,1.528,1.558,1.56,1.528,-,1.19%
1990-06-22,1.5219999999999998,1.515,1.524,1.5119999999999998,0.16K,-0.39%
1990-06-25,1.516,1.51,1.52,1.506,0.04K,-0.39%
1990-06-26,1.507,1.51,1.515,1.505,0.15K,-0.59%
1990-06-27,1.5,1.505,1.505,1.495,0.11K,-0.46%
1990-06-28,1.515,1.496,1.52,1.496,0.14K,1.00%
