Date,Price,Open,High,Low,Vol.,Change %
2008-07-15,432.0,439.0,441.0,430.0,0.07K,-1.14%
2008-07-16,428.0,433.5,433.5,418.5,0.13K,-0.93%
2008-07-17,415.0,429.75,429.75,415.0,0.23K,-3.04%
2008-07-18,400.25,415.0,420.5,400.25,0.14K,-3.55%
2008-07-21,386.0,401.5,401.5,385.75,0.24K,-3.56%
2008-07-22,387.0,385.0,389.75,382.0,0.24K,0.26%
2008-07-23,385.0,387.0,394.5,379.25,0.20K,-0.52%
2008-07-24,390.0,385.0,393.5,379.25,0.44K,1.30%
2008-07-25,384.0,389.0,396.0,384.0,0.07K,-1.54%
2008-07-28,389.0,388.0,397.0,385.0,0.14K,1.30%
2008-07-29,386.0,389.0,392.0,382.25,0.25K,-0.77%
2008-07-30,385.0,388.0,388.0,383.5,1.15K,-0.26%
2008-07-31,377.5,385.5,386.25,375.5,1.24K,-1.95%
2008-08-01,368.0,381.0,382.25,368.0,1.22K,-2.52%
2008-08-04,359.0,366.75,371.0,352.25,0.36K,-2.45%
2008-08-05,359.75,359.0,369.25,351.5,0.28K,0.21%
2008-08-06,357.0,359.5,363.0,351.75,0.38K,-0.76%
2008-08-07,360.0,359.25,370.0,356.75,0.31K,0.84%
2008-08-08,356.0,364.0,364.0,353.75,0.34K,-1.11%
2008-08-11,356.0,359.0,365.25,355.25,0.43K,0.00%
2008-08-12,357.0,360.5,360.5,354.5,0.34K,0.28%
2008-08-13,371.75,341.0,375.0,341.0,0.19K,4.13%
2008-08-14,381.5,382.75,389.75,372.0,0.40K,2.62%
2008-08-15,373.5,378.0,378.0,363.5,0.07K,-2.10%
2008-08-18,376.0,370.0,388.25,369.5,0.07K,0.67%
2008-08-19,369.5,376.5,378.5,368.0,0.25K,-1.73%
2008-08-20,368.0,375.5,376.25,364.5,0.18K,-0.41%
2008-08-21,376.5,366.0,381.0,366.0,0.04K,2.31%
2008-08-22,365.0,376.5,376.5,363.75,0.03K,-3.05%
2008-08-25,364.0,374.75,375.5,365.0,0.28K,-0.27%
2008-08-26,355.0,365.0,365.0,347.5,0.27K,-2.47%
2008-08-27,350.5,360.0,360.0,346.75,0.25K,-1.27%
2008-08-28,342.0,350.0,350.0,336.25,0.30K,-2.43%
2008-08-29,345.25,351.0,351.0,340.0,0.02K,0.95%
2008-09-02,344.0,336.0,342.0,336.0,0.00K,-0.36%
2008-09-04,328.0,332.75,332.75,332.5,0.00K,-4.65%
2008-09-15,339.75,334.5,343.5,328.0,0.69K,3.58%
2008-09-16,326.25,343.0,344.0,324.0,1.11K,-3.97%
2008-09-17,333.0,327.0,337.0,326.25,0.73K,2.07%
2008-09-18,325.0,335.75,336.25,323.5,0.83K,-2.40%
2008-09-19,331.75,325.5,336.0,325.0,0.63K,2.08%
2008-09-22,341.0,333.75,341.75,331.25,0.64K,2.79%
2008-09-23,343.0,342.5,350.0,338.25,0.49K,0.59%
2008-09-24,334.0,344.75,349.5,334.0,0.71K,-2.62%
2008-09-25,335.0,334.0,340.25,333.0,0.64K,0.30%
2008-09-26,331.25,335.25,337.0,326.0,0.92K,-1.12%
2008-09-29,318.0,330.5,330.5,313.5,0.96K,-4.00%
2008-09-30,316.0,316.0,321.0,315.25,0.62K,-0.63%
2008-10-01,321.5,317.75,324.75,316.25,0.72K,1.74%
2008-10-02,310.0,323.25,323.25,308.75,0.89K,-3.58%
2008-10-03,314.0,310.0,320.0,309.75,0.66K,1.29%
2008-10-06,294.0,313.5,313.5,294.0,0.88K,-6.37%
2008-10-07,293.75,294.5,309.0,292.0,0.74K,-0.09%
2008-10-08,293.0,294.0,302.5,289.25,0.75K,-0.26%
2008-10-09,297.5,294.75,300.25,294.0,0.48K,1.54%
2008-10-10,278.5,293.0,293.75,278.5,0.99K,-6.39%
2008-10-13,293.0,282.75,298.5,281.25,0.53K,5.21%
2008-10-14,292.0,299.25,309.0,292.0,0.91K,-0.34%
2008-10-15,284.0,294.75,294.75,283.25,0.59K,-2.74%
2008-10-16,280.5,283.5,286.25,271.0,0.43K,-1.23%
2008-10-17,282.0,284.0,293.0,276.0,0.70K,0.53%
2008-10-20,288.0,285.25,295.5,284.25,0.39K,2.13%
2008-10-21,277.0,289.5,290.0,276.0,0.84K,-3.82%
2008-10-22,265.0,278.5,281.0,259.75,0.71K,-4.33%
2008-10-23,255.0,265.0,267.75,251.5,1.75K,-3.77%
2008-10-24,250.0,259.75,262.75,250.0,1.18K,-1.96%
2008-10-27,238.0,254.25,265.0,233.75,1.28K,-4.80%
2008-10-28,219.5,240.75,247.0,219.0,1.61K,-7.77%
2008-10-29,239.5,226.25,239.5,222.25,0.83K,9.11%
2008-10-30,239.5,243.0,269.5,237.0,1.63K,0.00%
2008-10-31,231.5,240.25,241.75,229.25,1.45K,-3.34%
2008-11-03,236.0,237.5,246.75,229.5,1.49K,1.94%
2008-11-04,245.0,236.75,246.25,236.75,0.56K,3.81%
2008-11-05,238.0,248.75,250.0,235.5,0.71K,-2.86%
2008-11-06,238.0,238.0,243.0,232.25,0.69K,0.00%
2008-11-07,234.5,238.5,246.0,232.75,0.67K,-1.47%
2008-11-10,236.0,238.75,247.5,232.5,0.61K,0.64%
2008-11-11,236.0,238.5,239.0,226.0,0.50K,0.00%
2008-11-12,230.0,238.5,238.75,226.5,0.51K,-2.54%
2008-11-13,226.0,230.0,233.75,221.0,0.81K,-1.74%
2008-11-14,215.5,233.25,233.25,214.75,0.80K,-4.65%
2008-11-17,215.5,217.25,219.0,205.25,0.69K,0.00%
2008-11-18,215.5,215.25,218.0,213.0,0.66K,0.00%
2008-11-19,216.25,217.75,220.75,215.75,0.32K,0.35%
2008-11-20,206.25,216.0,219.0,204.5,0.29K,-4.62%
2008-11-21,200.75,205.0,205.0,191.0,0.40K,-2.67%
2008-11-24,205.5,206.25,219.0,205.5,0.56K,2.37%
2008-11-25,203.25,207.5,213.25,202.0,0.72K,-1.09%
2008-11-26,199.5,204.25,205.0,195.75,0.95K,-1.85%
2008-11-28,201.5,201.0,201.75,197.75,0.04K,1.00%
2008-12-01,202.0,194.5,218.25,187.0,0.13K,0.25%
2008-12-02,206.5,201.75,212.75,200.0,0.03K,2.23%
2008-12-03,205.5,210.0,210.0,208.0,0.05K,-0.48%
2008-12-04,198.5,203.0,205.5,200.5,0.03K,-3.41%
2008-12-05,184.5,198.75,198.75,184.5,0.01K,-7.05%
2008-12-08,193.5,194.5,197.0,192.0,0.01K,4.88%
2008-12-09,193.5,193.0,193.0,193.0,0.02K,0.00%
2008-12-10,195.5,197.5,197.5,193.25,0.00K,1.03%
2008-12-11,196.5,197.0,197.0,197.0,0.05K,0.51%
2008-12-15,216.0,216.5,219.5,214.0,0.62K,9.92%
2008-12-16,226.0,216.0,230.0,213.25,0.72K,4.63%
