Date,Price,Open,High,Low,Vol.,Change %
2007-02-28,351.1,346.6,353.0,345.0,0.13K,0.00%
2007-03-01,348.8,351.1,353.1,347.0,0.46K,-0.66%
2007-03-02,346.1,345.75,348.0,345.75,0.05K,-0.77%
2007-03-05,342.5,340.5,345.0,340.5,0.00K,-1.04%
2007-03-06,347.1,342.85,342.85,340.0,0.04K,1.34%
2007-03-09,352.0,347.1,347.1,347.1,0.00K,1.41%
2007-03-15,347.4,348.9,348.9,348.9,0.00K,-1.31%
2007-03-21,348.0,351.95,351.95,351.5,0.01K,0.17%
2007-05-29,366.95,367.65,371.0,365.5,4.18K,5.45%
2007-05-30,366.05,365.0,367.0,362.0,2.84K,-0.25%
2007-05-31,368.0,364.5,369.3,364.5,1.03K,0.53%
2007-06-01,372.2,370.0,372.3,369.1,0.03K,1.14%
2007-06-04,372.25,372.2,372.6,369.35,0.02K,0.01%
2007-06-05,366.35,371.0,371.0,365.8,0.01K,-1.58%
2007-06-07,367.45,369.65,369.65,369.65,0.00K,0.30%
2007-06-08,365.6,366.1,366.4,366.1,0.01K,-0.50%
2007-06-11,368.0,366.1,366.1,366.1,0.00K,0.66%
2007-06-12,368.1,367.45,368.35,365.65,0.03K,0.03%
2007-06-13,366.4,365.65,365.65,363.7,0.02K,-0.46%
2007-06-14,367.25,367.5,368.15,367.5,0.01K,0.23%
2007-06-15,369.25,370.95,371.0,370.95,0.01K,0.54%
2007-06-18,370.75,371.0,371.0,371.0,0.01K,0.41%
2007-08-30,330.7,330.0,330.8,325.15,1.67K,-10.80%
2007-08-31,333.5,329.75,334.3,329.75,0.15K,0.85%
2007-09-05,332.6,335.0,336.0,331.0,0.04K,-0.27%
2007-09-07,336.55,337.8,337.8,334.15,0.00K,1.19%
2007-09-12,335.7,335.4,335.4,335.4,0.02K,-0.25%
2007-09-14,330.0,330.5,331.0,330.5,0.01K,-1.70%
2007-09-17,331.35,330.65,330.7,330.65,0.01K,0.41%
2007-09-20,340.6,338.0,338.0,338.0,0.00K,2.79%
2007-11-28,346.25,345.0,353.0,340.85,1.92K,1.66%
2007-11-29,344.85,343.65,346.0,338.0,1.56K,-0.40%
2007-11-30,348.65,342.0,346.5,342.0,0.08K,1.10%
2007-12-03,346.95,343.65,344.0,343.65,0.00K,-0.49%
2007-12-04,348.9,345.85,345.85,343.2,0.05K,0.56%
2007-12-11,347.4,343.15,343.15,343.15,0.01K,-0.43%
2007-12-14,353.5,345.0,345.0,345.0,0.00K,1.76%
2007-12-19,358.0,356.9,356.95,356.45,0.04K,1.27%
2007-12-21,357.65,354.8,358.75,354.8,0.09K,-0.10%
2007-12-24,360.0,359.5,359.5,358.6,0.25K,0.66%
2008-02-28,585.25,552.55,579.45,537.1,1.10K,62.57%
2008-02-29,571.95,581.95,585.15,552.0,0.34K,-2.27%
2008-03-03,581.2,574.85,584.95,574.85,0.09K,1.62%
2008-03-04,565.45,579.45,595.1,545.7,0.07K,-2.71%
2008-03-05,559.55,550.5,553.95,522.25,0.05K,-1.04%
2008-03-06,525.3,552.0,556.4,514.1,0.03K,-6.12%
2008-03-07,491.8,498.0,498.0,490.0,0.03K,-6.38%
2008-03-10,480.95,467.9,471.0,464.65,0.01K,-2.21%
2008-03-13,513.2,511.0,511.0,511.0,0.00K,6.71%
2008-03-17,482.6,473.0,473.0,467.0,0.00K,-5.96%
2008-03-20,444.75,453.0,453.0,437.7,0.00K,-7.84%
2008-03-26,458.4,457.2,457.2,457.2,0.00K,3.07%
