Date,Price,Open,High,Low,Vol.,Change %
2019-06-25,811.45,793.0,833.2,790.25,-,2.35%
2019-05-25,792.8,891.4,892.4,788.4,-,-11.06%
2019-04-25,891.4,856.4,920.4,847.8,-,4.10%
2019-03-25,856.3,874.15,877.1,809.6,-,-2.04%
2019-02-25,874.1,823.7,879.8,780.9,-,6.21%
2019-01-25,823.0,801.15,836.5,788.1,-,2.70%
2018-12-25,801.4,802.1,816.5,778.7,-,0.05%
2018-11-25,801.0,841.8,881.5,799.2,-,-4.81%
2018-10-25,841.5,818.6,854.4,811.4,-,2.84%
2018-09-25,818.3,786.3,839.0,765.6,-,3.87%
2018-08-25,787.8,839.4,843.8,756.0,-,-6.15%
2018-07-25,839.4,856.7,862.1,794.7,-,-2.04%
2018-06-25,856.9,909.8,914.5,846.4,-,-5.81%
2018-05-25,909.8,906.4,930.5,877.8,-,0.38%
2018-04-25,906.4,936.9,957.0,903.8,-,-3.22%
2018-03-25,936.6,984.8,985.3,931.9,-,-4.89%
2018-02-25,984.8,1005.2,1016.5,960.4,-,-2.06%
2018-01-25,1005.5,936.2,1033.3,934.5,-,7.59%
2017-12-25,934.6,943.85,946.2,872.65,-,-0.97%
2017-11-25,943.8,921.15,959.2,918.1,-,2.46%
2017-10-25,921.1,914.65,950.85,906.8,-,0.63%
2017-09-25,915.3,1001.55,1026.3,914.55,-,-8.58%
2017-08-25,1001.25,941.5,1010.4,940.95,-,6.33%
2017-07-25,941.65,928.7,946.5,891.85,-,1.50%
2017-06-25,927.7,949.8,969.4,911.75,-,-2.34%
2017-05-25,949.95,950.55,967.75,894.85,-,-0.06%
2017-04-25,950.5,951.65,993.0,938.65,-,-0.30%
2017-03-25,953.4,1022.2,1030.3,932.95,-,-6.74%
2017-02-25,1022.3,999.05,1047.7,988.15,-,2.31%
2017-01-25,999.25,906.55,1008.75,903.25,-,10.34%
2016-12-25,905.65,910.6,952.9,889.55,-,-0.55%
2016-11-25,910.65,981.75,1022.95,904.45,-,-7.24%
2016-10-25,981.7,1032.7,1036.0,927.3,-,-4.95%
2016-09-25,1032.8,1056.0,1110.3,1010.6,-,-2.19%
2016-08-25,1055.95,1152.4,1199.45,1051.5,-,-8.41%
2016-07-25,1152.9,1028.5,1163.6,1026.3,-,12.06%
2016-06-25,1028.85,981.15,1033.35,956.25,-,4.87%
2016-05-25,981.1,1078.9,1092.15,967.7,-,-9.16%
2016-04-25,1080.0,976.15,1082.85,938.35,-,10.62%
2016-03-25,976.3,934.65,1010.85,931.65,-,4.52%
2016-02-25,934.05,873.7,970.1,852.05,-,6.99%
2016-01-25,873.05,890.95,898.9,811.6,-,-2.18%
2015-12-25,892.5,832.7,895.85,825.5,-,7.25%
2015-11-25,832.2,985.55,986.5,826.1,-,-15.71%
2015-10-25,987.35,907.95,1026.6,893.45,-,8.77%
2015-09-25,907.75,1007.45,1023.9,899.95,-,-9.89%
2015-08-25,1007.35,983.4,1038.3,945.45,-,2.36%
2015-07-25,984.15,1076.7,1090.9,947.35,-,-8.82%
2015-06-25,1079.35,1111.45,1123.95,1058.8,-,-2.90%
2015-05-25,1111.55,1142.4,1179.6,1108.95,-,-2.70%
2015-04-25,1142.35,1139.6,1187.95,1117.95,-,0.25%
2015-03-25,1139.55,1185.55,1196.8,1087.1,-,-4.13%
2015-02-25,1188.7,1240.45,1258.55,1155.1,-,-4.21%
2015-01-25,1240.9,1209.5,1290.15,1187.9,-,2.63%
2014-12-25,1209.15,1188.95,1256.25,1176.0,-,1.62%
2014-11-25,1189.85,1237.05,1245.05,1178.1,-,-3.82%
2014-10-25,1237.05,1292.9,1294.8,1187.05,-,-4.35%
2014-09-25,1293.3,1424.45,1430.1,1289.85,-,-9.22%
2014-08-25,1424.6,1464.5,1488.5,1414.55,-,-2.75%
2014-07-25,1464.9,1486.95,1523.65,1462.65,-,-1.48%
2014-06-25,1486.9,1453.95,1491.55,1421.7,-,2.29%
2014-05-25,1453.55,1427.15,1496.95,1412.3,-,1.86%
2014-04-25,1426.95,1417.5,1471.5,1388.2,-,0.67%
2014-03-25,1417.45,1448.5,1488.95,1395.75,-,-1.97%
2014-02-25,1445.9,1376.4,1456.65,1361.6,-,4.94%
