Date,Price,Open,High,Low,Vol.,Change %
1997-09-10,915.25,933.75,934.25,916.75,11.39K,-2.01%
1997-09-11,908.5,916.0,917.5,900.5,2.52K,-0.74%
1997-09-12,924.0,908.0,926.25,904.0,0.93K,1.71%
1997-09-15,921.75,924.75,930.0,919.5,0.21K,-0.24%
1997-09-16,946.25,922.5,949.25,921.0,0.35K,2.66%
1997-09-17,945.75,944.25,952.5,942.25,0.35K,-0.05%
1997-09-18,948.0,946.25,959.75,945.25,0.69K,0.24%
1997-09-19,960.5,957.75,963.25,953.0,10.01K,1.32%
1997-09-22,966.25,960.25,972.0,960.25,12.13K,0.60%
1997-09-23,962.0,965.25,967.25,956.5,10.20K,-0.44%
1997-09-24,954.5,961.5,970.5,952.0,14.58K,-0.78%
1997-09-25,946.5,953.75,957.5,945.5,14.11K,-0.84%
1997-09-26,953.25,946.25,956.5,946.25,12.10K,0.71%
1997-09-29,961.75,953.25,964.5,950.25,11.15K,0.89%
1997-09-30,954.5,961.0,965.25,953.25,15.24K,-0.75%
1997-10-01,963.5,955.5,966.5,954.5,14.02K,0.94%
1997-10-02,969.0,963.25,969.5,961.0,9.65K,0.57%
1997-10-03,975.5,969.25,985.5,961.75,13.79K,0.67%
1997-10-06,981.5,976.75,983.75,976.5,9.25K,0.62%
1997-10-07,989.5,982.0,992.25,977.5,11.90K,0.82%
1997-10-08,982.25,989.5,991.75,974.75,16.20K,-0.73%
1997-10-09,978.0,982.25,983.25,969.25,9.41K,-0.43%
1997-10-10,925.05,978.75,981.0,964.0,6.51K,-5.41%
1997-10-13,976.25,976.75,981.75,974.0,3.91K,5.53%
1997-10-14,977.5,976.25,981.5,968.5,11.92K,0.13%
1997-10-15,931.5,975.75,976.75,968.0,9.72K,-4.71%
1997-10-16,956.0,973.5,981.25,955.25,13.00K,2.63%
1997-10-17,948.75,959.0,960.0,935.5,13.57K,-0.76%
1997-10-20,962.25,948.5,963.0,945.0,11.77K,1.42%
1997-10-21,979.5,963.5,980.5,962.0,10.58K,1.79%
1997-10-22,974.25,979.0,980.5,970.5,10.28K,-0.54%
1997-10-23,955.5,973.0,974.25,947.5,13.57K,-1.92%
1997-10-24,944.0,956.0,969.0,941.5,14.92K,-1.20%
1997-10-27,874.0,942.5,944.0,874.0,15.39K,-7.42%
1997-10-28,924.5,862.0,933.0,844.0,17.08K,5.78%
1997-10-29,924.25,924.0,942.0,916.25,16.55K,-0.03%
1997-10-30,903.0,924.5,928.5,902.25,13.87K,-2.30%
1997-10-31,924.0,902.0,926.25,889.75,14.35K,2.33%
1997-11-03,945.75,923.75,945.0,921.25,11.47K,2.35%
1997-11-04,942.0,946.0,946.75,936.25,11.35K,-0.40%
1997-11-05,947.0,941.5,956.0,938.25,11.07K,0.53%
1997-11-06,942.25,946.5,947.5,937.25,8.87K,-0.50%
1997-11-07,931.25,942.25,943.0,916.5,13.53K,-1.17%
1997-11-10,926.25,930.0,940.5,922.75,9.94K,-0.54%
1997-11-11,926.5,926.0,932.75,922.5,6.89K,0.03%
1997-11-12,908.25,926.5,929.5,905.5,14.19K,-1.97%
1997-11-13,919.25,907.0,922.5,902.5,13.93K,1.21%
1997-11-14,919.25,920.0,934.75,915.0,11.39K,0.00%
1997-11-17,949.9,932.0,954.5,915.25,9.94K,3.33%
1997-11-18,942.6,950.0,954.5,940.0,10.84K,-0.77%
1997-11-19,947.8,942.25,951.5,936.25,11.30K,0.55%
1997-11-20,963.0,948.0,965.5,947.0,10.55K,1.60%
1997-11-21,969.6,962.5,971.0,957.5,9.90K,0.69%
1997-11-24,949.8,968.5,969.0,947.0,7.76K,-2.04%
1997-11-25,951.7,950.0,957.5,944.75,10.63K,0.20%
1997-11-26,955.0,952.0,959.75,948.75,6.91K,0.35%
1997-11-28,955.0,954.75,962.25,953.75,2.11K,0.00%
1997-12-01,979.6,955.5,979.75,955.0,10.50K,2.58%
1997-12-02,975.1,980.0,982.0,972.0,10.02K,-0.46%
1997-12-03,977.5,974.75,983.75,967.75,12.16K,0.25%
1997-12-04,976.9,977.5,985.75,972.5,12.24K,-0.06%
1997-12-05,986.6,976.25,989.0,963.0,14.02K,0.99%
1997-12-08,984.6,986.5,989.75,980.5,8.60K,-0.20%
1997-12-09,978.9,984.75,986.25,974.5,11.31K,-0.58%
1997-12-10,970.2,978.75,979.75,963.5,11.61K,-0.89%
1997-12-11,954.4,969.75,970.25,951.25,3.86K,-1.63%
1997-12-12,955.5,948.5,965.0,946.75,1.27K,0.12%
1997-12-15,963.3,956.0,967.25,951.0,1.08K,0.82%
1997-12-16,969.5,963.0,974.25,963.0,0.87K,0.64%
1997-12-17,964.6,969.0,975.5,964.0,0.45K,-0.51%
1997-12-18,954.5,965.25,966.0,949.75,0.58K,-1.05%
1997-12-19,957.5,964.0,964.5,935.0,15.89K,0.31%
1997-12-22,957.5,956.75,968.25,948.25,9.43K,0.00%
1997-12-23,962.75,962.75,965.0,944.0,6.20K,0.55%
1997-12-24,945.0,944.75,953.5,941.5,3.67K,-1.84%
1997-12-26,946.0,944.0,949.5,943.0,1.91K,0.11%
1997-12-29,946.0,945.5,966.5,941.25,6.35K,0.00%
1997-12-30,965.75,966.5,980.5,965.5,6.56K,2.09%
1997-12-31,979.25,979.5,984.0,975.25,5.28K,1.40%
