Date,Price,Open,High,Low,Vol.,Change %
1980-01-02,692.4,692.4,692.4,692.4,-,0.85%
1980-01-03,695.1,695.1,695.1,695.1,-,0.39%
1980-01-04,693.45,693.45,693.45,693.45,-,-0.24%
1980-01-07,684.39,684.39,684.39,684.39,-,-1.31%
1980-01-08,677.08,677.08,677.08,677.08,-,-1.07%
1980-01-09,672.74,672.74,672.74,672.74,-,-0.64%
1980-01-10,673.56,673.56,673.56,673.56,-,0.12%
1980-01-11,678.64,678.64,678.64,678.64,-,0.75%
1980-01-14,683.16,683.16,683.16,683.16,-,0.67%
1980-01-15,688.67,688.67,688.67,688.67,-,0.81%
1980-01-16,697.0,697.0,697.0,697.0,-,1.21%
1980-01-17,707.84,707.84,707.84,707.84,-,1.56%
1980-01-18,712.28,712.28,712.28,712.28,-,0.63%
1980-01-21,712.99,712.99,712.99,712.99,-,0.10%
1980-01-22,715.05,715.05,715.05,715.05,-,0.29%
1980-01-23,711.11,711.11,711.11,711.11,-,-0.55%
1980-01-24,711.45,711.45,711.45,711.45,-,0.05%
1980-01-25,708.54,708.54,708.54,708.54,-,-0.41%
1980-01-28,703.96,703.96,703.96,703.96,-,-0.65%
1980-01-29,718.12,718.12,718.12,718.12,-,2.01%
1980-01-30,726.63,726.63,726.63,726.63,-,1.19%
1980-01-31,727.92,727.92,727.92,727.92,-,0.18%
1980-02-01,729.66,729.66,729.66,729.66,-,0.24%
1980-02-04,736.68,736.68,736.68,736.68,-,0.96%
1980-02-05,733.11,733.11,733.11,733.11,-,-0.48%
1980-02-06,738.96,738.96,738.96,738.96,-,0.80%
1980-02-07,736.03,736.03,736.03,736.03,-,-0.40%
1980-02-08,750.41,750.41,750.41,750.41,-,1.95%
1980-02-11,762.28,762.28,762.28,762.28,-,1.58%
1980-02-12,756.35,756.35,756.35,756.35,-,-0.78%
1980-02-13,760.54,760.54,760.54,760.54,-,0.55%
1980-02-14,755.03,755.03,755.03,755.03,-,-0.72%
1980-02-15,745.32,745.32,745.32,745.32,-,-1.29%
1980-02-19,736.83,736.83,736.83,736.83,-,-1.14%
1980-02-20,732.84,732.84,732.84,732.84,-,-0.54%
1980-02-21,739.79,739.79,739.79,739.79,-,0.95%
1980-02-22,725.33,725.33,725.33,725.33,-,-1.95%
1980-02-25,723.56,723.56,723.56,723.56,-,-0.24%
1980-02-26,722.52,722.52,722.52,722.52,-,-0.14%
1980-02-27,719.32,719.32,719.32,719.32,-,-0.44%
1980-02-28,723.35,723.35,723.35,723.35,-,0.56%
1980-02-29,721.19,721.19,721.19,721.19,-,-0.30%
