Date,Price,Open,High,Low,Vol.,Change %
2019-06-25,15.305,14.555,15.552999999999999,14.555,-,6.49%
2019-05-25,14.372,14.885,14.92,14.245,2.65K,-3.54%
2019-04-25,14.9,15.095,15.31,14.7,1.36M,-1.39%
2019-03-25,15.11,15.63,15.665,14.95,1.33M,-2.75%
2019-02-25,15.538,16.01,16.07,15.52,18.49K,-3.02%
2019-01-25,16.022000000000002,15.52,16.14,15.14,0.58K,3.82%
2018-12-25,15.433,14.21,15.445,14.185,1.75K,9.50%
2018-11-25,14.094000000000001,14.58,14.645,13.945,24.66K,-0.95%
2018-10-25,14.229000000000001,14.35,14.74,14.215,0.88K,-2.69%
2018-09-25,14.623,14.45,14.555,13.91,3.86K,1.28%
2018-08-25,14.437999999999999,15.42,15.455,14.395,17.36K,-6.85%
2018-07-25,15.5,16.055,16.17,15.135,3.69K,-3.75%
2018-06-25,16.104,16.355,17.285,15.88,32.06K,-1.82%
2018-05-25,16.402,16.28,16.725,16.0,6.03K,0.55%
2018-04-25,16.312,16.47,17.2,16.14,22.11K,0.55%
2018-03-25,16.223,16.35,16.81,16.05,2.28K,-0.62%
2018-02-25,16.324,16.705,16.705,16.26,25.43K,-5.12%
2018-01-25,17.204,17.155,17.525,16.905,0.54K,0.84%
2017-12-25,17.06,16.385,17.045,15.555,3.51K,4.14%
2017-11-25,16.382,16.99,17.305,16.285,24.25K,-1.58%
2017-10-25,16.645,16.595,17.43,16.43,1.05K,0.23%
2017-09-25,16.607,17.565,18.16,16.655,5.95K,-4.99%
2017-08-25,17.48,16.635,17.6,16.09,23.43K,4.36%
2017-07-25,16.75,16.58,16.825,15.15,3.07K,1.10%
2017-06-25,16.567999999999998,17.3,17.695,16.33,19.66K,-4.61%
2017-05-25,17.368,17.185,17.4,16.03,6.07K,1.03%
2017-04-25,17.191,18.22,18.5,17.13,37.85K,-5.73%
2017-03-25,18.235,18.295,18.455,16.82,5.42K,-1.00%
2017-02-25,18.42,17.45,18.475,17.405,29.64K,5.19%
2017-01-25,17.512,16.04,17.56,16.03,0.53K,9.89%
2016-12-25,15.936,16.495,17.19,15.7,3.48K,-2.86%
2016-11-25,16.406,18.0,18.8,16.255,19.28K,-7.63%
2016-10-25,17.762,18.87,18.87,17.195,0.47K,-7.19%
2016-09-25,19.139,18.7,20.1,18.585,3.41K,2.78%
2016-08-25,18.622,20.51,20.75,18.505,16.16K,-8.32%
2016-07-25,20.312,18.79,21.095,18.775,4.92K,9.31%
2016-06-25,18.582,16.0,18.855,15.92,27.73K,16.34%
2016-05-25,15.972000000000001,17.85,18.03,15.96,4.05K,-10.21%
