Date,Open,High,Low,Price,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
10/1/68,3425,3430,3425,3425,,,28,0,,,
10/2/68,3388,3405,3375,3375,,,49,20,,,
10/3/68,3395,3440,3395,3440,,,17,47,,,
10/4/68,3440,3440,3440,3440,,,34,58,,,
10/7/68,3525,3532,3525,3532,,,34,89,,,
10/8/68,3526,3526,3485,3500,,,44,103,,,
10/9/68,3505,3525,3505,3505,,,63,136,,,
10/10/68,3545,3565,3545,3565,,,96,156,,,
10/11/68,3628,3628,3600,3612,,,119,203,,,
10/14/68,3575,3590,3560,3560,,,24,304,,,
10/15/68,3584,3584,3584,3584,,,24,301,,,
10/16/68,3630,3630,3607,3607,,,67,314,,,
10/17/68,3565,3565,3501,3501,,,44,375,,,
10/18/68,3525,3555,3525,3550,,,29,393,,,
10/21/68,3587,3589,3536,3536,,,72,409,,,
10/22/68,3500,3515,3490,3515,,,74,442,,,
10/23/68,3535,3553,3501,3501,,,53,458,,,
10/24/68,3519,3519,3480,3517,,,52,487,,,
10/25/68,3570,3617,3567,3617,,,76,499,,,
10/28/68,3717,3717,3717,3717,,,6,562,,,
10/29/68,3817,3817,3817,3817,,,48,560,,,
10/30/68,3840,3840,3765,3830,,,405,599,,,
10/31/68,3830,3865,3735,3750,,,151,875,,,
11/1/68,3780,3820,3735,3805,,,138,938,,,
11/4/68,3840,3860,3745,3745,,,147,1002,,,
11/6/68,3690,3752,3670,3700,,,81,1046,,,
11/7/68,3764,3765,3710,3760,,,138,1076,,,
11/8/68,3820,3860,3783,3860,,,121,1076,,,
11/12/68,3960,3960,3940,3940,,,167,1140,,,
11/13/68,3930,3930,3859,3920,,,109,1195,,,
11/14/68,3941,4011,3920,4011,,,164,1229,,,
11/15/68,4030,4040,3960,3985,,,87,1244,,,
11/18/68,4045,4053,4014,4015,,,159,1237,,,
11/19/68,3915,3935,3915,3915,,,96,1249,,,
11/20/68,3860,3885,3830,3850,,,220,1283,,,
11/21/68,3859,3948,3859,3910,,,60,1400,,,
11/22/68,3880,3925,3875,3880,,,28,1350,,,
11/25/68,3900,3900,3810,3835,,,98,1341,,,
11/26/68,3835,3935,3835,3935,,,83,1348,,,
11/27/68,3985,4035,3985,4010,,,97,1355,,,
11/29/68,3920,3950,3911,3940,,,24,1373,,,
12/2/68,3905,3935,3880,3891,,,109,1376,,,
12/3/68,3845,3845,3800,3806,,,108,1378,,,
12/4/68,3906,3906,3906,3906,,,40,1449,,,
12/5/68,3975,4006,3970,4006,,,62,1450,,,
12/6/68,4106,4106,4106,4106,,,12,1441,,,
12/9/68,4195,4195,4150,4155,,,237,1439,,,
12/10/68,4255,4255,4255,4255,,,16,1428,,,
12/11/68,4345,4355,4300,4320,,,190,1443,,,
12/12/68,4328,4420,4235,4285,,,209,1445,,,
12/13/68,4185,4205,4185,4185,,,72,1486,,,
12/16/68,4200,4213,4150,4213,,,86,1484,,,
12/17/68,4235,4260,4235,4235,,,97,1501,,,
12/18/68,4255,4300,4240,4240,,,78,1511,,,
12/19/68,4295,4295,4221,4221,,,52,1529,,,
12/20/68,4210,4210,4160,4180,,,40,1535,,,
12/23/68,4123,4133,4100,4105,,,167,1534,,,
12/24/68,4180,4198,4180,4181,,,29,1567,,,
12/26/68,4225,4250,4225,4225,,,61,1561,,,
12/27/68,4200,4300,4120,4138,,,174,1557,,,
12/30/68,4085,4115,4085,4089,,,91,1604,,,
12/31/68,4136,4164,4134,4135,,,111,1621,,,
1/2/69,4240,4240,4240,4240,,,86,1594,,,
1/3/69,4300,4368,4300,4300,,,191,1585,,,
1/6/69,4175,4195,4165,4165,,,124,1694,,,
1/7/69,4172,4175,4066,4085,,,103,1690,,,
1/8/69,4065,4070,3990,4004,,,164,1745,,,
1/9/69,3914,3915,3904,3904,,,113,1828,,,
1/10/69,3825,3900,3820,3860,,,174,1896,,,
1/13/69,3900,3900,3828,3830,,,106,1926,,,
1/14/69,3750,3780,3730,3770,,,186,1946,,,
1/15/69,3845,3870,3845,3870,,,257,1979,,,
1/16/69,3840,3905,3840,3905,,,85,1937,,,
1/17/69,3835,3855,3800,3800,,,230,1935,,,
1/20/69,3700,3700,3700,3700,,,1,1986,,,
1/21/69,3650,3750,3650,3735,,,162,1986,,,
1/22/69,3800,3835,3800,3811,,,234,1995,,,
1/23/69,3835,3858,3792,3830,,,208,2082,,,
1/24/69,3846,3870,3835,3870,,,315,2089,,,
1/27/69,3940,3940,3895,3915,,,282,2196,,,
1/28/69,3885,3885,3835,3840,,,195,2277,,,
1/29/69,3845,3893,3831,3893,,,148,2360,,,
1/30/69,3902,3902,3830,3830,,,191,2413,,,
1/31/69,3825,3830,3770,3823,,,233,2452,,,
2/3/69,3815,3830,3800,3812,,,47,2433,,,
2/4/69,3795,3795,3750,3751,,,81,2433,,,
2/5/69,3690,3725,3687,3700,,,140,2451,,,
2/6/69,3660,3680,3615,3615,,,164,2499,,,
2/7/69,3550,3575,3531,3531,,,234,2531,,,
2/11/69,3630,3630,3630,3630,,,41,2496,,,
2/13/69,3725,3730,3705,3730,,,124,2493,,,
2/14/69,3715,3745,3697,3710,,,144,2548,,,
2/17/69,3665,3695,3650,3660,,,106,2588,,,
2/18/69,3645,3645,3620,3640,,,31,2627,,,
2/19/69,3646,3675,3646,3675,,,73,2635,,,
2/20/69,3725,3775,3725,3775,,,112,2623,,,
2/24/69,3805,3865,3805,3841,,,138,2606,,,
2/25/69,3815,3815,3790,3800,,,216,2663,,,
2/26/69,3800,3800,3760,3765,,,200,2689,,,
2/27/69,3767,3794,3765,3765,,,117,2700,,,
2/28/69,3745,3745,3685,3690,,,106,2696,,,
3/3/69,3715,3725,3660,3722,,,178,2730,,,
3/4/69,3740,3800,3740,3761,,,76,2655,,,
3/5/69,3792,3826,3790,3797,,,110,2671,,,
3/6/69,3805,3805,3732,3776,,,88,2725,,,
3/7/69,3728,3765,3715,3740,,,210,2717,,,
3/10/69,3745,3745,3745,3745,,,60,2831,,,
3/11/69,3760,3775,3740,3764,,,71,2875,,,
3/12/69,3765,3785,3700,3705,,,63,2915,,,
3/13/69,3670,3685,3605,3608,,,245,2891,,,
3/14/69,3620,3655,3620,3630,,,112,2932,,,
3/17/69,3608,3610,3537,3555,,,179,2907,,,
3/18/69,3585,3590,3485,3535,,,280,2958,,,
3/19/69,3558,3580,3523,3560,,,236,3022,,,
3/20/69,3600,3660,3600,3660,,,237,3026,,,
3/21/69,3657,3657,3640,3640,,,168,3060,,,
3/24/69,3600,3605,3570,3570,,,182,3177,,,
3/25/69,3537,3550,3517,3535,,,433,3210,,,
3/26/69,3491,3577,3485,3570,,,833,3334,,,
3/27/69,3620,3622,3575,3580,,,501,3606,,,
3/28/69,3620,3626,3540,3565,,,297,3360,,,
4/1/69,3610,3642,3610,3630,,,249,3484,,,
4/2/69,3640,3640,3575,3575,,,155,3488,,,
4/3/69,3595,3595,3560,3585,,,111,3467,,,
4/7/69,3575,3630,3575,3615,,,62,3479,,,
4/8/69,3638,3650,3598,3598,,,254,3511,,,
4/9/69,3570,3578,3535,3550,,,192,3479,,,
4/10/69,3550,3578,3537,3578,,,143,3598,,,
4/11/69,3595,3600,3570,3570,,,138,3607,,,
4/14/69,3599,3657,3599,3654,,,405,3629,,,
4/15/69,3630,3655,3614,3629,,,150,3739,,,
4/16/69,3659,3680,3645,3648,,,218,3740,,,
4/17/69,3625,3640,3620,3622,,,206,3775,,,
4/18/69,3620,3632,3620,3626,,,104,3775,,,
4/21/69,3620,3622,3592,3594,,,91,3826,,,
4/22/69,3600,3645,3600,3631,,,230,3827,,,
4/23/69,3635,3656,3630,3634,,,283,3841,,,
4/24/69,3575,3660,3575,3585,,,162,3850,,,
4/25/69,3598,3598,3540,3570,,,280,3854,,,
4/28/69,3550,3565,3500,3505,,,205,3932,,,
4/29/69,3485,3560,3485,3550,,,167,4026,,,
4/30/69,3533,3590,3528,3528,,,129,4096,,,
5/1/69,3535,3545,3520,3535,,,28,4131,,,
5/2/69,3540,3568,3525,3550,,,65,4131,,,
5/5/69,3560,3584,3553,3557,,,51,4136,,,
5/6/69,3565,3585,3550,3552,,,125,4130,,,
5/7/69,3565,3578,3550,3561,,,230,4114,,,
5/8/69,3542,3554,3523,3525,,,156,4135,,,
5/9/69,3509,3510,3455,3456,,,372,4141,,,
5/12/69,3455,3480,3455,3468,,,220,4139,,,
5/13/69,3480,3500,3480,3488,,,477,4188,,,
5/14/69,3500,3500,3450,3457,,,105,4047,,,
5/15/69,3452,3465,3435,3457,,,132,4032,,,
5/16/69,3480,3495,3468,3469,,,93,4085,,,
5/19/69,3469,3483,3452,3470,,,116,4097,,,
5/20/69,3485,3545,3485,3541,,,278,4142,,,
5/21/69,3533,3550,3533,3547,,,34,4191,,,
5/22/69,3555,3610,3555,3607,,,244,4196,,,
5/23/69,3597,3598,3575,3593,,,72,4214,,,
5/26/69,3596,3630,3596,3606,,,220,4247,,,
5/27/69,3635,3644,3617,3620,,,204,4241,,,
5/28/69,3635,3636,3612,3630,,,274,4284,,,
5/29/69,3642,3643,3615,3637,,,160,4319,,,
6/2/69,3650,3657,3640,3655,,,260,4272,,,
6/3/69,3655,3665,3635,3664,,,306,4308,,,
6/4/69,3660,3675,3645,3665,,,283,4302,,,
6/5/69,3660,3672,3645,3666,,,662,4421,,,
6/6/69,3660,3671,3600,3605,,,575,4589,,,
6/9/69,3580,3635,3575,3591,,,416,4765,,,
6/10/69,3590,3612,3588,3610,,,273,4926,,,
6/11/69,3610,3612,3570,3575,,,354,5024,,,
6/12/69,3585,3615,3580,3601,,,293,5130,,,
6/13/69,3600,3635,3590,3635,,,137,5266,,,
6/16/69,3683,3683,3650,3675,,,141,5273,,,
6/17/69,3680,3742,3663,3740,,,287,5286,,,
6/18/69,3760,3760,3665,3690,,,361,5269,,,
6/19/69,3660,3675,3650,3675,,,296,5389,,,
6/20/69,3660,3670,3653,3653,,,142,5522,,,
6/23/69,3653,3672,3651,3652,,,518,5590,,,
6/24/69,3690,3762,3690,3762,,,534,5921,,,
6/25/69,3785,3795,3740,3745,,,991,6128,,,
6/26/69,3728,3740,3720,3735,,,608,6091,,,
6/27/69,3740,3790,3740,3789,,,275,6246,,,
6/30/69,3771,3780,3737,3737,,,244,6312,,,
7/1/69,3725,3779,3720,3774,,,218,6303,,,
7/2/69,3800,3825,3790,3822,,,233,6411,,,
7/3/69,3870,3870,3847,3850,,,221,6491,,,
7/7/69,3950,3950,3945,3950,,,435,6481,,,
