Date,Price,Open,High,Low,Vol.,Change %
1980-01-02,177.58,182.1,182.25,176.0,1.14K,-2.29%
1980-01-03,171.5,176.5,176.5,170.5,1.44K,-3.42%
1980-01-04,176.16,173.37,178.25,173.25,1.29K,2.72%
1980-01-07,178.58,175.42,179.0,175.0,1.02K,1.37%
1980-01-08,180.57,180.3,183.4,179.0,1.25K,1.11%
1980-01-09,176.16,178.12,179.4,176.1,0.77K,-2.44%
1980-01-10,179.5,176.0,179.9,175.25,0.81K,1.90%
1980-01-11,183.02,181.25,183.75,181.0,0.91K,1.96%
1980-01-14,178.93,182.3,182.5,176.2,0.72K,-2.23%
1980-01-15,173.36,176.3,176.9,173.25,1.18K,-3.11%
1980-01-16,173.36,172.75,173.5,171.25,1.52K,0.00%
1980-01-17,173.93,173.55,174.75,172.0,1.01K,0.33%
1980-01-18,173.79,173.71,173.95,171.25,1.16K,-0.08%
1980-01-21,172.69,172.62,172.95,171.0,0.59K,-0.63%
1980-01-22,167.44,171.87,172.25,166.25,1.09K,-3.04%
1980-01-23,162.47,164.75,165.0,160.8,1.26K,-2.97%
1980-01-24,165.07,164.2,165.25,162.25,1.30K,1.60%
1980-01-25,163.75,163.0,164.0,160.1,1.46K,-0.80%
1980-01-28,165.48,162.24,166.75,162.0,0.62K,1.06%
1980-01-29,165.0,164.8,165.5,164.05,0.40K,-0.29%
1980-01-30,165.0,164.5,165.3,162.95,0.78K,0.00%
1980-01-31,166.39,163.75,166.5,163.55,0.82K,0.84%
1980-02-01,168.61,168.39,168.75,167.0,0.69K,1.33%
1980-02-04,168.95,168.5,169.24,167.5,0.21K,0.20%
1980-02-05,166.0,169.0,169.25,166.0,0.33K,-1.75%
1980-02-06,167.6,164.25,168.0,163.0,0.94K,0.96%
1980-02-07,166.18,165.0,167.5,164.0,0.34K,-0.85%
1980-02-08,166.35,165.65,168.0,164.6,0.23K,0.10%
1980-02-11,165.28,164.0,165.9,163.75,0.18K,-0.64%
1980-02-13,163.78,164.25,164.75,163.0,0.34K,-0.91%
1980-02-14,163.06,163.0,164.0,163.0,0.24K,-0.44%
1980-02-15,166.46,164.75,167.5,164.25,0.41K,2.09%
1980-02-19,168.58,167.0,168.75,166.4,0.57K,1.27%
1980-02-20,167.5,168.0,168.0,166.6,0.58K,-0.64%
1980-02-21,168.46,167.0,168.5,167.0,0.67K,0.57%
1980-02-22,170.1,169.5,170.49,169.0,0.68K,0.97%
1980-02-25,172.8,172.0,173.0,170.0,0.41K,1.59%
1980-02-26,173.88,173.0,174.9,172.0,0.37K,0.63%
1980-02-27,174.78,172.0,175.1,171.99,0.55K,0.52%
1980-02-28,175.17,173.75,175.5,172.1,0.62K,0.22%
1980-02-29,175.68,173.5,176.0,173.0,0.42K,0.29%
1980-03-03,179.85,174.75,180.0,174.5,0.35K,2.37%
1980-03-04,184.88,179.0,185.0,178.85,0.29K,2.80%
1980-03-05,189.13,190.0,190.0,187.0,0.31K,2.30%
1980-03-06,184.25,187.25,187.25,185.05,0.06K,-2.58%
1980-03-07,185.37,181.25,185.6,177.0,0.31K,0.61%
1980-03-10,187.37,188.0,188.0,184.0,0.22K,1.08%
1980-03-11,186.37,184.5,186.5,183.5,0.20K,-0.53%
1980-03-12,186.88,187.5,187.5,185.0,0.12K,0.27%
1980-03-13,185.46,183.5,186.5,182.25,0.14K,-0.76%
1980-03-14,181.0,183.5,183.5,181.0,0.09K,-2.40%
1980-03-17,181.99,181.5,182.0,180.0,0.10K,0.55%
1980-03-18,178.5,180.0,180.25,178.0,0.08K,-1.92%
1980-03-19,181.0,180.9,181.0,180.0,0.04K,1.40%
1980-03-20,182.0,181.75,182.0,179.0,0.07K,0.55%
1980-03-21,185.22,180.0,186.0,180.0,0.25K,1.77%
1980-03-24,189.53,183.0,185.9,183.0,0.11K,2.33%
1980-03-25,187.7,188.42,188.6,185.75,1.26K,-0.97%
1980-03-26,188.34,186.25,188.5,186.0,1.16K,0.34%
1980-03-27,187.58,187.62,188.0,186.0,0.74K,-0.40%
1980-03-28,185.24,186.12,186.25,183.5,0.89K,-1.25%
1980-03-31,182.25,183.5,183.75,180.75,0.53K,-1.61%
1980-04-01,178.98,181.25,181.5,177.75,0.57K,-1.79%
1980-04-02,179.32,179.25,179.5,178.5,0.41K,0.19%
1980-04-03,184.04,180.5,184.5,180.0,0.95K,2.63%
1980-04-07,186.23,183.52,186.5,183.3,0.46K,1.19%
1980-04-08,186.34,185.12,186.7,185.0,0.41K,0.06%
1980-04-09,184.71,186.42,186.5,184.0,0.31K,-0.87%
1980-04-10,185.72,185.25,185.9,184.0,0.52K,0.55%
1980-04-11,186.76,187.5,188.0,186.25,0.50K,0.56%
1980-04-14,186.02,186.62,186.75,185.0,0.51K,-0.40%
1980-04-15,185.43,185.0,185.5,184.75,0.54K,-0.32%
1980-04-16,184.83,185.43,185.5,184.0,0.30K,-0.32%
1980-04-17,184.47,184.52,184.9,183.5,0.88K,-0.19%
1980-04-18,183.8,184.32,184.59,183.25,0.37K,-0.36%
1980-04-21,183.69,184.25,184.25,183.0,0.51K,-0.06%
1980-04-22,183.05,183.0,183.25,182.2,1.28K,-0.35%
1980-04-23,183.59,183.4,183.99,182.4,0.98K,0.29%
1980-04-24,181.89,182.5,182.8,181.5,0.23K,-0.93%
