Date,Price,Open,High,Low,Vol.,Change %
2009-10-14,67.14,65.92,67.61,65.78,-,1.85%
2009-10-15,67.15,67.1,69.43,66.24,-,0.01%
2009-10-16,68.26,67.12,68.31,66.69,-,1.65%
2009-10-18,68.28,68.28,68.28,68.28,-,0.03%
2009-10-19,66.43,68.28,68.93,66.36,-,-2.71%
2009-10-20,67.5,66.43,67.88,66.43,-,1.61%
2009-10-21,68.13,67.53,68.48,66.88,-,0.93%
2009-10-22,68.45,67.96,68.6,67.33,-,0.47%
2009-10-23,67.67,68.45,68.84,66.8,-,-1.14%
2009-10-25,67.65,67.65,67.65,67.65,-,-0.03%
2009-10-26,67.25,67.7,68.59,66.7,-,-0.59%
2009-10-27,66.95,67.32,67.45,66.18,-,-0.45%
2009-10-28,66.8,66.98,67.23,66.14,-,-0.22%
2009-10-29,67.54,66.8,68.32,66.43,-,1.11%
2009-10-30,67.18,67.44,67.91,66.66,-,-0.53%
2009-11-01,67.2,67.2,67.2,67.2,-,0.03%
2009-11-02,67.83,67.4,69.27,67.04,-,0.94%
2009-11-03,68.21,67.73,68.21,67.73,-,0.56%
2009-11-04,68.08,68.05,68.69,67.47,-,-0.19%
2009-11-05,67.48,67.84,68.39,67.22,-,-0.88%
2009-11-06,66.75,67.48,67.82,66.48,-,-1.08%
2009-11-08,66.71,66.71,66.71,66.71,-,-0.06%
2009-11-09,67.69,66.83,68.07,66.81,-,1.47%
2009-11-10,69.03,67.64,69.22,67.26,-,1.98%
2009-11-11,67.28,69.13,70.59,67.24,-,-2.54%
2009-11-12,66.42,67.35,67.99,65.88,-,-1.28%
2009-11-13,67.08,66.35,67.38,66.3,-,0.99%
2009-11-15,67.04,67.04,67.04,67.04,-,-0.06%
2009-11-16,72.51,67.04,72.72,67.04,-,8.16%
2009-11-17,72.16,72.43,72.75,71.72,-,-0.48%
2009-11-18,72.62,72.11,73.39,71.8,-,0.64%
2009-11-19,73.13,72.61,73.2,72.05,-,0.70%
2009-11-20,74.03,73.14,74.17,73.06,-,1.23%
2009-11-22,74.02,74.02,74.02,74.02,-,-0.01%
2009-11-23,74.5,74.19,75.67,74.15,-,0.65%
2009-11-24,75.23,74.51,75.54,73.74,-,0.98%
2009-11-25,75.21,75.29,75.74,74.64,-,-0.03%
2009-11-27,73.79,75.21,75.21,72.89,-,-1.89%
2009-11-29,73.8,73.8,73.8,73.8,-,0.01%
2009-11-30,74.39,74.15,74.86,73.89,-,0.80%
2009-12-01,73.56,74.47,74.96,73.46,-,-1.12%
2009-12-02,73.9,73.49,74.07,73.08,-,0.46%
2009-12-03,74.35,73.9,75.05,73.9,-,0.61%
2009-12-04,73.8,74.43,75.02,73.66,-,-0.74%
2009-12-06,73.81,73.81,73.81,73.81,-,0.01%
2009-12-07,74.74,74.29,74.87,73.81,-,1.26%
2009-12-08,74.26,74.67,75.07,74.13,-,-0.64%
2009-12-09,74.47,74.27,74.48,73.31,-,0.28%
2009-12-10,73.89,74.37,74.89,73.62,-,-0.78%
2009-12-11,74.02,73.78,74.58,73.63,-,0.18%
2009-12-13,74.05,74.05,74.05,74.05,-,0.04%
2009-12-14,75.59,73.98,76.11,73.81,-,2.08%
2009-12-15,75.04,75.59,76.15,74.78,-,-0.73%
2009-12-16,76.23,75.04,76.57,74.89,-,1.59%
2009-12-17,75.81,76.1,76.16,75.02,-,-0.55%
2009-12-18,74.95,75.68,75.97,74.51,-,-1.13%
2009-12-20,74.96,74.96,74.96,74.96,-,0.01%
2009-12-21,75.05,74.96,75.78,74.86,-,0.12%
2009-12-22,73.79,75.03,75.22,73.53,-,-1.68%
2009-12-23,73.93,73.79,74.06,73.37,-,0.19%
2009-12-24,73.72,73.88,74.02,73.43,-,-0.28%
2009-12-25,73.72,73.72,73.72,73.72,-,0.00%
