Date,Price,Open,High,Low,Vol.,Change %
2019-06-25,28.12,27.5,28.71,26.93,-,1.92%
2019-05-25,27.59,27.69,28.23,26.03,758.89K,0.04%
2019-04-25,27.58,28.37,29.4,27.2,1.14M,-2.75%
2019-03-25,28.36,29.96,30.32,28.34,595.97K,-5.34%
2019-02-25,29.96,30.39,31.01,29.62,1.11M,-0.70%
2019-01-25,30.17,27.62,30.48,27.6,633.66K,9.51%
2018-12-25,27.55,28.19,28.9,27.27,400.52K,-0.97%
2018-11-25,27.82,28.03,28.56,26.95,1.16M,-0.71%
2018-10-25,28.02,28.7,29.88,27.75,636.85K,-2.30%
2018-09-25,28.68,28.4,29.11,26.88,248.37K,1.09%
2018-08-25,28.37,28.68,28.76,27.74,241.48K,-1.25%
2018-07-25,28.73,29.1,29.13,27.57,295.55K,-1.34%
2018-06-25,29.12,31.14,31.5,27.79,1.33M,-6.43%
2018-05-25,31.12,30.49,32.05,29.95,680.64K,2.54%
2018-04-25,30.35,32.03,32.73,30.25,1.19M,-4.77%
2018-03-25,31.87,32.04,32.63,31.28,683.87K,-0.28%
2018-02-25,31.96,33.0,33.31,31.4,1.34M,-3.36%
2018-01-25,33.07,33.37,33.86,32.1,679.01K,-0.03%
2017-12-25,33.08,33.86,33.94,32.32,409.51K,-1.99%
2017-11-25,33.75,34.69,35.44,33.44,1.15M,-2.88%
2017-10-25,34.75,32.61,35.13,32.07,666.21K,6.69%
2017-09-25,32.57,34.73,35.6,32.41,273.43K,-6.17%
2017-08-25,34.71,34.62,35.13,32.62,302.11K,0.00%
2017-07-25,34.71,33.42,35.16,32.01,312.07K,5.41%
2017-06-25,32.93,31.4,33.38,30.89,1.25M,5.07%
2017-05-25,31.34,31.8,33.44,31.14,644.51K,-0.35%
2017-04-25,31.45,31.78,32.35,30.86,1.05M,-1.04%
2017-03-25,31.78,33.56,34.48,31.35,859.25K,-5.67%
2017-02-25,33.69,33.85,34.98,32.07,1.04M,-0.47%
2017-01-25,33.85,34.37,36.07,33.33,660.69K,-1.66%
2016-12-25,34.42,36.79,38.11,34.29,465.25K,-6.44%
2016-11-25,36.79,35.21,37.34,33.45,1.29M,4.61%
2016-10-25,35.17,33.1,36.23,32.33,745.33K,5.81%
2016-09-25,33.24,32.28,34.03,31.47,249.88K,2.37%
2016-08-25,32.47,30.35,34.41,29.61,247.09K,6.99%
2016-07-25,30.35,31.38,31.82,29.28,298.10K,-3.28%
2016-06-25,31.38,31.78,33.33,30.74,1.10M,-1.38%
2016-05-25,31.82,32.83,33.37,30.79,689.85K,-3.22%
2016-04-25,32.88,34.21,35.14,32.84,1.30M,-3.92%
2016-03-25,34.22,30.73,34.37,29.97,631.53K,11.68%
