Date,Price,Open,High,Low,Vol.,Change %
2019-06-25,906.5,876.12,923.0,848.38,-,3.22%
2019-05-25,878.25,853.62,892.62,791.38,-,2.78%
2019-04-25,854.5,883.88,907.12,851.38,-,-3.32%
2019-03-25,883.88,910.0,924.38,883.12,-,-2.87%
2019-02-25,910.0,915.75,934.38,893.12,-,-0.63%
2019-01-25,915.75,894.0,927.62,891.12,-,2.43%
2018-12-25,894.0,919.25,928.0,867.0,-,0.08%
2018-11-25,893.25,850.25,900.75,845.75,-,4.90%
2018-10-25,851.5,845.0,892.0,840.0,-,0.86%
2018-09-25,844.25,845.5,859.25,812.25,-,-0.15%
2018-08-25,845.5,907.5,907.5,829.0,-,-6.83%
2018-07-25,907.5,865.25,911.5,810.75,-,5.19%
2018-06-25,862.75,1020.0,1026.5,842.5,-,-15.38%
2018-05-25,1019.5,1049.0,1055.5,992.5,-,-2.77%
2018-04-25,1048.5,1046.0,1067.5,983.5,-,0.36%
2018-03-25,1044.75,1055.0,1082.5,1009.25,-,-0.97%
2018-02-25,1055.0,996.75,1059.5,967.75,-,5.84%
2018-01-25,996.75,967.5,1004.75,944.5,-,3.56%
2017-12-25,962.5,986.88,1014.88,946.62,-,-2.35%
2017-11-25,985.62,984.75,1007.62,967.12,-,0.10%
2017-10-25,984.62,967.38,1003.12,952.62,-,1.83%
2017-09-25,966.88,947.62,986.88,938.62,-,2.14%
2017-08-25,946.62,988.5,992.62,917.38,-,-5.18%
2017-07-25,998.38,956.62,1032.62,956.12,-,5.27%
2017-06-25,948.38,916.38,950.38,900.38,-,3.55%
2017-05-25,915.88,961.88,988.5,909.62,-,-4.31%
2017-04-25,957.12,946.38,971.88,929.88,-,1.19%
2017-03-25,945.88,1036.88,1051.88,944.38,-,-8.73%
2017-02-25,1036.38,1024.12,1063.4,1009.38,-,1.15%
2017-01-25,1024.6,1005.4,1079.9,992.75,-,1.94%
2016-12-25,1005.1,1034.88,1061.38,987.88,-,-2.77%
2016-11-25,1033.75,1011.75,1064.88,975.62,-,2.16%
2016-10-25,1011.88,952.75,1019.88,937.38,-,5.93%
2016-09-25,955.25,943.88,993.88,934.12,-,1.42%
2016-08-25,941.88,1009.88,1041.12,938.12,-,-7.60%
2016-07-25,1019.38,1177.25,1178.5,973.75,-,-13.19%
2016-06-25,1174.25,1075.25,1207.75,1068.62,-,8.94%
2016-05-25,1077.88,1028.12,1097.88,1008.62,-,4.66%
2016-04-25,1029.88,909.88,1046.12,901.12,-,12.85%
2016-03-25,912.62,861.25,916.88,856.12,-,5.98%
2016-02-25,861.12,882.88,889.88,859.63,-,-2.41%
2016-01-25,882.38,863.13,887.88,852.38,-,2.17%
2015-12-25,863.63,880.88,909.63,854.25,-,-2.04%
2015-11-25,881.63,887.88,890.88,844.38,-,-0.40%
2015-10-25,885.13,891.25,919.63,868.38,-,-0.73%
2015-09-25,891.63,884.5,901.75,854.88,-,0.51%
2015-08-25,887.13,950.38,1009.13,871.13,-,-6.92%
2015-07-25,953.13,1048.0,1054.75,937.88,-,-9.07%
2015-06-25,1048.25,931.63,1051.13,921.63,-,12.19%
2015-05-25,934.38,977.5,990.38,920.63,-,-4.38%
2015-04-25,977.13,972.75,994.88,944.75,-,0.46%
2015-03-25,972.63,1030.13,1038.88,953.63,-,-5.60%
2015-02-25,1030.38,961.38,1037.88,959.13,-,7.15%
2015-01-25,961.63,1019.63,1061.63,955.13,-,-5.99%
2014-12-25,1022.88,1010.63,1067.75,983.88,-,0.86%
2014-11-25,1014.13,1045.63,1086.13,995.63,-,-2.78%
2014-10-25,1043.13,911.0,1059.13,904.38,-,14.33%
2014-09-25,912.38,1020.5,1037.88,905.63,-,-10.92%
2014-08-25,1024.25,1094.5,1170.38,1019.88,-,-6.73%
2014-07-25,1098.13,1327.5,1334.75,1094.25,-,-17.28%
2014-06-25,1327.5,1487.13,1511.63,1315.38,-,-10.97%
2014-05-25,1491.13,1510.63,1536.63,1442.13,-,-1.34%
2014-04-25,1511.38,1463.25,1531.63,1456.13,-,3.35%
2014-03-25,1462.38,1417.13,1466.13,1365.75,-,3.41%
2014-02-25,1414.13,1281.88,1443.75,1278.38,-,10.15%
2014-01-25,1283.88,1289.38,1329.88,1260.13,-,-0.43%
