Date,Price,Open,High,Low,Vol.,Change %
2019-06-25,538.62,507.0,549.38,488.12,-,6.68%
2019-05-25,504.88,427.88,521.62,418.62,-,17.69%
2019-04-25,429.0,459.12,477.38,426.12,-,-6.43%
2019-03-25,458.5,458.75,477.88,427.12,-,-0.05%
2019-02-25,458.75,516.5,531.12,458.12,-,-11.18%
2019-01-25,516.5,503.12,528.88,501.38,-,2.68%
2018-12-25,503.0,527.75,538.5,503.0,-,-2.42%
2018-11-25,515.5,500.75,520.75,495.5,-,2.84%
2018-10-25,501.25,509.75,527.25,485.5,-,-1.81%
2018-09-25,510.5,537.75,542.5,495.25,-,-6.59%
2018-08-25,546.5,554.5,593.0,513.0,-,-1.44%
2018-07-25,554.5,501.75,565.0,471.25,-,10.46%
2018-06-25,502.0,524.5,538.75,467.5,-,-4.34%
2018-05-25,524.75,513.0,554.0,486.25,-,2.64%
2018-04-25,511.25,454.0,513.0,445.75,-,13.17%
2018-03-25,451.75,495.5,518.5,441.5,-,-8.27%
2018-02-25,492.5,451.5,499.5,438.75,-,9.08%
2018-01-25,451.5,429.5,458.75,413.25,-,5.61%
2017-12-25,427.5,432.5,442.75,411.0,-,-1.58%
2017-11-25,434.38,418.75,439.0,409.12,-,3.79%
2017-10-25,418.5,445.0,450.5,416.5,-,-6.64%
2017-09-25,448.25,434.75,462.75,428.5,-,2.93%
2017-08-25,435.5,472.25,478.0,400.75,-,-8.17%
2017-07-25,474.25,539.62,574.25,472.0,-,-9.80%
2017-06-25,525.75,429.38,525.75,421.62,-,22.41%
2017-05-25,429.5,441.5,461.5,420.5,-,-0.72%
2017-04-25,432.62,430.5,436.5,400.25,-,1.61%
2017-03-25,425.75,443.0,462.5,417.0,-,-4.06%
2017-02-25,443.75,421.25,464.25,417.25,-,5.40%
2017-01-25,421.0,408.38,437.62,405.0,-,3.25%
2016-12-25,407.75,403.75,420.75,392.75,-,1.18%
2016-11-25,403.0,416.0,421.25,392.75,-,-2.95%
2016-10-25,415.25,400.5,428.25,391.75,-,3.36%
2016-09-25,401.75,391.5,411.75,389.75,-,3.68%
2016-08-25,387.5,407.75,432.5,381.25,-,-4.85%
2016-07-25,407.25,445.38,451.5,403.75,-,-9.10%
2016-06-25,448.0,463.38,523.88,438.0,-,-3.40%
2016-05-25,463.75,486.75,492.75,455.0,-,-5.21%
2016-04-25,489.25,473.75,510.75,446.25,-,3.11%
2016-03-25,474.5,453.38,479.38,442.38,-,4.77%
2016-02-25,452.88,476.25,483.0,446.62,-,-5.53%
2016-01-25,479.38,472.5,488.5,456.13,-,2.13%
2015-12-25,469.38,474.63,498.88,465.63,-,-1.31%
2015-11-25,475.63,521.38,530.75,475.13,-,-8.91%
2015-10-25,522.13,512.38,531.5,483.63,-,1.93%
2015-09-25,512.25,484.13,515.5,463.13,-,5.54%
2015-08-25,485.38,497.13,529.88,476.13,-,-2.56%
2015-07-25,498.13,614.25,615.0,493.88,-,-19.22%
2015-06-25,616.63,478.0,617.13,474.13,-,29.03%
2015-05-25,477.88,476.13,529.88,461.13,-,0.53%
2015-04-25,475.38,513.38,544.13,464.13,-,-7.31%
2015-03-25,512.88,513.75,540.38,479.38,-,0.17%
2015-02-25,512.0,502.25,546.63,490.13,-,1.74%
2015-01-25,503.25,589.38,603.5,497.38,-,-14.69%
2014-12-25,589.88,576.88,676.88,570.38,-,1.99%
2014-11-25,578.38,535.63,580.63,511.38,-,8.87%
2014-10-25,531.25,477.63,545.25,469.63,-,11.00%
2014-09-25,478.63,561.88,565.88,466.38,-,-15.04%
2014-08-25,563.38,531.25,578.63,527.38,-,6.22%
2014-07-25,530.38,578.63,584.25,518.63,-,-8.04%
2014-06-25,576.75,625.75,626.13,568.75,-,-8.18%
2014-05-25,628.13,723.25,743.88,625.63,-,-12.94%
2014-04-25,721.5,695.88,724.63,656.38,-,3.50%
2014-03-25,697.13,623.63,722.88,615.0,-,16.11%
2014-02-25,600.38,554.88,620.75,554.13,-,8.18%
2014-01-25,555.0,605.13,612.38,550.38,-,-8.28%
2013-12-25,605.13,668.88,674.63,599.38,-,-9.45%
2013-11-25,668.25,667.75,672.13,642.38,-,0.13%
