Date,Price,Open,High,Low,Vol.,Change %
2019-06-25,74.15,82.45,86.71,72.61,-,-9.26%
2019-05-25,81.72,84.47,93.03,81.4,170.01K,-3.06%
2019-04-25,84.3,76.42,91.22,76.3,46.38K,8.94%
2019-03-25,77.38,55.7,81.75,55.67,397.88K,38.48%
2019-02-25,55.88,56.4,60.27,52.25,252.70K,-0.66%
2019-01-25,56.25,61.38,64.22,56.15,361.12K,-7.76%
2018-12-25,60.98,58.65,66.8,54.12,225.12K,5.36%
2018-11-25,57.88,57.83,61.42,54.0,422.21K,-0.98%
2018-10-25,58.45,62.8,69.25,51.27,381.32K,-5.98%
2018-09-25,62.17,51.65,63.02,50.15,413.01K,23.30%
2018-08-25,50.42,61.0,61.0,48.92,383.30K,-17.51%
2018-07-25,61.12,83.08,84.08,60.88,185.61K,-26.25%
2018-06-25,82.88,77.3,83.83,76.05,192.52K,8.17%
2018-05-25,76.62,66.47,77.7,65.08,192.91K,15.57%
2018-04-25,66.3,56.5,70.75,50.48,59.06K,15.81%
2018-03-25,57.25,67.5,69.33,56.75,367.02K,-14.83%
2018-02-25,67.22,73.75,75.9,67.12,261.79K,-8.19%
2018-01-25,73.22,72.0,74.25,70.2,335.80K,2.01%
2017-12-25,71.78,64.6,72.45,63.5,204.28K,11.67%
2017-11-25,64.28,67.95,68.0,59.25,402.38K,-5.47%
2017-10-25,68.0,55.85,68.17,55.65,325.21K,22.74%
2017-09-25,55.4,61.3,64.45,54.92,437.56K,-9.77%
2017-08-25,61.4,80.33,84.75,59.83,363.98K,-23.54%
2017-07-25,80.3,91.05,92.83,79.78,155.30K,-11.39%
2017-06-25,90.62,82.38,90.85,80.45,179.60K,10.62%
2017-05-25,81.92,67.0,82.67,66.03,133.64K,22.32%
2017-04-25,66.97,65.55,68.6,62.15,37.65K,1.98%
2017-03-25,65.67,68.25,71.28,64.67,338.45K,-2.86%
2017-02-25,67.6,69.5,75.1,66.03,246.79K,-2.14%
2017-01-25,69.08,66.4,69.3,62.55,310.61K,4.43%
2016-12-25,66.15,51.25,66.58,49.95,260.10K,29.66%
2016-11-25,51.02,47.7,51.7,45.1,369.54K,6.40%
2016-10-25,47.95,49.27,52.77,40.7,245.01K,-2.18%
2016-09-25,49.02,62.75,63.85,49.02,342.23K,-22.00%
2016-08-25,62.85,69.65,69.65,58.38,221.46K,-8.87%
2016-07-25,68.97,82.88,83.65,68.7,135.33K,-16.75%
2016-06-25,82.85,80.8,88.83,80.03,126.06K,2.82%
