Date,CC,CL,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,CL_CC_pair,sharpe,CAGR
1990-08-18,1073.0,28.63,-34.88229477299278,74.31990064921672,,False,False,0.0,False,False,0.0,0.0,,,,,1.9047817571275214,0.0578
1990-08-19,1073.0,28.63,-35.38450429340268,59.941642079881376,,False,False,0.0,False,False,0.0,0.0,-0.0068925485783969285,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-08-20,1073.0,28.63,-35.639434436975,52.64299206940575,,False,False,0.0,False,False,0.0,0.0,-0.0034865768155288375,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-08-21,1114.0,28.56,-36.01470700897993,85.41996782353317,,False,False,0.0,False,False,0.0,0.0,0.015297900317325391,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-08-22,1119.0,28.41,-36.39297119591641,85.07568832401489,,False,False,0.0,False,False,0.0,0.0,-0.00015991249560012093,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-08-23,1140.0,31.22,-36.42528999479088,2.8024463626288707,,False,False,0.0,False,False,0.0,0.0,-0.0361291631593275,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-08-24,1173.0,31.93,-36.35736982117456,12.109181609896268,,False,False,0.0,False,False,0.0,0.0,0.003987648082735548,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-08-25,1330.0,30.91,-36.81722659406645,191.97952597740618,,False,False,0.0,False,False,0.0,0.0,0.07288041013466215,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-08-26,1330.0,30.91,-37.402784538541965,173.87992991366787,,False,False,0.0,False,False,0.0,0.0,-0.007280258215006405,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-08-27,1330.0,30.91,-37.965874528495554,156.4748183242025,,False,False,0.0,False,False,0.0,0.0,-0.006952241470091717,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-08-28,1312.0,26.91,-38.78183811494018,268.3807363269598,,False,False,0.0,False,False,0.0,0.0,0.04750594449981957,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-08-29,1237.0,27.88,-39.36766356385979,139.4295398395891,,False,False,0.0,False,False,0.0,0.0,-0.05523551277973006,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-08-30,1206.0,25.92,-39.92597555740075,171.1187135521725,,False,False,0.0,False,False,0.0,0.0,0.01414138888312823,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-08-31,1271.0,26.77,-40.505567390271125,186.6659609624421,,False,False,0.0,False,False,0.0,0.0,0.0066008672878614585,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-01,1274.0,27.32,-41.012624076753355,153.5351102230984,,False,False,0.0,False,False,0.0,0.0,-0.01383643204826052,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-02,1274.0,27.32,-41.45807864264718,141.365291482879,,False,False,0.0,False,False,0.0,0.0,-0.005056778536913061,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-03,1274.0,27.32,-41.8513505298882,130.6211035234544,,False,False,0.0,False,False,0.0,0.0,-0.004444560997485672,-0.0,1.0,1.0,1.9047817571275214,0.0578
