Date,CT,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_CT_pair,sharpe,CAGR
1990-08-18,69.21,13.43,-4.411304876925408,9.966175502891765,,False,False,0.0,False,False,0.0,0.0,,,,,1.858755449607573,0.0497
1990-08-19,69.21,13.43,-4.555050946116313,8.035665793657913,,False,False,0.0,False,False,0.0,0.0,-0.014806301086591351,-0.0,1.0,1.0,1.858755449607573,0.0497
1990-08-20,69.21,13.43,-4.620043440719171,7.162816591141528,,False,False,0.0,False,False,0.0,0.0,-0.006649915683452618,-0.0,1.0,1.0,1.858755449607573,0.0497
1990-08-21,70.1,13.43,-4.66659692936359,7.427603238646981,,False,False,0.0,False,False,0.0,0.0,0.0019942898822665985,0.0,1.0,1.0,1.858755449607573,0.0497
1990-08-22,70.43,13.43,-4.7040143740342195,7.25508695672044,,False,False,0.0,False,False,0.0,0.0,-0.0012912420508866787,-0.0,1.0,1.0,1.858755449607573,0.0497
1990-08-23,70.52,13.43,-4.735042844887311,6.9283745931634115,,False,False,0.0,False,False,0.0,0.0,-0.0024361226147690384,-0.0,1.0,1.0,1.858755449607573,0.0497
1990-08-24,70.43,13.43,-4.760516151923596,6.496268079666109,,False,False,0.0,False,False,0.0,0.0,-0.003215946054203856,-0.0,1.0,1.0,1.858755449607573,0.0497
1990-08-25,72.35,13.43,-4.788393258663853,8.041878536144452,,False,False,0.0,False,False,0.0,0.0,0.011310051974387331,0.0,1.0,1.0,1.858755449607573,0.0497
1990-08-26,72.35,13.43,-4.8157567346988275,7.674387052994746,,False,False,0.0,False,False,0.0,0.0,-0.002681918184827488,-0.0,1.0,1.0,1.858755449607573,0.0497
1990-08-27,72.35,13.43,-4.841213602497525,7.3325013184582275,,False,False,0.0,False,False,0.0,0.0,-0.0024888400663763263,-0.0,1.0,1.0,1.858755449607573,0.0497
1990-08-28,72.99,13.43,-4.866114830442158,7.638077827161808,,False,False,0.0,False,False,0.0,0.0,0.002208849666855195,0.0,1.0,1.0,1.858755449607573,0.0497
1990-08-29,71.9,13.43,-4.886250359111785,6.27765767712873,,False,False,0.0,False,False,0.0,0.0,-0.009892357322122399,-0.0,1.0,1.0,1.858755449607573,0.0497
1990-08-30,72.38,13.43,-4.904008225398676,6.5191695328957735,,False,False,0.0,False,False,0.0,0.0,0.0017470370725566067,0.0,1.0,1.0,1.858755449607573,0.0497
