Date,PL,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_PL_pair,sharpe,CAGR
1990-08-18,507.4,13.43,-32.34064578170716,73.06512715167281,,False,False,0.0,False,False,0.0,0.0,,,,,1.0425251197289018,0.0436
1990-08-19,507.4,13.43,-33.394492848712865,58.911961041786185,,False,False,0.0,False,False,0.0,0.0,-0.0148063010865913,-0.0,1.0,1.0,1.0425251197289018,0.0436
1990-08-20,507.4,13.43,-33.87097300709301,52.51283251474081,,False,False,0.0,False,False,0.0,0.0,-0.0066499156834525725,-0.0,1.0,1.0,1.0425251197289018,0.0436
1990-08-21,504.1,13.43,-34.14117222224447,45.58405705525678,,False,False,0.0,False,False,0.0,0.0,-0.007197860694357687,-0.0,1.0,1.0,1.0425251197289018,0.0436
1990-08-22,500.3,13.43,-34.30216020219252,39.62198848455449,,False,False,0.0,False,False,0.0,0.0,-0.006204167524395493,-0.0,1.0,1.0,1.0425251197289018,0.0436
1990-08-23,502.8,13.43,-34.41994535078806,40.54013393891637,,False,False,0.0,False,False,0.0,0.0,0.0009513870451470653,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-08-24,505.9,13.43,-34.521920930860624,42.27060189854183,,False,False,0.0,False,False,0.0,0.0,0.0017848535207019782,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-08-25,507.3,13.43,-34.61409663117152,42.432682243366514,,False,False,0.0,False,False,0.0,0.0,0.0001667206270610937,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-08-26,507.3,13.43,-34.695234608798316,41.342999203838644,,False,False,0.0,False,False,0.0,0.0,-0.0011196251746830154,-0.0,1.0,1.0,1.0425251197289018,0.0436
1990-08-27,507.3,13.43,-34.76551580989635,40.39912267309205,,False,False,0.0,False,False,0.0,0.0,-0.0009688725936446275,-0.0,1.0,1.0,1.0425251197289018,0.0436
1990-08-28,486.0,13.43,-34.76178223566019,19.149264575083635,,False,False,0.0,False,False,0.0,0.0,-0.022301350366836007,-0.0,1.0,1.0,1.0425251197289018,0.0436
1990-08-29,482.9,13.43,-34.707142449921896,16.783076897548938,,False,False,0.0,False,False,0.0,0.0,-0.0024933039864024164,-0.0,1.0,1.0,1.0425251197289018,0.0436
1990-08-30,484.5,13.43,-34.63037602381768,19.414050000128555,,False,False,0.0,False,False,0.0,0.0,0.002770652938346416,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-08-31,487.6,13.43,-34.55281914732895,23.555638851372294,,False,False,0.0,False,False,0.0,0.0,0.004352034247588954,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-01,484.3,13.09,-34.500938045638286,32.682720982594844,,False,False,0.0,False,False,0.0,0.0,0.009752017978346156,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-02,484.3,13.09,-34.466140799528986,33.1382169341656,,False,False,0.0,False,False,0.0,0.0,0.0004869209622630811,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-03,484.3,13.09,-34.44275362571251,33.444355039423215,,False,False,0.0,False,False,0.0,0.0,0.00032736593839469624,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-04,484.3,13.09,-34.426999122018344,33.65058149277991,,False,False,0.0,False,False,0.0,0.0,0.00022057498435151888,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-05,486.4,13.09,-34.421706300961006,35.819864520420424,,False,False,0.0,False,False,0.0,0.0,0.00231518571792368,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-06,484.2,13.09,-34.41726217942281,33.67803807135539,,False,False,0.0,False,False,0.0,0.0,-0.002291404862945266,-0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-07,482.2,13.09,-34.40845239800595,31.793358110102133,,False,False,0.0,False,False,0.0,0.0,-0.0020208734064278274,-0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-08,482.3,13.09,-34.397594899226306,32.03548276912767,,False,False,0.0,False,False,0.0,0.0,0.00025963314553773974,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-09,482.3,13.09,-34.38588779055444,32.18872882164237,,False,False,0.0,False,False,0.0,0.0,0.00016435456890287754,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-10,482.3,13.09,-34.37407115194733,32.34340862100953,,False,False,0.0,False,False,0.0,0.0,0.00016591977015507838,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-11,457.5,13.09,-34.301183124738515,8.49751289717284,,False,False,0.0,False,False,0.0,0.0,-0.026305383673075108,-0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-12,452.8,13.09,-34.18257530376828,5.350089273673234,,False,False,0.0,False,False,0.0,0.0,-0.0034961665488644662,-0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-13,455.0,13.09,-34.04596330281832,9.338340366108184,,False,False,0.0,False,False,0.0,0.0,0.004428134638323704,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-14,457.7,13.09,-33.90973365040292,13.82158651622575,,False,False,0.0,False,False,0.0,0.0,0.0049726635898412076,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-15,456.9,13.09,-33.77625193424162,14.768862180777148,,False,False,0.0,False,False,0.0,0.0,0.0010536627984312113,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-16,456.9,13.09,-33.64879530664215,16.437269436054237,,False,False,0.0,False,False,0.0,0.0,0.0018592339512791907,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-17,456.9,13.09,-33.52911693895907,18.003859269025725,,False,False,0.0,False,False,0.0,0.0,0.0017488240479503992,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-18,458.9,13.09,-33.42290627930025,21.39415680395973,,False,False,0.0,False,False,0.0,0.0,0.003782101110414742,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-19,461.6,13.09,-33.334838186514546,25.246968138524608,,False,False,0.0,False,False,0.0,0.0,0.004290660199206542,0.0,1.0,1.0,1.0425251197289018,0.0436
1990-09-20,458.6,13.09,-33.25315758630747,23.31616719523521,,False,False,0.0,False,False,0.0,0.0,-0.002160013272900427,-0.0,1.0,1.0,1.0425251197289018,0.0436
