Date,FC,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_FC_pair,sharpe,CAGR
1990-08-18,89.65,77.9,-1.1213249509628194,2.298786319996367,,False,False,0.0,False,False,0.0,0.0,,,,,1.0854171707760347,0.0153
1990-08-19,89.65,77.9,-1.127807502730356,1.7937955373052716,,False,False,0.0,False,False,0.0,0.0,-0.0028449190506871875,-0.0,1.0,1.0,1.0854171707760347,0.0153
1990-08-20,89.65,77.9,-1.1309920865763983,1.5457164556985674,,False,False,0.0,False,False,0.0,0.0,-0.0013956292735127019,-0.0,1.0,1.0,1.0854171707760347,0.0153
1990-08-21,89.67,77.3,-1.1345585532553821,1.9686238333589614,,False,False,0.0,False,False,0.0,0.0,0.0023843045411288404,0.0,1.0,1.0,1.0854171707760347,0.0153
1990-08-22,89.87,77.8,-1.136148576297378,1.477640764064006,,False,False,0.0,False,False,0.0,0.0,-0.0027542722501788697,-0.0,1.0,1.0,1.0854171707760347,0.0153
1990-08-23,89.52,78.22,-1.1354067136350043,0.7084868594699572,-1.7045550570729147,False,False,0.0,False,False,0.0,0.0,-0.004313056571150915,-0.0,1.0,1.0,1.0854171707760347,0.0153
1990-08-24,88.95,76.72,-1.136598720218082,1.750146184868754,0.4711824882676088,False,True,0.0,False,False,0.0,0.0,0.005913483904971135,0.0,1.0,1.0,1.0854171707760347,0.0153
1990-08-25,88.17,76.17,-1.137526810625427,1.5245828346612171,0.06724770722083896,False,False,0.0,False,False,0.0,0.0,-0.0012902943794379487,-0.0,1.0,1.0,1.0854171707760347,0.0153
1990-08-26,88.17,76.17,-1.138257793309197,1.4689038836384611,-0.03320976609070061,False,False,0.0,False,True,0.0,0.0,-0.00031839996579941654,-0.0,1.0,1.0,1.0854171707760347,0.0153
1990-08-27,88.17,76.17,-1.1388475215999136,1.423984279734583,0.08947762507615353,False,True,0.0,False,False,0.0,0.0,-0.0002568066950239473,-0.0,1.0,1.0,1.0854171707760347,0.0153
1990-08-28,88.7,76.95,-1.1388413816368559,1.0661556830439451,-0.6892454344339788,False,False,0.0,False,True,0.0,0.0,-0.0020292678247713415,-0.0,1.0,1.0,1.0854171707760347,0.0153
1990-08-29,88.57,76.65,-1.1390429002238482,1.2623616978420245,-0.6584492106814509,False,False,0.0,False,False,0.0,0.0,0.0011155824964001232,0.0,1.0,1.0,1.0854171707760347,0.0153
1990-08-30,88.77,76.07,-1.1403430113863466,2.024107123840622,1.7475005105206716,False,True,0.0,False,False,0.0,0.0,0.004340036754028141,0.0,1.0,1.0,1.0854171707760347,0.0153
1990-08-31,88.82,76.2,-1.1415005114565229,1.8376610270129419,0.90576106441667,False,False,0.0,False,False,0.0,0.0,-0.0010605438921738614,-0.0,1.0,1.0,1.0854171707760347,0.0153
1990-09-01,86.77,76.32,-1.139851864458536,-0.2234942954754615,-1.825396529838517,False,False,0.0,False,True,0.0,0.0,-0.011861843195806824,-0.0,1.0,1.0,1.0854171707760347,0.0153
1990-09-02,86.77,76.32,-1.138040522222668,-0.08525265603401522,-1.12363790416422,False,False,0.0,False,False,0.0,0.0,0.0007962069879046594,0.0,1.0,1.0,1.0854171707760347,0.0153
1990-09-03,86.77,76.32,-1.1363970014607827,0.04018084851307435,-0.7543638229472677,False,False,0.0,False,False,0.0,0.0,0.0007229604339677756,0.0,1.0,1.0,1.0854171707760347,0.0153
1990-09-04,86.77,76.32,-1.1349383139805782,0.15150787700227397,-0.4626037276022118,False,False,0.0,False,False,0.0,0.0,0.000642066997215864,0.0,1.0,1.0,1.0854171707760347,0.0153
1990-09-05,87.02,77.02,-1.1330200111106845,-0.24520125574491658,-0.6181308505483266,False,False,0.0,False,False,0.0,0.0,-0.0022762066422671325,-0.0,1.0,1.0,1.0854171707760347,0.0153
1990-09-06,87.02,77.27,-1.1309098228062842,-0.3654020082415741,-1.2617316924091242,False,False,0.0,False,False,0.0,0.0,-0.0006892031503185744,-0.0,1.0,1.0,1.0854171707760347,0.0153
