Date,Price,Open,High,Low,Vol.,Change %
2016-11-21,1724.25,1725.63,1726.13,1719.63,-,1.56%
2016-11-22,1764.25,1764.75,1766.0,1762.5,-,2.32%
2016-11-23,1778.5,1780.75,1784.0,1779.5,-,0.81%
2016-11-24,1772.5,1765.5,1766.0,1762.5,-,-0.34%
2016-11-25,1758.75,1766.25,1770.25,1764.25,-,-0.78%
2016-11-28,1747.75,1736.5,1742.25,1728.5,-,-0.63%
2016-11-29,1722.25,1719.5,1723.0,1718.5,-,-1.46%
2016-11-30,1733.25,1728.0,1730.75,1726.75,-,0.64%
2016-12-01,1722.5,1722.0,1722.75,1720.0,-,-0.62%
2016-12-02,1716.5,1719.0,1721.5,1714.75,-,-0.35%
2016-12-05,1737.25,1732.5,1732.75,1727.0,-,1.21%
2016-12-06,1712.5,1710.75,1711.0,1708.0,-,-1.42%
2016-12-07,1712.25,1714.75,1719.5,1713.75,-,-0.01%
2016-12-08,1731.25,1729.75,1733.0,1729.75,-,1.11%
2016-12-09,1755.5,1754.75,1755.0,1749.0,-,1.40%
2016-12-12,1736.75,1742.5,1742.5,1738.75,-,-1.07%
2016-12-13,1749.25,1746.25,1747.25,1743.0,-,0.72%
2016-12-14,1753.75,1750.5,1751.0,1748.5,-,0.26%
2016-12-15,1743.0,1746.0,1749.0,1745.5,-,-0.61%
2016-12-16,1724.5,1746.0,1750.75,1720.0,0.06K,-1.06%
2016-12-19,1711.25,1710.5,1710.75,1703.75,-,-0.77%
2016-12-20,1720.25,1720.75,1724.0,1720.5,0.02K,0.53%
2016-12-21,1728.0,1726.63,1728.63,1725.5,-,0.45%
2016-12-22,1724.75,1726.75,1727.25,1725.75,-,-0.19%
2016-12-23,1721.25,1725.5,1726.0,1718.25,-,-0.20%
2016-12-28,1705.75,1706.5,1706.75,1705.0,0.14K,-0.90%
2016-12-29,1680.0,1686.0,1689.0,1682.0,-,-1.51%
2016-12-30,1694.0,1693.75,1698.0,1689.75,-,0.83%
2017-01-03,1688.0,1687.25,1687.75,1686.25,-,-0.35%
2017-01-04,1687.5,1690.5,1690.75,1688.75,-,-0.03%
2017-01-05,1703.75,1703.75,1704.75,1702.0,-,0.96%
2017-01-06,1715.0,1711.5,1719.75,1711.5,-,0.66%
2017-01-09,1728.75,1723.0,1726.5,1723.0,-,0.80%
2017-01-10,1751.5,1745.25,1746.25,1743.5,-,1.32%
2017-01-11,1759.5,1758.25,1758.75,1754.75,-,0.46%
2017-01-12,1789.0,1787.25,1791.25,1786.75,-,1.68%
2017-01-13,1809.0,1810.75,1811.75,1808.25,-,1.12%
2017-01-16,1787.5,1784.1,1785.85,1783.85,-,-1.19%
2017-01-17,1793.75,1796.1,1798.35,1796.1,-,0.35%
2017-01-18,1831.0,1811.75,1813.0,1809.5,-,2.08%
