Date,Price,Open,High,Low,Vol.,Change %
1991-01-03,99.086,99.086,99.086,99.086,-,-0.91%
1991-01-04,98.509,98.509,98.509,98.509,-,-0.58%
1991-01-07,101.742,101.742,101.742,101.742,-,3.28%
1991-01-08,100.285,100.285,100.285,100.285,-,-1.43%
1991-01-09,100.621,100.621,100.621,100.621,-,0.34%
1991-01-10,100.678,100.678,100.678,100.678,-,0.06%
1991-01-11,100.121,100.121,100.121,100.121,-,-0.55%
1991-01-14,103.371,103.371,103.371,103.371,-,3.25%
1991-01-15,102.295,102.295,102.295,102.295,-,-1.04%
1991-01-16,103.868,103.868,103.868,103.868,-,1.54%
1991-01-17,94.766,94.766,94.766,94.766,-,-8.76%
1991-01-18,93.319,93.319,93.319,93.319,-,-1.53%
1991-01-22,95.759,95.759,95.759,95.759,-,2.61%
1991-01-23,95.233,95.233,95.233,95.233,-,-0.55%
1991-01-24,94.462,94.462,94.462,94.462,-,-0.81%
1991-01-25,94.684,94.684,94.684,94.684,-,0.24%
1991-01-28,94.336,94.336,94.336,94.336,-,-0.37%
1991-01-29,94.963,94.963,94.963,94.963,-,0.66%
1991-01-30,93.961,93.961,93.961,93.961,-,-1.06%
1991-01-31,94.409,94.409,94.409,94.409,-,0.48%
1991-02-01,94.2,94.2,94.2,94.2,-,-0.22%
1991-02-04,94.354,94.354,94.354,94.354,-,0.16%
1991-02-05,93.937,93.937,93.937,93.937,-,-0.44%
1991-02-06,94.519,94.519,94.519,94.519,-,0.62%
1991-02-07,94.101,94.101,94.101,94.101,-,-0.44%
1991-02-08,95.083,95.083,95.083,95.083,-,1.04%
1991-02-11,95.389,95.389,95.389,95.389,-,0.32%
1991-02-12,95.751,95.751,95.751,95.751,-,0.38%
1991-02-13,95.708,95.708,95.708,95.708,-,-0.04%
1991-02-14,95.667,95.667,95.667,95.667,-,-0.04%
1991-02-15,94.477,94.477,94.477,94.477,-,-1.24%
1991-02-19,94.184,94.184,94.184,94.184,-,-0.31%
1991-02-20,94.514,94.514,94.514,94.514,-,0.35%
1991-02-21,93.65,93.65,93.65,93.65,-,-0.91%
1991-02-22,93.119,93.119,93.119,93.119,-,-0.57%
1991-02-25,93.679,93.679,93.679,93.679,-,0.60%
1991-02-26,94.315,94.315,94.315,94.315,-,0.68%
1991-02-27,94.786,94.786,94.786,94.786,-,0.50%
1991-02-28,95.903,95.903,95.903,95.903,-,1.18%
1991-03-01,96.672,96.672,96.672,96.672,-,0.80%
1991-03-04,97.657,97.657,97.657,97.657,-,1.02%
1991-03-05,98.191,98.191,98.191,98.191,-,0.55%
1991-03-06,97.747,97.747,97.747,97.747,-,-0.45%
1991-03-07,97.659,97.659,97.659,97.659,-,-0.09%
1991-03-08,97.899,97.899,97.899,97.899,-,0.25%
1991-03-11,96.624,96.624,96.624,96.624,-,-1.30%
1991-03-12,97.318,97.318,97.318,97.318,-,0.72%
1991-03-13,98.052,98.052,98.052,98.052,-,0.75%
1991-03-14,97.253,97.253,97.253,97.253,-,-0.81%
1991-03-15,96.504,96.504,96.504,96.504,-,-0.77%
1991-03-18,96.079,96.079,96.079,96.079,-,-0.44%
1991-03-19,96.844,96.844,96.844,96.844,-,0.80%
1991-03-20,96.755,96.755,96.755,96.755,-,-0.09%
1991-03-21,97.454,97.454,97.454,97.454,-,0.72%
1991-03-22,97.04,97.04,97.04,97.04,-,-0.42%
1991-03-25,96.085,96.085,96.085,96.085,-,-0.98%
1991-03-26,95.987,95.987,95.987,95.987,-,-0.10%
1991-03-27,95.668,95.668,95.668,95.668,-,-0.33%
1991-03-28,96.125,96.125,96.125,96.125,-,0.48%
1991-04-01,96.781,96.781,96.781,96.781,-,0.68%
1991-04-02,97.343,97.343,97.343,97.343,-,0.58%
1991-04-03,96.858,96.858,96.858,96.858,-,-0.50%
1991-04-04,97.073,97.073,97.073,97.073,-,0.22%
1991-04-05,97.101,97.101,97.101,97.101,-,0.03%
1991-04-08,97.483,97.483,97.483,97.483,-,0.39%
1991-04-09,97.204,97.204,97.204,97.204,-,-0.29%
1991-04-10,97.967,97.967,97.967,97.967,-,0.78%
1991-04-11,97.613,97.613,97.613,97.613,-,-0.36%
1991-04-12,97.944,97.944,97.944,97.944,-,0.34%
1991-04-15,98.157,98.157,98.157,98.157,-,0.22%
1991-04-16,98.105,98.105,98.105,98.105,-,-0.05%
1991-04-17,98.096,98.096,98.096,98.096,-,-0.01%
1991-04-18,97.375,97.375,97.375,97.375,-,-0.73%
1991-04-19,97.418,97.418,97.418,97.418,-,0.04%
