Date,Price,Open,High,Low,Vol.,Change %
1990-01-03,18.19,18.19,18.19,18.19,-,5.51%
1990-01-04,19.22,19.22,19.22,19.22,-,5.66%
1990-01-05,20.11,20.11,20.11,20.11,-,4.63%
1990-01-08,20.26,20.26,20.26,20.26,-,0.75%
1990-01-09,22.2,22.2,22.2,22.2,-,9.58%
1990-01-10,22.44,22.44,22.44,22.44,-,1.08%
1990-01-11,20.05,20.05,20.05,20.05,-,-10.65%
1990-01-12,24.64,24.64,24.64,24.64,-,22.89%
1990-01-15,26.34,26.34,26.34,26.34,-,6.90%
1990-01-16,24.18,24.18,24.18,24.18,-,-8.20%
1990-01-17,24.16,24.16,24.16,24.16,-,-0.08%
1990-01-18,24.34,24.34,24.34,24.34,-,0.75%
1990-01-19,22.5,22.5,22.5,22.5,-,-7.56%
1990-01-22,26.7,26.7,26.7,26.7,-,18.67%
1990-01-23,24.72,24.72,24.72,24.72,-,-7.42%
1990-01-24,25.39,25.39,25.39,25.39,-,2.71%
1990-01-25,25.63,25.63,25.63,25.63,-,0.95%
1990-01-26,26.28,26.28,26.28,26.28,-,2.54%
1990-01-29,26.44,26.44,26.44,26.44,-,0.61%
1990-01-30,27.25,27.25,27.25,27.25,-,3.06%
1990-01-31,25.36,25.36,25.36,25.36,-,-6.94%
1990-02-01,24.87,24.87,24.87,24.87,-,-1.93%
1990-02-02,24.32,24.32,24.32,24.32,-,-2.21%
1990-02-05,24.54,24.54,24.54,24.54,-,0.90%
1990-02-06,24.69,24.69,24.69,24.69,-,0.61%
1990-02-07,24.29,24.29,24.29,24.29,-,-1.62%
1990-02-08,23.77,23.77,23.77,23.77,-,-2.14%
1990-02-09,23.69,23.69,23.69,23.69,-,-0.34%
1990-02-12,24.38,24.38,24.38,24.38,-,2.91%
1990-02-13,23.76,23.76,23.76,23.76,-,-2.54%
1990-02-14,22.05,22.05,22.05,22.05,-,-7.20%
1990-02-15,19.71,19.71,19.71,19.71,-,-10.61%
1990-02-16,20.78,20.78,20.78,20.78,-,5.43%
1990-02-20,22.78,22.78,22.78,22.78,-,9.62%
1990-02-21,23.89,23.89,23.89,23.89,-,4.87%
1990-02-22,22.54,22.54,22.54,22.54,-,-5.65%
1990-02-23,23.69,23.69,23.69,23.69,-,5.10%
1990-02-26,23.56,23.56,23.56,23.56,-,-0.55%
1990-02-27,22.69,22.69,22.69,22.69,-,-3.69%
1990-02-28,21.99,21.99,21.99,21.99,-,-3.09%
1990-03-01,21.9,21.9,21.9,21.9,-,-0.41%
1990-03-02,21.34,21.34,21.34,21.34,-,-2.56%
1990-03-05,22.03,22.03,22.03,22.03,-,3.23%
1990-03-06,20.55,20.55,20.55,20.55,-,-6.72%
1990-03-07,19.1,19.1,19.1,19.1,-,-7.06%
1990-03-08,19.74,19.74,19.74,19.74,-,3.35%
1990-03-09,20.3,20.3,20.3,20.3,-,2.84%
1990-03-12,20.07,20.07,20.07,20.07,-,-1.13%
1990-03-13,21.05,21.05,21.05,21.05,-,4.88%
1990-03-14,19.65,19.65,19.65,19.65,-,-6.65%
1990-03-15,18.81,18.81,18.81,18.81,-,-4.27%
1990-03-16,17.62,17.62,17.62,17.62,-,-6.33%
1990-03-19,18.29,18.29,18.29,18.29,-,3.80%
1990-03-20,19.06,19.06,19.06,19.06,-,4.21%
1990-03-21,20.1,20.1,20.1,20.1,-,5.46%
1990-03-22,22.74,22.74,22.74,22.74,-,13.13%
1990-03-23,20.46,20.46,20.46,20.46,-,-10.03%
1990-03-26,19.59,19.59,19.59,19.59,-,-4.25%
1990-03-27,21.01,21.01,21.01,21.01,-,7.25%
1990-03-28,19.77,19.77,19.77,19.77,-,-5.90%
1990-03-29,18.46,18.46,18.46,18.46,-,-6.63%
1990-03-30,19.73,19.73,19.73,19.73,-,6.88%
1990-04-02,22.84,22.84,22.84,22.84,-,15.76%
1990-04-03,20.44,20.44,20.44,20.44,-,-10.51%
1990-04-04,22.03,22.03,22.03,22.03,-,7.78%
1990-04-05,21.21,21.21,21.21,21.21,-,-3.72%
1990-04-06,21.76,21.76,21.76,21.76,-,2.59%
1990-04-09,22.3,22.3,22.3,22.3,-,2.48%
1990-04-10,21.69,21.69,21.69,21.69,-,-2.74%
1990-04-11,17.73,17.73,17.73,17.73,-,-18.26%
1990-04-12,19.8,19.8,19.8,19.8,-,11.68%
1990-04-16,20.75,20.75,20.75,20.75,-,4.80%
1990-04-17,20.38,20.38,20.38,20.38,-,-1.78%
1990-04-18,22.67,22.67,22.67,22.67,-,11.24%
1990-04-19,22.46,22.46,22.46,22.46,-,-0.93%
1990-04-20,23.33,23.33,23.33,23.33,-,3.87%
1990-04-23,24.16,24.16,24.16,24.16,-,3.56%
1990-04-24,21.7,21.7,21.7,21.7,-,-10.18%
1990-04-25,20.86,20.86,20.86,20.86,-,-3.87%
1990-04-26,20.25,20.25,20.25,20.25,-,-2.92%
1990-04-27,22.19,22.19,22.19,22.19,-,9.58%
1990-04-30,19.52,19.52,19.52,19.52,-,-12.03%
1990-05-01,18.43,18.43,18.43,18.43,-,-5.58%
1990-05-02,19.32,19.32,19.32,19.32,-,4.83%
1990-05-03,17.81,17.81,17.81,17.81,-,-7.82%
1990-05-04,17.28,17.28,17.28,17.28,-,-2.98%
1990-05-07,17.65,17.65,17.65,17.65,-,2.14%
1990-05-08,18.49,18.49,18.49,18.49,-,4.76%
1990-05-09,18.64,18.64,18.64,18.64,-,0.81%
1990-05-10,18.59,18.59,18.59,18.59,-,-0.27%
1990-05-11,19.81,19.81,19.81,19.81,-,6.56%
1990-05-14,20.14,20.14,20.14,20.14,-,1.67%
1990-05-15,19.49,19.49,19.49,19.49,-,-3.23%
1990-05-16,17.71,17.71,17.71,17.71,-,-9.13%
1990-05-17,17.27,17.27,17.27,17.27,-,-2.48%
1990-05-18,17.2,17.2,17.2,17.2,-,-0.41%
1990-05-21,16.72,16.72,16.72,16.72,-,-2.79%
1990-05-22,17.84,17.84,17.84,17.84,-,6.70%
1990-05-23,17.18,17.18,17.18,17.18,-,-3.70%
1990-05-24,17.7,17.7,17.7,17.7,-,3.03%
1990-05-25,17.32,17.32,17.32,17.32,-,-2.15%
1990-05-29,18.75,18.75,18.75,18.75,-,8.26%
1990-05-30,17.44,17.44,17.44,17.44,-,-6.99%
1990-05-31,17.37,17.37,17.37,17.37,-,-0.40%
1990-06-01,17.09,17.09,17.09,17.09,-,-1.61%
1990-06-04,18.39,18.39,18.39,18.39,-,7.61%
1990-06-05,18.97,18.97,18.97,18.97,-,3.15%
1990-06-06,17.42,17.42,17.42,17.42,-,-8.17%
1990-06-07,16.88,16.88,16.88,16.88,-,-3.10%
1990-06-08,17.58,17.58,17.58,17.58,-,4.15%
1990-06-11,16.34,16.34,16.34,16.34,-,-7.05%
1990-06-12,16.6,16.6,16.6,16.6,-,1.59%
1990-06-13,17.38,17.38,17.38,17.38,-,4.70%
1990-06-14,17.4,17.4,17.4,17.4,-,0.12%
1990-06-15,15.9,15.9,15.9,15.9,-,-8.62%
1990-06-18,17.71,17.71,17.71,17.71,-,11.38%
1990-06-19,15.23,15.23,15.23,15.23,-,-14.00%
1990-06-20,15.27,15.27,15.27,15.27,-,0.26%
1990-06-21,14.72,14.72,14.72,14.72,-,-3.60%
1990-06-22,19.36,19.36,19.36,19.36,-,31.52%
1990-06-25,17.06,17.06,17.06,17.06,-,-11.88%
1990-06-26,16.29,16.29,16.29,16.29,-,-4.51%
1990-06-27,16.0,16.0,16.0,16.0,-,-1.78%
1990-06-28,16.18,16.18,16.18,16.18,-,1.13%
1990-06-29,15.5,15.5,15.5,15.5,-,-4.20%
1990-07-02,16.26,16.26,16.26,16.26,-,4.90%
1990-07-03,16.11,16.11,16.11,16.11,-,-0.92%
1990-07-05,17.25,17.25,17.25,17.25,-,7.08%
1990-07-06,16.41,16.41,16.41,16.41,-,-4.87%
1990-07-09,16.66,16.66,16.66,16.66,-,1.52%
1990-07-10,16.92,16.92,16.92,16.92,-,1.56%
1990-07-11,16.68,16.68,16.68,16.68,-,-1.42%
1990-07-12,17.06,17.06,17.06,17.06,-,2.28%
1990-07-13,17.09,17.09,17.09,17.09,-,0.18%
1990-07-16,16.75,16.75,16.75,16.75,-,-1.99%
1990-07-17,16.66,16.66,16.66,16.66,-,-0.54%
1990-07-18,18.9,18.9,18.9,18.9,-,13.45%
1990-07-19,18.56,18.56,18.56,18.56,-,-1.80%
1990-07-20,15.63,15.63,15.63,15.63,-,-15.79%
1990-07-23,23.68,23.68,23.68,23.68,-,51.50%
1990-07-24,21.79,21.79,21.79,21.79,-,-7.98%
