Date,Price,Open,High,Low,Vol.,Change %
1988-08-01,0.8909999999999999,0.8909999999999999,0.8909999999999999,0.8909999999999999,-,-1.66%
1988-08-02,0.88,0.88,0.88,0.88,-,-1.23%
1988-08-03,0.888,0.888,0.888,0.888,-,0.91%
1988-08-04,0.903,0.903,0.903,0.903,-,1.69%
1988-08-05,0.912,0.912,0.912,0.912,-,1.00%
1988-08-08,0.8959999999999999,0.8959999999999999,0.8959999999999999,0.8959999999999999,-,-1.75%
1988-08-09,0.898,0.898,0.898,0.898,-,0.22%
1988-08-10,0.91,0.91,0.91,0.91,-,1.34%
1988-08-11,0.93,0.93,0.93,0.93,-,2.20%
1988-08-12,0.9179999999999999,0.9179999999999999,0.9179999999999999,0.9179999999999999,-,-1.29%
1988-08-15,0.92,0.92,0.92,0.92,-,0.22%
1988-08-16,0.9179999999999999,0.9179999999999999,0.9179999999999999,0.9179999999999999,-,-0.22%
1988-08-17,0.925,0.925,0.925,0.925,-,0.76%
1988-08-18,0.9570000000000001,0.9570000000000001,0.9570000000000001,0.9570000000000001,-,3.46%
1988-08-19,0.9620000000000001,0.9620000000000001,0.9620000000000001,0.9620000000000001,-,0.52%
1988-08-22,0.986,0.986,0.986,0.986,-,2.49%
1988-08-23,0.983,0.983,0.983,0.983,-,-0.30%
1988-08-24,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.9890000000000001,-,0.61%
1988-08-25,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9990000000000001,-,1.01%
1988-08-26,1.008,1.008,1.008,1.008,-,0.90%
1988-08-29,1.005,1.005,1.005,1.005,-,-0.30%
1988-08-30,1.0,1.0,1.0,1.0,-,-0.50%
1988-08-31,1.012,1.012,1.012,1.012,-,1.20%
1988-09-01,0.99,0.99,0.99,0.99,-,-2.17%
1988-09-02,0.986,0.986,0.986,0.986,-,-0.40%
1988-09-06,0.991,0.991,0.991,0.991,-,0.51%
1988-09-07,0.993,0.993,0.993,0.993,-,0.20%
1988-09-08,1.0,1.0,1.0,1.0,-,0.70%
