Date,Price,Open,High,Low,Vol.,Change %
2002-04-08,10267.0,10278.0,10280.0,10105.0,4.23K,-0.22%
2002-04-09,10222.0,10290.0,10312.0,10204.0,4.23K,-0.44%
2002-04-10,10387.0,10229.0,10399.0,10215.0,6.19K,1.61%
2002-04-11,10170.0,10378.0,10378.0,10158.0,6.37K,-2.09%
2002-04-12,10194.0,10210.0,10240.0,10140.0,5.39K,0.24%
2002-04-15,10093.0,10196.0,10230.0,10068.0,5.39K,-0.99%
2002-04-16,10304.0,10141.0,10344.0,10132.0,6.74K,2.09%
2002-04-17,10228.0,10309.0,10338.0,10185.0,5.34K,-0.74%
2002-04-18,10175.0,10238.0,10272.0,10040.0,4.86K,-0.52%
2002-04-19,10252.0,10140.0,10274.0,10140.0,4.24K,0.76%
2002-04-22,10135.0,10247.0,10263.0,10111.0,3.31K,-1.14%
2002-04-23,10095.0,10148.0,10177.0,10065.0,7.04K,-0.39%
2002-04-24,10020.0,10115.0,10161.0,10015.0,7.04K,-0.74%
2002-04-25,10042.0,10015.0,10045.0,9919.0,8.12K,0.22%
2002-04-26,9865.0,10036.0,10077.0,9860.0,8.12K,-1.76%
2002-04-29,9818.0,9907.0,9933.0,9806.0,4.62K,-0.48%
2002-04-30,9930.0,9836.0,10003.0,9817.0,6.33K,1.14%
2002-05-01,10070.0,9963.0,10081.0,9820.0,6.33K,1.41%
2002-05-02,10090.0,10076.0,10114.0,10029.0,6.25K,0.20%
2002-05-03,9986.0,10074.0,10108.0,9920.0,5.55K,-1.03%
2002-05-06,9790.0,10004.0,10018.0,9781.0,5.55K,-1.96%
2002-05-07,9800.0,9800.0,9920.0,9790.0,6.60K,0.10%
2002-05-08,10115.0,9875.0,10148.0,9871.0,6.60K,3.21%
2002-05-09,10033.0,10127.0,10134.0,10008.0,6.70K,-0.81%
2002-05-10,10033.0,10041.0,10080.0,9910.0,5.09K,0.00%
2002-05-13,10105.0,9938.0,10111.0,9915.0,5.09K,0.72%
2002-05-14,10105.0,10110.0,10297.0,10089.0,5.81K,0.00%
2002-05-15,10291.0,10291.0,10349.0,10220.0,5.81K,1.84%
2002-05-16,10265.0,10267.0,10319.0,10228.0,7.45K,-0.25%
2002-05-17,10293.0,10333.0,10364.0,10256.0,3.86K,0.27%
2002-05-20,10240.0,10335.0,10335.0,10210.0,5.07K,-0.51%
2002-05-21,10240.0,10232.0,10285.0,10087.0,5.07K,0.00%
2002-05-22,10123.0,10135.0,10159.0,10062.0,6.80K,-1.14%
2002-05-23,10152.0,10127.0,10228.0,10086.0,5.87K,0.29%
2002-05-24,10220.0,10221.0,10245.0,10085.0,5.87K,0.67%
2002-05-28,10093.0,10125.0,10143.0,9965.0,7.20K,-1.24%
2002-05-29,10003.0,9995.0,9998.0,9915.0,6.61K,-0.89%
2002-05-30,9925.0,9940.0,9967.0,9801.0,6.61K,-0.78%
2002-05-31,9921.0,9935.0,10047.0,9889.0,5.17K,-0.04%
2002-06-03,9683.0,9899.0,9990.0,9678.0,7.63K,-2.40%
2002-06-04,9683.0,9700.0,9750.0,9593.0,10.17K,0.00%
2002-06-05,9700.0,9735.0,9812.0,9688.0,10.17K,0.18%
2002-06-06,9805.0,9800.0,9821.0,9510.0,6.60K,1.08%
2002-06-07,9630.0,9546.0,9641.0,9468.0,6.29K,-1.78%
2002-06-10,9654.0,9614.0,9718.0,9560.0,7.69K,0.25%
2002-06-11,9654.0,9642.0,9764.0,9505.0,7.69K,0.00%
2002-06-12,9525.0,9546.0,9633.0,9448.0,8.48K,-1.34%
2002-06-13,9622.0,9652.0,9655.0,9488.0,1.71K,1.02%
2002-06-14,9514.0,9505.0,9505.0,9250.0,0.67K,-1.12%
2002-06-17,9681.0,9515.0,9697.0,9513.0,0.67K,1.76%
2002-06-18,9681.0,9651.0,9720.0,9641.0,0.17K,0.00%
2002-06-19,9756.0,9640.0,9736.0,9541.0,0.11K,0.77%
2002-06-20,9563.0,9555.0,9563.0,9405.0,0.15K,-1.98%
2002-06-21,9267.0,9420.0,9480.0,9205.0,8.12K,-3.10%
2002-06-24,9310.0,9270.0,9382.0,9070.0,13.58K,0.46%
2002-06-25,9310.0,9338.0,9405.0,9100.0,9.59K,0.00%
2002-06-26,9105.0,9000.0,9171.0,8864.0,8.57K,-2.20%
2002-06-27,9115.0,9140.0,9278.0,9025.0,7.88K,0.11%
2002-06-28,9266.0,9289.0,9360.0,9222.0,3.83K,1.66%
2002-07-01,9096.0,9225.0,9324.0,9088.0,5.20K,-1.83%
2002-07-02,9096.0,9076.0,9141.0,8958.0,5.13K,0.00%
2002-07-03,9010.0,9025.0,9070.0,8893.0,5.13K,-0.95%
2002-07-05,9392.0,9052.0,9412.0,9050.0,2.97K,4.24%
2002-07-08,9278.0,9393.0,9393.0,9237.0,5.00K,-1.21%
2002-07-09,9278.0,9295.0,9324.0,9077.0,5.06K,0.00%
2002-07-10,8797.0,9096.0,9172.0,8775.0,5.06K,-5.18%
2002-07-11,8797.0,8803.0,8858.0,8597.0,8.69K,0.00%
2002-07-12,8797.0,8830.0,8879.0,8590.0,6.93K,0.00%
2002-07-15,8662.0,8636.0,8689.0,8232.0,11.58K,-1.53%
2002-07-16,8662.0,8662.0,8664.0,8395.0,11.58K,0.00%
2002-07-17,8473.0,8439.0,8721.0,8402.0,9.27K,-2.18%
2002-07-18,8525.0,8520.0,8630.0,8341.0,7.45K,0.61%
2002-07-19,8365.0,8351.0,8356.0,7948.0,8.84K,-1.88%
2002-07-22,7785.0,7920.0,8113.0,7698.0,13.74K,-6.93%
2002-07-23,7785.0,7815.0,7950.0,7646.0,13.74K,0.00%
2002-07-24,7698.0,7685.0,8230.0,7460.0,12.97K,-1.12%
2002-07-25,8205.0,8200.0,8306.0,7918.0,12.97K,6.59%
2002-07-26,8170.0,8170.0,8276.0,8077.0,6.93K,-0.43%
2002-07-29,8665.0,8290.0,8711.0,8277.0,8.75K,6.06%
2002-07-30,8665.0,8645.0,8757.0,8530.0,9.78K,0.00%
2002-07-31,8694.0,8660.0,8770.0,8523.0,10.51K,0.33%
2002-08-01,8705.0,8687.0,8706.0,8452.0,10.08K,0.13%
2002-08-02,8478.0,8460.0,8493.0,8185.0,9.15K,-2.61%
2002-08-05,8037.0,8295.0,8302.0,8011.0,10.59K,-5.20%
2002-08-06,8037.0,8022.0,8413.0,7980.0,10.58K,0.00%
2002-08-07,8285.0,8325.0,8460.0,8205.0,11.97K,3.09%
