Date,Open,High,Low,Price,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
8/17/90,232.25,240.75,231.5,240.5,,,5534,15239,,,
8/20/90,240.5,252.5,240,251.5,,,5102,16273,,,
8/21/90,256,270,256,265,,,8615,17475,,,
8/22/90,270.5,278,270,275.25,,,7442,21498,,,
8/23/90,300,300,283,290.5,,,6115,20696,,,
8/24/90,287,288.25,277,281,,,6880,20696,,,
8/28/90,238,247.5,233.5,242.5,,,5826,25022,,,
8/29/90,243,243,223,226,,,7427,23543,,,
8/30/90,223.5,234.75,223.5,234.5,,,7463,23538,,,
8/31/90,235.5,242,235.5,242,,,4211,21874,,,
9/3/90,247,260.25,247,260,,,4379,22081,,,
9/4/90,263.5,264.5,255,261,,,8662,22821,,,
9/5/90,265,267,257.5,260.75,,,6984,20509,,,
9/6/90,267.5,268.75,263.25,268.25,,,6245,22302,,,
9/7/90,268,268.5,259,260.75,,,7652,22954,,,
9/10/90,250,255,244,248.25,,,6119,22101,,,
9/11/90,253,259.75,250.5,258,,,5820,23287,,,
9/12/90,253,258,251,255,,,6650,23332,,,
9/13/90,258.5,263.5,257.5,259.5,,,3111,13764,,,
9/14/90,261.5,266,260.25,261.5,,,2480,14252,,,
9/17/90,265,271,263,269,,,3250,15502,,,
9/18/90,277,281,272,275.5,,,4587,16819,,,
9/19/90,273.5,275.25,269.75,273.5,,,3911,17523,,,
9/20/90,281,284.75,280,284.25,,,5140,18058,,,
9/21/90,295,301,293.5,300.75,,,5504,19186,,,
9/24/90,314,336.75,312,336.5,,,4805,19264,,,
9/25/90,338,338,322,327,,,6120,18945,,,
9/26/90,322,325.5,308,322.25,,,6030,18569,,,
9/27/90,322.5,332,313,331.25,,,5000,19125,,,
9/28/90,334,340.5,330,339.75,,,5117,15589,,,
10/1/90,330.5,335.5,313,313,,,4680,15221,,,
10/2/90,301,310.25,295,307.25,,,6291,17831,,,
10/3/90,302,308,300,307.75,,,4729,17243,,,
10/4/90,314,324,314,318.25,,,5995,19271,,,
10/5/90,320,328,319.5,326.75,,,5959,19698,,,
10/8/90,325,330.5,323,328.75,,,4238,19459,,,
10/9/90,332,346,332,343,,,6127,23709,,,
10/10/90,347,349.5,334.5,335,,,8138,24816,,,
10/11/90,343,343,336.25,341.75,,,9398,26693,,,
10/12/90,327,332,319.5,326,,,2901,17635,,,
10/15/90,318,322,314,316.75,,,2187,18051,,,
10/16/90,309,315.5,305,313.5,,,3405,18188,,,
10/17/90,317,320.5,311.5,312,,,2533,23568,,,
10/18/90,303,307.5,287,289,,,5028,19638,,,
10/19/90,276,283,273.25,280.75,,,4950,20134,,,
10/22/90,260,260.75,236.5,237.25,,,7172,22452,,,
10/23/90,243,256,240,250,,,5047,22414,,,
10/24/90,250,262,249,259.75,,,5976,22010,,,
10/25/90,270,285.25,266,285.25,,,8943,22972,,,
10/26/90,302.5,310,281.75,286.75,,,0,23186,,,
10/29/90,300,300,291.5,295.75,,,7558,22967,,,
10/30/90,306,306,294,298,,,4867,23138,,,
10/31/90,292,292,281.5,286,,,5156,21826,,,
11/1/90,295,305,293.75,297,,,4751,22532,,,
11/2/90,290,294,284.5,289,,,2683,21476,,,
11/5/90,285,285,275.25,283.5,,,4174,22687,,,
11/6/90,274,280.5,270,280,,,5677,23570,,,
11/7/90,276,291,275.75,290.25,,,4368,23192,,,
11/8/90,298,301.5,295,301,,,5300,24998,,,
11/9/90,298,304.5,296,304,,,6502,23474,,,
11/12/90,290,296,284,288,,,6584,22905,,,
11/13/90,276,281,273.5,281,,,2226,13380,,,
11/14/90,283,283,277,278.5,,,2413,14694,,,
11/15/90,271,276.75,271,274.75,,,2434,15224,,,
11/16/90,269,269.5,261.5,264,,,2938,16318,,,
11/19/90,256,267,251,265.5,,,7391,19088,,,
11/20/90,264,264.75,258,262.5,,,1559,18312,,,
11/21/90,261,264.5,260,262.5,,,2073,17829,,,
11/22/90,261,271.5,261,270.75,,,1661,18039,,,
11/23/90,275,276.5,273,276,,,3794,19307,,,
11/26/90,287.75,302,287.75,294.75,,,4872,20678,,,
11/27/90,296,298.25,287,289.5,,,3969,21122,,,
11/28/90,286,287.5,279.5,286.75,,,4451,22486,,,
11/29/90,293,295.5,291.5,294.75,,,4079,22787,,,
11/30/90,288.5,291.25,276,277.25,,,4847,23858,,,
12/3/90,265,280.25,264,279,,,6842,26013,,,
12/4/90,273,281,273,279.5,,,3355,23956,,,
12/5/90,276,278,270,271,,,6393,25439,,,
12/6/90,264,269.25,250,257.75,,,11334,27302,,,
12/7/90,255,261,253,253.5,,,5406,26843,,,
12/10/90,253,271.5,253,267.5,,,6150,25671,,,
12/11/90,270,270,254,257,,,9399,26430,,,
12/12/90,259.5,259.5,249,250.75,,,14012,24977,,,
12/13/90,232,234.75,228,233.25,,,1852,9415,,,
12/14/90,236,242,233,241.5,,,2725,10514,,,
12/17/90,244.75,246.25,239.25,240.75,,,1778,10447,,,
12/18/90,242.5,242.5,237,237.75,,,1753,10775,,,
12/19/90,240.75,243,239.25,242.25,,,1413,10816,,,
12/20/90,239.75,245.5,239.75,245,,,2580,11974,,,
12/21/90,242,244.25,241.5,243.5,,,2709,12751,,,
12/24/90,250,255,249,254.75,,,684,11860,,,
12/27/90,249,251.75,249,251,,,1136,12200,,,
12/28/90,250,252,249,252,,,1763,12827,,,
12/31/90,254,261,254,258.25,,,2166,12736,,,
1/2/91,258,258.75,246.25,246.75,,,2734,13622,,,
1/3/91,241,244,225.5,225.75,,,4635,14184,,,
1/4/91,231.75,232,217,218.5,,,4482,15117,,,
1/7/91,235.5,238.75,227.5,235,,,6795,16954,,,
1/8/91,243,244.75,238.5,239.25,,,4855,15796,,,
1/9/91,244.5,244.5,213,220.75,,,8893,17734,,,
