Date,Price
1/2/73,8.02
1/3/73,8.02
1/4/73,8
1/5/73,8.01
1/8/73,8
1/9/73,8
1/10/73,8
1/11/73,8
1/12/73,8
1/15/73,8
1/16/73,8.01
1/17/73,8.01
1/18/73,8.01
1/19/73,8
1/22/73,8
1/23/73,8
1/24/73,8
1/25/73,8
1/26/73,8
1/29/73,8.01
1/30/73,8
1/31/73,8
2/1/73,8
2/2/73,8
2/5/73,7.97
2/6/73,8
2/7/73,8
2/8/73,8.01
2/9/73,8.01
2/15/73,7.58
2/16/73,7.58
2/20/73,7.58
2/21/73,7.58
2/22/73,7.58
2/23/73,7.58
2/26/73,7.55
2/27/73,7.52
2/28/73,7.52
3/1/73,7.55
3/6/73,7.35
3/7/73,7.19
3/8/73,7.25
3/9/73,7.55
3/12/73,7.52
3/13/73,7.52
3/14/73,7.94
3/15/73,7.52
3/16/73,7.81
3/19/73,7.6
3/20/73,7.58
3/21/73,7.58
3/22/73,7.58
3/23/73,7.58
3/26/73,7.58
3/27/73,7.55
3/28/73,7.55
3/29/73,7.58
3/30/73,7.55
4/2/73,7.58
4/3/73,7.55
4/4/73,7.55
4/5/73,7.55
4/6/73,7.55
4/9/73,7.55
4/10/73,7.55
4/11/73,7.52
4/12/73,7.5
4/13/73,7.52
4/16/73,7.52
4/17/73,7.55
4/18/73,7.55
4/19/73,7.55
4/20/73,7.55
4/23/73,7.55
4/24/73,7.56
4/25/73,7.55
4/26/73,7.56
4/27/73,7.58
4/30/73,7.53
5/1/73,7.54
5/2/73,7.52
5/3/73,7.55
5/4/73,7.55
5/7/73,7.55
5/8/73,7.55
5/9/73,7.52
5/10/73,7.52
5/11/73,7.52
5/14/73,7.46
5/15/73,7.46
5/16/73,7.49
5/17/73,7.52
5/18/73,7.52
5/21/73,7.52
5/22/73,7.52
5/23/73,7.52
5/24/73,7.46
5/25/73,7.41
5/29/73,7.4
5/30/73,7.35
5/31/73,7.39
6/1/73,7.25
6/4/73,7.22
6/5/73,7.22
6/6/73,7.27
6/7/73,7.25
6/8/73,7.3
6/11/73,7.3
6/12/73,7.33
6/13/73,7.33
6/14/73,7.26
6/15/73,7.3
6/18/73,7.25
6/19/73,7.25
6/20/73,7.25
6/21/73,7.25
6/22/73,7.3
6/25/73,7.27
6/26/73,7.27
6/27/73,7.27
6/28/73,7.27
6/29/73,7.3
7/2/73,7.3
7/3/73,7.27
7/5/73,7.27
7/6/73,7.3
7/9/73,7.3
7/10/73,7.3
7/11/73,7.3
7/12/73,7.25
7/13/73,7.3
7/16/73,7.3
7/17/73,7.27
7/18/73,7.27
7/19/73,7.27
7/20/73,7.41
7/23/73,7.41
7/24/73,7.46
7/25/73,7.46
7/26/73,7.46
7/27/73,7.49
7/30/73,7.49
7/31/73,7.49
8/1/73,7.49
8/2/73,7.49
8/3/73,7.49
8/6/73,7.52
8/7/73,7.52
8/8/73,7.46
8/9/73,7.49
8/10/73,7.49
8/13/73,7.62
8/14/73,7.58
8/15/73,7.6
8/16/73,7.58
8/17/73,7.66
8/20/73,7.66
8/21/73,7.66
8/22/73,7.6
8/23/73,7.6
8/24/73,7.6
8/27/73,7.58
8/28/73,7.58
8/29/73,7.55
8/30/73,7.58
8/31/73,7.58
9/4/73,7.58
9/5/73,7.55
9/6/73,7.58
9/7/73,7.58
9/10/73,7.6
9/11/73,7.6
9/12/73,7.75
9/13/73,7.78
9/14/73,7.78
9/17/73,7.75
9/18/73,7.78
9/19/73,7.75
9/20/73,7.75
9/21/73,7.75
9/24/73,7.72
9/25/73,7.75
9/26/73,7.75
9/27/73,7.75
9/28/73,7.75
10/1/73,7.72
10/2/73,7.78
10/3/73,7.78
10/4/73,7.78
10/5/73,7.78
10/9/73,7.78
10/10/73,7.75
10/11/73,7.75
10/12/73,7.75
10/15/73,7.78
10/16/73,7.72
10/17/73,7.69
10/18/73,7.69
10/19/73,7.69
10/23/73,7.69
10/24/73,7.69
10/25/73,7.69
10/26/73,7.69
10/29/73,7.69
10/30/73,7.69
10/31/73,7.69
11/1/73,7.68
11/2/73,7.68
11/5/73,7.7
11/7/73,7.76
11/8/73,7.76
11/9/73,7.78
11/12/73,7.69
11/13/73,7.69
11/14/73,7.69
11/15/73,7.69
11/16/73,7.86
11/19/73,7.86
11/20/73,7.83
11/21/73,7.83
11/23/73,8
11/26/73,8
11/27/73,8
11/28/73,8.06
11/29/73,8.06
11/30/73,8.06
12/3/73,8.03
12/4/73,8.03
12/5/73,8.03
12/6/73,8.06
12/7/73,8.06
12/10/73,8.06
12/11/73,8.06
12/12/73,8.13
12/13/73,8.13
12/14/73,8.13
