Date,Open,High,Low,Price,Change,Settle,Volume,Previous Day Open Interest
11/30/64,24,24,23.5,23.67,,23.67,117,89
12/1/64,23.7,23.7,23.35,23.5,,23.5,52,121
12/2/64,23.55,23.55,23.4,23.42,,23.42,13,131
12/3/64,23.45,23.5,23.3,23.45,,23.45,24,149
12/4/64,23.42,23.45,23.4,23.4,,23.4,18,161
12/7/64,23.4,23.4,23.3,23.32,,23.32,21,175
12/8/64,23.25,23.25,23.05,23.07,,23.07,45,185
12/9/64,23.07,23.07,22.97,23,,23,31,200
12/10/64,22.95,22.97,22.82,22.95,,22.95,39,215
12/11/64,23,23.17,22.95,23,,23,29,231
12/14/64,23.02,23.17,23,23.17,,23.17,28,244
12/15/64,23.07,23.2,23,23.15,,23.15,23,258
12/16/64,23.15,23.15,22.95,23,,23,51,293
12/17/64,22.95,23.12,22.95,23,,23,22,300
12/18/64,23,23.12,23,23.1,,23.1,17,302
12/21/64,23.2,23.47,23.17,23.35,,23.35,66,334
12/22/64,23.3,23.4,23.2,23.35,,23.35,41,334
12/23/64,23.4,23.5,23.4,23.45,,23.45,36,350
12/24/64,23.45,23.55,23.45,23.55,,23.55,25,365
12/28/64,23.47,23.5,23.35,23.5,,23.5,45,385
12/29/64,23.5,23.5,23.32,23.32,,23.32,22,396
12/30/64,23.37,23.4,23.3,23.32,,23.32,15,404
12/31/64,23.35,23.45,23.35,23.45,,23.45,22,410
1/4/65,23.45,23.5,23.45,23.45,,23.45,34,423
1/5/65,23.5,23.5,23.45,23.45,,23.45,24,438
1/6/65,23.4,23.47,23.4,23.45,,23.45,10,438
1/7/65,23.45,23.45,23.4,23.4,,23.4,11,435
1/8/65,23.45,23.45,23.3,23.45,,23.45,10,440
1/11/65,23.42,23.45,23.35,23.35,,23.35,14,445
1/12/65,23.35,23.37,23.32,23.37,,23.37,20,451
1/13/65,23.4,23.4,23.3,23.3,,23.3,23,462
1/14/65,23.35,23.35,23.3,23.32,,23.32,9,471
1/15/65,23.35,23.45,23.3,23.45,,23.45,54,505
1/18/65,23.5,23.6,23.47,23.52,,23.52,47,520
1/19/65,23.55,23.55,23.5,23.5,,23.5,11,520
1/20/65,23.4,23.45,23.4,23.4,,23.4,12,527
1/21/65,23.4,23.45,23.4,23.4,,23.4,9,529
1/22/65,23.45,23.47,23.4,23.45,,23.45,32,544
1/25/65,23.5,23.5,23.45,23.45,,23.45,11,552
