Date,Open,High,Low,Last,Change,Price,Volume,Previous Day Open Interest
1/5/77,51.2,51.25,51.2,51.25,,51.25,5,371
1/6/77,51.75,51.9,51.75,51.9,,51.9,10,367
1/7/77,53,53,53,53,,53,5,357
1/10/77,52.5,52.5,52.25,52.25,,52.25,3,353
1/11/77,52,52,52,52,,52,2,350
1/12/77,52.25,52.25,52.25,52.25,,52.25,1,351
1/13/77,53.5,53.5,52.75,53.5,,53.5,1,351
1/14/77,53.05,54.5,53.05,54.5,,54.5,58,397
1/17/77,54.5,54.8,54.5,54.5,,54.5,13,400
1/18/77,54.85,55.2,54.7,55,,55,27,406
1/19/77,54.9,56.9,54.9,55.5,,55.5,97,408
1/20/77,56.5,57.5,56.5,57.5,,57.5,25,363
1/21/77,58,58.5,57.5,58,,58,38,368
1/24/77,58.1,59.5,58.1,58.5,,58.5,61,357
1/25/77,58.5,59,58,59,,59,31,376
1/26/77,58.2,59,58.05,59,,59,39,377
1/27/77,59,59,58.5,59,,59,12,376
1/28/77,58.4,58.5,58,58.5,,58.5,19,380
1/31/77,58.35,58.35,58.35,58.35,,58.35,1,381
2/1/77,58.4,58.4,57.15,58,,58,56,381
2/2/77,57.55,58.1,57.5,58.1,,58.1,40,353
2/3/77,58.5,59.5,58.5,59.5,,59.5,36,357
2/4/77,59,59.1,59,59.05,,59.05,10,354
2/7/77,59.4,59.5,59.25,59.25,,59.25,18,342
2/8/77,59,59.25,58.75,59.25,,59.25,12,345
2/9/77,59.8,59.8,59.25,59.25,,59.25,16,339
2/10/77,59,59,58.5,58.95,,58.95,11,342
2/11/77,58.6,58.6,58.2,58.5,,58.5,23,337
2/14/77,58.5,58.5,58.35,58.35,,58.35,2,327
2/15/77,58.25,58.25,57.8,57.8,,57.8,53,326
2/16/77,57.8,57.9,57.3,57.9,,57.9,38,287
2/17/77,57.7,58.25,57.7,58.25,,58.25,12,276
2/18/77,58.15,58.15,58.15,58.15,,58.15,0,284
2/22/77,58.35,58.4,58.25,58.25,,58.25,21,284
2/23/77,58.25,58.7,58.25,58.6,,58.6,31,264
2/24/77,58.5,58.7,58,58.55,,58.55,20,255
2/25/77,58.4,58.5,58.15,58.5,,58.5,13,246
2/28/77,58.6,59.3,58.6,59.3,,59.3,39,243
3/1/77,58.75,58.75,58.5,58.5,,58.5,5,234
3/2/77,58.8,58.8,58.5,58.5,,58.5,13,239
3/3/77,58.5,58.5,58,58.5,,58.5,54,228
3/4/77,58,58.5,58,58.5,,58.5,13,193
3/7/77,58.5,58.7,58,58,,58,36,186
3/8/77,58.25,58.25,57.8,57.8,,57.8,31,172
3/9/77,57.5,57.6,57.05,57.45,,57.45,9,141
3/10/77,57.4,57.4,57,57,,57,26,141
3/11/77,56.75,56.75,55.8,55.8,,55.8,31,126
3/14/77,56,56,55.45,55.45,,55.45,36,122
3/15/77,57.1,57.1,57.1,57.1,,57.1,4,337
3/16/77,57.1,57.1,56.95,57,,57,8,335
3/17/77,57,57,56.8,56.8,,56.8,3,334
3/18/77,57,57.3,57,57,,57,5,332
3/21/77,56.75,56.75,56.75,56.75,,56.75,3,333
3/22/77,57,57,57,57,,57,7,336
3/23/77,56.85,56.85,56.85,56.85,,56.85,2,339
3/24/77,56.85,57,56.85,56.85,,56.85,7,341
3/25/77,57,57,56.5,56.5,,56.5,9,339
3/28/77,56.05,56.05,56,56,,56,7,345
3/29/77,55.5,55.5,55.05,55.2,,55.2,16,343
3/30/77,55.3,55.3,55.3,55.3,,55.3,0,343
3/31/77,55.3,55.5,55.3,55.5,,55.5,2,334
4/1/77,55.25,56.2,55.25,55.75,,55.75,2,334
4/4/77,55.5,55.6,55.5,55.6,,55.6,2,335
4/5/77,55.1,55.9,55.1,55.75,,55.75,6,334
4/6/77,56.25,56.25,55,55,,55,8,330
4/7/77,54.75,54.75,54.2,54.3,,54.3,7,324
4/11/77,55,55,54.5,54.6,,54.6,6,319
4/12/77,54.7,55.05,54.7,54.95,,54.95,8,322
4/13/77,55,55.3,55,55.1,,55.1,3,320
4/14/77,55,55.2,54.8,54.8,,54.8,39,320
4/15/77,54.8,55,54.75,55,,55,8,299
4/18/77,54.5,55,54.5,54.85,,54.85,15,295
4/19/77,55,55,54.75,54.8,,54.8,6,287
4/20/77,54.3,54.3,54.3,54.3,,54.3,2,288
4/21/77,53,54,53,53.4,,53.4,8,287
4/22/77,54.2,54.2,53.75,53.85,,53.85,15,287
4/25/77,53.9,53.9,53.5,53.5,,53.5,7,282
4/26/77,53.05,53.2,53.05,53.1,,53.1,23,273
4/27/77,53.1,53.3,53.1,53.3,,53.3,11,252
4/28/77,53.05,53.7,53.05,53.65,,53.65,13,252
4/29/77,53.75,53.75,53.6,53.75,,53.75,4,251
5/2/77,53.6,53.6,53.6,53.6,,53.6,0,251
5/3/77,53.65,53.8,53.65,53.8,,53.8,9,251
5/4/77,53.8,53.85,53.55,53.65,,53.65,11,241
5/5/77,53.45,53.45,53.25,53.3,,53.3,18,235
5/6/77,53.5,53.5,53.15,53.25,,53.25,26,226
5/9/77,53.05,53.4,53.05,53.25,,53.25,4,212
5/10/77,53.05,53.05,53.05,53.05,,53.05,5,209
5/11/77,53.3,53.3,53.3,53.3,,53.3,2,204
5/12/77,53,53.05,53,53.05,,53.05,13,206
5/13/77,53,53,53,53,,53,0,194
5/16/77,52.55,52.65,52.5,52.5,,52.5,27,194
5/17/77,52.1,52.1,52,52,,52,10,211
5/18/77,51.1,51.25,51,51,,51,42,217
5/19/77,50.5,51,50,50,,50,54,180
5/20/77,50,50.05,49.1,49.3,,49.3,21,172
5/23/77,49.5,49.5,48,48,,48,13,171
5/24/77,48.5,48.5,48.3,48.4,,48.4,3,168
5/25/77,48.6,49.5,48.6,49,,49,35,166
5/26/77,48.8,48.8,48.5,48.5,,48.5,10,155
5/27/77,48.9,48.9,48.6,48.6,,48.6,4,153
5/31/77,48.5,48.5,48.05,48.1,,48.1,9,152
6/1/77,48.8,48.8,48.1,48.1,,48.1,15,154
6/2/77,47.75,47.75,47.05,47.05,,47.05,22,148
6/3/77,47,47,46.05,46.1,,46.1,23,154
6/6/77,46.05,46.05,44.25,44.3,,44.3,7,162
6/7/77,44,44,43.2,43.6,,43.6,21,161
6/8/77,43,43.1,42.55,42.55,,42.55,19,175
