Date,Open,High,Low,Price,Change,Settle,Volume,Previous Day Open Interest
8/20/86,3.905,4.005,3.905,3.965,,3.965,161,37
8/21/86,3.97,4.01,3.97,4,,4,124,95
8/22/86,4,4.04,3.995,4.035,,4.035,37,111
8/25/86,4.04,4.1,4.04,4.075,,4.075,28,119
8/26/86,4.075,4.11,4.075,4.11,,4.11,48,126
8/27/86,4.12,4.165,4.12,4.16,,4.16,39,134
8/28/86,4.16,4.175,4.145,4.155,,4.155,15,139
8/29/86,4.165,4.21,4.16,4.21,,4.21,38,137
9/2/86,4.2,4.2,4.18,4.185,,4.185,3,126
9/3/86,4.185,4.185,4.18,4.18,,4.18,5,125
9/4/86,4.18,4.18,4.15,4.15,,4.15,14,133
9/5/86,4.155,4.155,4.14,4.145,,4.145,8,138
9/8/86,4.145,4.145,4.11,4.11,,4.11,24,158
9/9/86,4.11,4.13,4.11,4.115,,4.115,12,161
9/10/86,4.06,4.08,4.035,4.075,,4.075,38,204
9/11/86,4.08,4.09,4.07,4.07,,4.07,5,176
9/12/86,4.065,4.085,4.065,4.07,,4.07,12,174
9/15/86,4.07,4.07,4.03,4.035,,4.035,4,117
9/16/86,4.035,4.035,4.025,4.025,,4.025,22,172
9/17/86,4.035,4.065,4.035,4.065,,4.065,14,166
9/18/86,4.08,4.13,4.08,4.13,,4.13,10,155
9/19/86,4.12,4.14,4.1,4.14,,4.14,23,167
9/22/86,4.13,4.15,4.125,4.15,,4.15,7,164
9/23/86,4.155,4.16,4.13,4.15,,4.15,26,170
9/24/86,4.155,4.16,4.125,4.16,,4.16,23,174
9/25/86,4.15,4.155,4.14,4.155,,4.155,6,171
9/26/86,4.16,4.17,4.155,4.17,,4.17,13,173
9/29/86,4.155,4.16,4.14,4.14,,4.14,6,179
9/30/86,4.13,4.135,4.105,4.11,,4.11,9,180
10/1/86,4.12,4.145,4.105,4.14,,4.14,7,168
10/2/86,4.165,4.165,4.15,4.165,,4.165,15,175
10/3/86,4.155,4.16,4.15,4.155,,4.155,13,178
10/6/86,4.15,4.15,4.13,4.145,,4.145,3,179
10/7/86,4.13,4.135,4.105,4.105,,4.105,6,178
10/8/86,4.08,4.11,4.075,4.11,,4.11,15,164
10/9/86,4.11,4.13,4.11,4.115,,4.115,3,165
10/10/86,4.11,4.11,4.095,4.1,,4.1,6,163
10/13/86,4.09,4.095,4.065,4.085,,4.085,3,161
10/14/86,4.08,4.1,4.08,4.09,,4.09,3,161
10/15/86,4.1,4.155,4.08,4.155,,4.155,17,160
10/16/86,4.14,4.16,4.12,4.16,,4.16,12,161
10/17/86,4.13,4.17,4.13,4.145,,4.145,4,159
10/20/86,4.115,4.125,4.095,4.125,,4.125,10,154
10/21/86,4.1,4.105,4.095,4.1,,4.1,4,152
10/22/86,4.11,4.13,4.11,4.125,,4.125,18,168
10/23/86,4.13,4.13,4.12,4.125,,4.125,17,183
10/24/86,4.125,4.15,4.115,4.15,,4.15,61,182
10/27/86,4.14,4.185,4.14,4.185,,4.185,16,173
10/28/86,4.18,4.185,4.17,4.185,,4.185,14,164
10/29/86,4.17,4.18,4.166,4.175,,4.175,6,162
10/30/86,4.165,4.215,4.165,4.18,,4.18,27,173
10/31/86,4.2,4.22,4.18,4.2,,4.2,13,171
11/3/86,4.22,4.22,4.215,4.22,,4.22,1,105
11/4/86,4.205,4.22,4.205,4.22,,4.22,10,113
11/5/86,4.21,4.25,4.21,4.25,,4.25,10,62
11/6/86,4.25,4.25,4.25,4.25,,4.25,0,49
11/7/86,4.25,4.25,4.25,4.25,,4.25,0,49
11/10/86,4.25,4.25,4.25,4.25,,4.25,0,49
11/11/86,4.245,4.26,4.245,4.26,,4.26,0,49
11/12/86,4.26,4.27,4.26,4.27,,4.27,4,47
11/13/86,4.23,4.23,4.23,4.23,,4.23,5,44
11/14/86,4.24,4.24,4.24,4.24,,4.24,5,21
11/17/86,4.25,4.25,4.25,4.25,,4.25,0,17
11/18/86,4.305,4.32,4.3,4.3,,4.3,9,20
11/19/86,4.3,4.305,4.285,4.295,,4.295,19,156
11/20/86,4.295,4.3,4.255,4.295,,4.295,11,149
11/21/86,4.295,4.3,4.285,4.29,,4.29,19,151
11/24/86,4.285,4.29,4.255,4.26,,4.26,2,150
11/25/86,4.25,4.25,4.24,4.245,,4.245,4,149
11/26/86,4.21,4.23,4.2,4.225,,4.225,43,147
11/28/86,4.22,4.24,4.21,4.24,,4.24,3,147
12/1/86,4.245,4.27,4.24,4.27,,4.27,11,143
12/2/86,4.25,4.26,4.215,4.23,,4.23,2,143
12/3/86,4.23,4.23,4.19,4.21,,4.21,7,141
12/4/86,4.2,4.205,4.165,4.185,,4.185,20,128
12/5/86,4.19,4.19,4.13,4.15,,4.15,23,138
12/8/86,4.16,4.16,4.15,4.15,,4.15,4,139
12/9/86,4.155,4.155,4.145,4.15,,4.15,23,118
12/10/86,4.16,4.16,4.145,4.15,,4.15,14,123
12/11/86,4.16,4.17,4.13,4.155,,4.155,8,115
12/12/86,4.14,4.16,4.14,4.16,,4.16,3,115
12/15/86,4.165,4.17,4.16,4.165,,4.165,3,116
12/16/86,4.165,4.165,4.155,4.165,,4.165,36,86
12/17/86,4.13,4.13,4.07,4.095,,4.095,16,65
12/18/86,4.09,4.095,4.04,4.05,,4.05,9,64
12/19/86,4.01,4.01,4.01,4.01,,4.01,0,64
12/22/86,3.99,4,3.98,3.99,,3.99,5,51
12/23/86,4,4,3.995,3.995,,3.995,15,36
12/24/86,4,4.005,4,4,,4,1,36
12/26/86,4,4,4,4,,4,0,36
12/29/86,4,4.005,3.98,4,,4,19,43
12/30/86,3.97,4.005,3.97,4.005,,4.005,23,12
12/31/86,3.95,3.95,3.95,3.95,,3.95,4,7
1/2/87,4.01,4.01,4.01,4.01,,4.01,5,0
1/5/87,4.01,4.01,4.01,4.01,,4.01,0,0
1/6/87,4.01,4.01,4.01,4.01,,4.01,0,0
1/7/87,4.01,4.01,4.01,4.01,,4.01,0,0
1/8/87,4.01,4.01,4.01,4.01,,4.01,0,0
1/9/87,4.01,4.01,4.01,4.01,,4.01,0,0
1/12/87,4.01,4.01,4.01,4.01,,4.01,0,0
1/13/87,4.01,4.01,4.01,4.01,,4.01,0,0
1/14/87,4.01,4.01,4.01,4.01,,4.01,0,0
1/15/87,4.01,4.01,4.01,4.01,,4.01,0,0
1/16/87,4.01,4.01,4.01,4.01,,4.01,0,0
1/19/87,4.08,4.08,4.08,4.08,,4.08,0,0
1/20/87,4.08,4.08,4.08,4.08,,4.08,0,0
1/21/87,4.15,4.15,4.15,4.15,,4.15,0,0
1/22/87,4.225,4.225,4.17,4.195,,4.195,18,165
1/23/87,4.18,4.185,4.18,4.18,,4.18,1,145
1/26/87,4.19,4.19,4.18,4.18,,4.18,6,145
1/27/87,4.18,4.195,4.18,4.18,,4.18,10,145
1/28/87,4.18,4.19,4.18,4.19,,4.19,7,145
1/29/87,4.19,4.21,4.19,4.2,,4.2,2,124
1/30/87,4.195,4.2,4.18,4.18,,4.18,1,124
2/2/87,4.185,4.185,4.13,4.13,,4.13,1,123
2/3/87,4.13,4.155,4.125,4.155,,4.155,1,122
2/4/87,4.165,4.18,4.165,4.18,,4.18,3,118
2/5/87,4.185,4.195,4.175,4.185,,4.185,10,113
2/6/87,4.185,4.22,4.185,4.205,,4.205,5,108
2/9/87,4.2,4.205,4.19,4.205,,4.205,12,100
2/10/87,4.2,4.205,4.18,4.18,,4.18,19,85
2/11/87,4.165,4.165,4.135,4.135,,4.135,1,84
2/12/87,4.135,4.145,4.135,4.145,,4.145,1,81
2/13/87,4.14,4.15,4.125,4.135,,4.135,16,81
2/17/87,4.135,4.145,4.135,4.145,,4.145,1,77
2/18/87,4.11,4.115,4.1,4.115,,4.115,24,82
2/19/87,4.115,4.125,4.105,4.125,,4.125,7,69
2/20/87,4.12,4.16,4.115,4.16,,4.16,8,61
2/23/87,4.15,4.155,4.15,4.15,,4.15,20,61
